,Synonyms
0,"['Indeterminate leprosy', 'Leprosy reversal reaction']"
1,"['Neural type tuberculoid leprosy', 'Tuberculoid leprosy']"
2,"['Borderline leprosy', 'Borderline tuberculoid leprosy']"
3,"['Borderline leprosy', 'Midborderline leprosy']"
4,"['Borderline lepromatous leprosy', 'Borderline leprosy']"
5,"['Diffuse lepromatous leprosy', 'Facies leprosa', 'Lepromatous anterior uveitis', 'Lepromatous leprosy', 'Resorption of anterior maxillary alveolar bone and anterior nasal spine due to lepromatous leprosy']"
6,"['Multibacillary leprosy', 'Paucibacillary leprosy']"
7,"['Dapsone resistant leprosy', 'Facies antonina', 'Fernandez reaction to lepromin', 'Leonine facies', 'Leontiasis', 'Leprosy', 'Leprosy neuropathy']"
8,"['Atypical mycobacterial infection of lung', 'Battey disease', 'Disseminated atypical mycobacterial infection', 'Disseminated Mycobacterium kansasii infection', 'Hyperimmune cutaneous reaction to atypical mycobacteria', 'Hyperimmune cutaneous reaction to mycobacterium kansasii', 'Infection due to Mycobacterium intracellulare', 'Infection due to Mycobacterium kansasii', 'Infection of lung due to Mycobacterium kansasii', 'Lady Windermere syndrome', 'Mycobacterial pneumonia', 'Mycobacterium kansasii infection of skin', 'Non-tuberculous mycobacterial pneumonia', 'Pulmonary disease due to Mycobacteria', 'Pulmonary Mycobacterium avium complex infection']"
9,"['Buruli ulcer', 'Cutaneous infectious disease due to Mycobacteria', 'Cutaneous mycobacterium haemophilium infection', 'Cutaneous mycobacterium marinum infection', 'Fish tank granuloma', 'Hyperimmune cutaneous reaction to atypical mycobacteria', 'Hyperimmune cutaneous reaction to mycobacterium avium-intracellulare', 'Infection due to Mycobacterium chelonei', 'Infection due to Mycobacterium gordonae', 'Infection due to Mycobacterium haemophilum', 'Infection due to Mycobacterium malmoense', 'Infection due to Mycobacterium marinum', 'Infection due to Mycobacterium scrofulaceum', 'Infection due to Mycobacterium szulgai', 'Infection due to Mycobacteroides abscessus', 'Mycobacterium avium intracellulare infection of skin', 'Mycobacterium fortuitum infection of skin', 'Mycobacterium gordonae infection of skin', 'Mycobacterium malmoense infection of skin', 'Mycobacterium scrofulaceum infection of skin', 'Mycobacterium szulgai infection of skin', 'Mycobacteroides abscessus infection of skin', 'Mycobacteroides chelonae infection of skin']"
10,"['Disseminated atypical mycobacterial infection', 'Disseminated infection due to Mycobacterium avium-intracellulare group', 'Infection due to Mycobacterium avium-intracellulare group']"
11,"['Atypical mycobacterial lymphadenitis', 'Cervical atypical mycobacterial lymphadenitis', 'Cervical lymphadenitis', 'Disseminated atypical mycobacterial infection', 'Disseminated atypical mycobacterial infection', 'Disseminated atypical mycobacterial infection', 'Disseminated atypical mycobacterial infection', 'Disseminated atypical mycobacterial infection', 'Disseminated Mycobacterium chelonei infection', 'Disseminated Mycobacterium fortuitum infection', 'Disseminated Mycobacterium gordonae infection', 'Disseminated Mycobacteroides abscessus infection', 'Gastrointestinal infection caused by non-tuberculous Mycobacterium', 'Infection caused by Mycobacterium mageritense', 'Infection due to Mycobacterium africanum', 'Infection due to Mycobacterium agri', 'Infection due to Mycobacterium aichiense', 'Infection due to Mycobacterium alvei', 'Infection due to Mycobacterium asiaticum', 'Infection due to Mycobacterium aurum', 'Infection due to Mycobacterium austroafricanum', 'Infection due to Mycobacterium avium', 'Infection due to Mycobacterium avium brunese', 'Infection due to Mycobacterium borstelense', 'Infection due to Mycobacterium bovis', 'Infection due to Mycobacterium branderi', 'Infection due to Mycobacterium brumae', 'Infection due to Mycobacterium celatum', 'Infection due to Mycobacterium chelonei', 'Infection due to Mycobacterium chitae', 'Infection due to Mycobacterium chubuense', 'Infection due to Mycobacterium confluentis', 'Infection due to Mycobacterium conspicuum', 'Infection due to Mycobacterium cookii', 'Infection due to Mycobacterium diernhoferi', 'Infection due to Mycobacterium duvalii', 'Infection due to Mycobacterium fallax', 'Infection due to Mycobacterium farcinogenes', 'Infection due to Mycobacterium flavescens', 'Infection due to Mycobacterium fortuitum', 'Infection due to Mycobacterium gadium', 'Infection due to Mycobacterium gastri', 'Infection due to Mycobacterium genavense', 'Infection due to Mycobacterium gilvum', 'Infection due to Mycobacterium goodii', 'Infection due to Mycobacterium gordonae', 'Infection due to Mycobacterium haemophilum', 'Infection due to Mycobacterium hassiacum', 'Infection due to Mycobacterium hiberniae', 'Infection due to Mycobacterium hodleri', 'Infection due to Mycobacterium interjectum', 'Infection due to Mycobacterium intermedium', 'Infection due to Mycobacterium intracellulare', 'Infection due to Mycobacterium komossence', 'Infection due to Mycobacterium lentiflavum', 'Infection due to Mycobacterium lepraemurium', 'Infection due to Mycobacterium madagascariense', 'Infection due to Mycobacterium malmoense', 'Infection due to Mycobacterium microti', 'Infection due to Mycobacterium moriokaense', 'Infection due to Mycobacterium mucogenicum', 'Infection due to Mycobacterium neoaurum', 'Infection due to Mycobacterium nonchromogenicum', 'Infection due to Mycobacterium novocastrense', 'Infection due to Mycobacterium obuense', 'Infection due to Mycobacterium parafortuitum', 'Infection due to Mycobacterium paratuberculosis', 'Infection due to Mycobacterium peregrinum', 'Infection due to Mycobacterium phlei', 'Infection due to Mycobacterium piscium', 'Infection due to Mycobacterium porcinum', 'Infection due to Mycobacterium poriferae', 'Infection due to Mycobacterium pulveris', 'Infection due to Mycobacterium rhodesiae', 'Infection due to Mycobacterium scrofulaceum', 'Infection due to Mycobacterium senegalense', 'Infection due to Mycobacterium shimoidei', 'Infection due to Mycobacterium simiae', 'Infection due to Mycobacterium smegmatis', 'Infection due to Mycobacterium sphagni', 'Infection due to Mycobacterium szulgai', 'Infection due to Mycobacterium terrae', 'Infection due to Mycobacterium thamnophis', 'Infection due to Mycobacterium thermoresistibile', 'Infection due to Mycobacterium tokaiense', 'Infection due to Mycobacterium triplex', 'Infection due to Mycobacterium triviale', 'Infection due to Mycobacterium vaccae', 'Infection due to Mycobacterium wolinskyi', 'Infection due to Mycobacterium xenopi', 'Infection due to Mycobacteroides abscessus', 'Mycobacterial lymphadenitis', 'Mycobacterium avium intracellulare group choroiditis', 'Mycobacterium avium intracellulare, localized', 'Mycobacterium fortuitum or Mycobacterium peregrinum', 'Mycobacterium senegalense or Mycobacterium conceptionense', 'Mycobacterium tuberculosis or Mycobacterium canettii', 'Mycobacterium xenopi or Mycobacterium celatum']"
12,"['Acid-fast bacteria present', 'Atypical mycobacterial infection', 'Atypical mycobacterial infection of hand', 'Disseminated atypical infection caused by Mycobacterium co-occurrent with human immunodeficiency virus infection', 'Disseminated atypical mycobacterial infection', 'Disseminated mycobacteriosis', 'Infection due to mycobacteria resistant to multiple antimycobacterial agents', 'Infection due to Mycobacteroides abscessus', 'Mycobacterial infection ', 'Mycobacterial infection of the central nervous system', 'Mycobacteriosis', 'Mycobacteriosis associated with AIDS', 'Skin and soft tissue atypical mycobacterial infection']"
13,['Cutaneous listeriosis']
14,['Listeria meningitis']
15,"['Bacterial meningoencephalitis', 'Listeria cerebritis', 'Listeria meningitis', 'Listeria meningoencephalitis']"
16,['Sepsis due to Listeria monocytogenes']
