,Synonyms
4,"['Dengue', 'Dengue with warning signs', 'Dengue without warning signs']"
5,[]
6,"['Dengue', 'Dengue hemorrhagic fever', 'Dengue hemorrhagic fever, grade I', 'Dengue hemorrhagic fever, grade II', 'Dengue hemorrhagic fever, grade III', 'Dengue hemorrhagic fever, grade IV', 'Dengue shock syndrome']"
7,['Chikungunya fever']
8,"[""O'nyong-nyong fever""]"
9,"['Disease due to Alphavirus', 'Encephalitis caused by Alphavirus', 'Encephalitis caused by Venezuelan equine encephalomyelitis virus', 'Neuroinvasive Venezuelan equine encephalitis virus infection', 'Venezuelan equine encephalitis virus infection', 'Venezuelan equine encephalitis virus non-neuroinvasive disease']"
10,"['Asymptomatic West Nile virus infection', 'Disease due to West Nile virus', 'West Nile fever without encephalitis']"
11,"['Disease due to West Nile virus', 'Disorder of nervous system due to West Nile virus', 'West Nile encephalitis']"
12,"['Disease due to West Nile virus', 'Disorder of nervous system due to West Nile virus', 'West Nile meningitis']"
13,[]
14,['Rift valley fever']
15,['Zika virus disease']
16,"['Barmah Forest disease', 'Batai fever', 'Bebaru fever', 'Bunyamwera virus disease', 'Cache Valley virus infection', 'Calchaqui fever', 'Calovo virus disease', 'Disease due to Alphavirus', 'Disease due to Vesiculovirus', 'Germistan virus disease', 'Ilesha virus disease', 'Maguari fever', 'Mayaro fever', 'Mucambo fever', 'Pixuna fever', 'Semliki forest fever', 'Sindbis fever', 'Tensaw virus disease', 'Trivittatus fever', 'Wesselsbron fever']"
17,[]
18,['Oropouche virus disease']
19,"['Changuinola virus disease', 'Disease due to Orbivirus', 'Neapolitan sandfly fever', 'Sandfly fever due to Sandfly fever Sicilian virus', 'Sandfly-borne orbivirus fever', 'Sandfly-borne phleboviral disease']"
20,"['Colorado tick fever', 'Infection caused by Coltavirus']"
21,"['Aino virus disease', 'Apeu virus disease', 'Bwamba virus disease', 'Cache Valley virus infection', 'Caraparu virus disease', 'Catu virus disease', 'Chandipura virus disease', 'Disease due to Nairovirus', 'Disease due to Nairovirus', 'Disease due to Orbivirus', 'Disease due to Orbivirus', 'Disease due to Vesiculovirus', 'Disease due to Vesiculovirus', 'Disease due to Vesiculovirus', 'Disease due to Vesiculovirus', 'Disease due to Vesiculovirus', 'Dugbe virus disease', 'Ganjam virus disease', 'Guama virus disease', 'Guaroa virus disease', 'Inkoo virus disease', 'Itaqui virus disease', 'Kemerovo virus disease', 'Koutango virus disease', 'Lebombo virus disease', 'Madrid virus disease', 'Manzanilla fever', 'Marituba virus disease', 'Mucosal vesicle', 'Mucosal vesicle', 'Mucosal vesicle', 'Murutucu virus disease', 'Nairobi sheep virus disease', 'Nepuyo virus disease', 'Non-neuroinvasive Cache Valley virus disease', 'Oral mucosal viral disease', 'Oral mucosal viral disease', 'Oral mucosal viral disease', 'Oriboca virus disease', 'Ossa virus disease', 'Piry virus disease', 'Quaranfil fever', 'Restan virus disease', 'Sandfly-borne rhabdovirus fever', 'Shuni virus disease', 'Southern tick-associated rash illness', 'Tacaiuma virus disease', 'Tataguine virus disease', 'Tribec virus disease', 'Uganda S fever', 'Uukuniemi fever', 'Vesicular stomatitis', 'Vesicular stomatitis', 'Vesicular stomatitis', 'Vesicular stomatitis Alagoas virus disease', 'Vesicular stomatitis Indiana virus disease', 'Vesicular stomatitis New Jersey virus disease', 'Wyeomyia virus disease']"
22,[]
23,"['Arbovirus hemorrhagic fever', 'Arbovirus infection', 'Disease due to Arthropod', 'Disease due to Vesiculovirus', 'Isfahan fever', 'Rodent-borne hemorrhagic fever']"
24,"['Jungle yellow fever', 'Yellow fever']"
25,"['Urban yellow fever', 'Yellow fever']"
26,"['Hepatitis in yellow fever', 'Yellow fever']"
27,"['Arenaviral hemorrhagic fever', 'Argentinian hemorrhagic fever', 'Infection caused by Junin virus']"
28,"['Arenaviral hemorrhagic fever', 'Bolivian hemorrhagic fever', 'Infection caused by Machupo virus']"
29,"['Arenaviral hemorrhagic fever', 'Infection caused by Lassa virus', 'Lassa fever']"
30,"['Arenaviral hemorrhagic fever', 'Arenaviral hemorrhagic fever', 'Arenaviral hemorrhagic fever', 'Chapare hemorrhagic fever', 'Infection caused by Chapare virus', 'Infection caused by Guanarito virus', 'Infection caused by Lujo virus', 'Infection caused by Sabia virus', 'Lujo hemorrhagic fever', 'South American hemorrhagic fever', 'Venezuelan hemorrhagic fever']"
31,['Arenaviral hemorrhagic fever']
32,"['Congo hemorrhagic fever', 'Congo-Crimean hemorrhagic fever', 'Crimean fever', 'Disease due to Nairovirus']"
33,['Omsk hemorrhagic fever']
34,['Kyasanur forest disease']
35,"['Disease due to Filoviridae', 'Filoviral hemorrhagic fever', 'Marburg virus disease']"
36,"['Disease due to Filoviridae', 'Ebola virus disease', 'Filoviral hemorrhagic fever']"
37,"['Bhanja virus disease', 'Disease due to Hantanvirus', 'Disease due to Hantavirus', 'Hemorrhagic fever with renal syndrome', 'Puumala virus nephropathy']"
38,"['Brazilian hemorrhagic fever', 'Congo-Crimean hemorrhagic fever', 'Disease due to Filoviridae', 'Disease due to Nairovirus', 'Filoviral hemorrhagic fever', 'Hazara hemorrhagic fever', 'Infection caused by Sabia virus']"
39,[]
40,['Viral hemorrhagic fever']
