,Synonyms
0,"['Eczema herpeticum', 'Eczema vaccinatum', ""Kaposi's varicelliform eruption due to vaccinia virus"", 'Vaccinia', 'Vesicular eruption']"
1,"['Herpes barbae', 'Herpes labialis', 'Herpes simplex otitis externa', 'Herpesviral vesicular dermatitis', 'Infection of bilateral ears', 'Infective otitis externa of bilateral ears', 'O/E-herpes labialis-cold sore', 'Oral herpes simplex infection', 'Oral herpes simplex infection', 'Oral mucosal herpes', 'Oral mucosal viral disease', 'Primary herpes simplex', 'Primary herpes simplex infection of lips', 'Primary oral herpes simplex infection', 'Recurrent herpes simplex labialis', 'Recurrent oral herpes simplex infection', 'Recurrent otitis externa of bilateral external auditory canals caused by human herpes simplex virus', 'Recurrent otitis externa of left external auditory canal caused by human herpes simplex virus', 'Recurrent otitis externa of right external auditory canal caused by human herpes simplex virus', 'Recurrent skin infection', 'Recurrent vesicular dermatitis caused by human herpes simplex virus']"
2,"['Acute herpes simplex pharyngitis', 'Acute herpes zoster pharyngitis', 'Acute viral pharyngitis', 'Acute viral pharyngitis', 'Allergic contact gingivostomatitis', 'Allergic gingival disease', 'Contact gingivostomatitis', 'Contact gingivostomatitis', 'Contact mucous membrane inflammation', 'Contact mucous membrane inflammation', 'Contact stomatitis', 'Contact stomatitis', 'Gingival disease due to virus', 'Gingivostomatitis', 'Gingivostomatitis', 'Gingivostomatitis', 'Herpetic gingivostomatitis', 'Irritant contact gingivostomatitis', 'Oral herpes simplex infection', 'Oral herpes simplex infection', 'Oral mucosal herpes', 'Oral mucosal viral disease', 'Pharyngotonsillitis caused by Human herpes simplex virus', 'Primary herpes simplex', 'Primary oral herpes simplex infection', 'Recurrent oral gingivostomatitis caused by herpes simplex', 'Recurrent oral herpes simplex infection', 'Viral tonsillitis']"
3,"['Herpes simplex meningitis', 'Infection of central nervous system caused by Herpes simplex virus']"
4,"['Acute necrotizing encephalitis', 'Acute viral encephalitis', 'Dementia associated with viral encephalitis', 'Dementia due to herpes encephalitis', 'Dementia due to infectious disease', 'Encephalitis due to Herpesviridae', 'Encephalitis due to human herpes simplex virus', 'Herpes simiae encephalitis', 'Herpes simplex meningitis', 'Herpetic acute necrotizing encephalitis', 'Herpetic meningoencephalitis', 'Infection of central nervous system caused by Herpes simplex virus', 'Infection of central nervous system caused by Herpes simplex virus', 'Simian B disease', 'Simian B encephalomyelitis', 'Viral meningoencephalitis']"
5,"['Ophthalmic herpes simplex', 'Recurrent herpes simplex infection of eye']"
6,"['Herpes simplex iridocyclitis', 'Herpes simplex iritis', 'Herpes simplex keratouveitis', 'Herpetic iridocyclitis', 'Iridocyclitis of left eye', 'Iridocyclitis of left eye caused by human herpes simplex virus', 'Iridocyclitis of right eye', 'Iridocyclitis of right eye caused by human herpes simplex virus', 'Iritis of left eye caused by herpes simplex virus', 'Iritis of right eye caused by herpes simplex virus', 'Keratouveitis']"
7,"['Corneal endotheliitis', 'Dendritic keratitis of bilateral eyes caused by herpes simplex virus', 'Dendritic keratitis of left eye caused by herpes simplex virus', 'Dendritic keratitis of right eye caused by herpes simplex virus', 'Dendritic ulcer', 'Disciform keratitis', 'Disciform keratitis of left eye caused by herpes simplex virus', 'Disciform keratitis of right eye caused by herpes simplex virus', 'Herpes simplex conjunctivitis', 'Herpes simplex corneal endotheliitis', 'Herpes simplex dendritic keratitis', 'Herpes simplex disciform keratitis', 'Herpes simplex keratitis', 'Herpes simplex keratoconjunctivitis', 'Herpes simplex necrotizing stromal keratitis', 'Herpes simplex stromal keratitis', 'Herpes simplex subepithelial infiltrates', 'Herpes simplex virus epithelial keratitis', 'Infectious epithelial keratitis', 'Infiltrate of cornea', 'Interstitial and deep keratitis', 'Interstitial keratitis of left eye caused by herpes simplex virus', 'Keratitis of bilateral eyes caused by herpes simplex virus', 'Keratitis of left eye caused by herpes simplex virus', 'Keratitis of right eye caused by herpes simplex virus', 'Necrotizing keratitis', 'Primary herpes simplex', 'Primary herpes simplex keratoconjunctivitis', 'Stromal keratitis of right eye caused by herpes simplex virus', 'Ulcer of cornea of bilateral eyes', 'Ulcer of cornea of left eye', 'Ulcer of cornea of right eye', 'Viral corneal ulcer']"
8,"['Conjunctivitis of left eye caused by human herpes simplex virus', 'Conjunctivitis of left eye caused by virus', 'Conjunctivitis of right eye caused by human herpes simplex virus', 'Conjunctivitis of right eye caused by virus', 'Herpes simplex conjunctivitis', 'Herpes simplex conjunctivitis', 'Neonatal herpes simplex virus conjunctivitis', 'Neonatal viral conjunctivitis']"
9,"['Corneal epitheliopathy of left eye caused by herpes simplex virus', 'Corneal epitheliopathy of right eye caused by herpes simplex virus', 'Corneal haze due to herpes simplex', 'Dermatitis of left eyelid caused by herpes simplex virus', 'Dermatitis of right eyelid caused by herpes simplex virus', 'Herpes simplex corneal epitheliopathy', 'Herpes simplex eyelid dermatitis', 'Herpes simplex infection of cornea after ophthalmic surgery', 'Herpes simplex retinal pigment epithelial detachment', 'Herpesviral vesicular dermatitis', 'Necrotizing herpetic retinopathy', 'Vesicular herpes simplex eyelid dermatitis', 'Viral dermatitis of eyelid']"
