,Synonyms
0,"['Carcinoma of upper limb bones/scapula', 'Malignant neoplasm of humerus', 'Malignant neoplasm of scapula and long bones of upper arm', 'Malignant neoplasm of upper limb bones and scapula', 'Neoplasm of acromion', 'Osteosarcoma of bone', 'Osteosarcoma of bone of upper limb', 'Primary malignant neoplasm of acromion', 'Primary malignant neoplasm of bone of upper limb', 'Primary malignant neoplasm of forearm', 'Primary malignant neoplasm of forearm', 'Primary malignant neoplasm of long bone of upper limb', 'Primary malignant neoplasm of radius', 'Primary malignant neoplasm of scapula', 'Primary malignant neoplasm of shoulder', 'Primary malignant neoplasm of ulna', 'Primary malignant neoplasm of upper limb bones and scapula', 'Primary osteosarcoma of bone of limb', 'Sarcoma of humerus', 'Sarcoma of radius', 'Sarcoma of scapula']"
1,['Primary malignant neoplasm of bone of right upper limb']
2,['Primary malignant neoplasm of bone of left upper limb']
3,"['Malignant neoplasm of carpal bone - capitate', 'Malignant neoplasm of carpal bone - hamate', 'Malignant neoplasm of carpal bone - lunate', 'Malignant neoplasm of carpal bone - pisiform', 'Malignant neoplasm of carpal bone - scaphoid', 'Malignant neoplasm of carpal bone - trapezium', 'Malignant neoplasm of carpal bone - trapezoid', 'Malignant neoplasm of carpal bone - triquetrum', 'Malignant neoplasm of carpal bones', 'Malignant neoplasm of fifth metacarpal bone', 'Malignant neoplasm of first metacarpal bone', 'Malignant neoplasm of fourth metacarpal bone', 'Malignant neoplasm of hand bones', 'Malignant neoplasm of metacarpal bones', 'Malignant neoplasm of phalanges of hand', 'Malignant neoplasm of second metacarpal bone', 'Malignant neoplasm of third metacarpal bone', 'Neoplasm of hamate bone', 'Neoplasm of lunate bone', 'Neoplasm of phalanx of hand', 'Neoplasm of pisiform bone of hand', 'Neoplasm of scaphoid bone', 'Neoplasm of trapezium', 'Neoplasm of trapezoid bone', 'Primary malignant neoplasm of carpal bone', 'Primary malignant neoplasm of hamate bone', 'Primary malignant neoplasm of hand', 'Primary malignant neoplasm of hand', 'Primary malignant neoplasm of long bone of upper limb', 'Primary malignant neoplasm of long bone of upper limb', 'Primary malignant neoplasm of lunate bone', 'Primary malignant neoplasm of metacarpal bone', 'Primary malignant neoplasm of phalanx of hand', 'Primary malignant neoplasm of pisiform bone of hand', 'Primary malignant neoplasm of scaphoid bone', 'Primary malignant neoplasm of short bone of upper limb', 'Primary malignant neoplasm of trapezium', 'Primary malignant neoplasm of trapezoid bone']"
4,[]
5,[]
6,"['Adamantinoma of femur', 'Adamantinoma of long bone', 'Adamantinoma of long bone of lower limb', 'Carcinoma of lower limb bones', 'Malignant neoplasm of bone of lower limb', 'Malignant neoplasm of long bone of lower leg', 'Malignant neoplasm of long bone of lower limb', 'Malignant neoplasm of metatarsal bone of foot', 'Neoplasm of patella', 'Primary malignant neoplasm of bone of lower limb', 'Primary malignant neoplasm of femur', 'Primary malignant neoplasm of fibula', 'Primary malignant neoplasm of long bone of lower limb', 'Primary malignant neoplasm of lower leg', 'Primary malignant neoplasm of lower leg', 'Primary malignant neoplasm of metatarsal bone', 'Primary malignant neoplasm of patella', 'Primary malignant neoplasm of thigh', 'Primary malignant neoplasm of tibia', 'Sarcoma of femur', 'Sarcoma of fibula', 'Sarcoma of tibia', 'Tibial adamantinoma']"
7,['Primary malignant neoplasm of bone of right lower limb']
8,['Primary malignant neoplasm of bone of left lower limb']
9,"['Malignant neoplasm of calcaneum', 'Malignant neoplasm of fifth metatarsal bone', 'Malignant neoplasm of first metatarsal bone', 'Malignant neoplasm of fourth metatarsal bone', 'Malignant neoplasm of intermediate cuneiform', 'Malignant neoplasm of lateral cuneiform', 'Malignant neoplasm of medial cuneiform', 'Malignant neoplasm of metatarsal bone of foot', 'Malignant neoplasm of navicular', 'Malignant neoplasm of phalanges of foot', 'Malignant neoplasm of second metatarsal bone', 'Malignant neoplasm of short bone of lower limb', 'Malignant neoplasm of third metatarsal bone', 'Neoplasm of calcaneus', 'Neoplasm of cuboid', 'Neoplasm of first cuneiform bone of foot', 'Neoplasm of navicular bone of foot', 'Neoplasm of phalanx of foot', 'Neoplasm of second cuneiform bone of foot', 'Neoplasm of talus', 'Neoplasm of third cuneiform bone of foot', 'Primary malignant neoplasm of calcaneus', 'Primary malignant neoplasm of cuboid', 'Primary malignant neoplasm of first cuneiform bone of foot', 'Primary malignant neoplasm of long bone of lower limb', 'Primary malignant neoplasm of navicular bone of foot', 'Primary malignant neoplasm of phalanx of foot', 'Primary malignant neoplasm of second cuneiform bone of foot', 'Primary malignant neoplasm of short bone of lower limb', 'Primary malignant neoplasm of talus', 'Primary malignant neoplasm of tarsal bone', 'Primary malignant neoplasm of third cuneiform bone of foot', 'Sarcoma of bone of foot']"
10,[]
11,[]
12,"['Overlapping malignant neoplasm of bone and articular cartilage', 'Overlapping malignant neoplasm of bone and articular cartilage of limbs', 'Overlapping primary malignant neoplasm of bone and articular cartilage of lower limb', 'Overlapping primary malignant neoplasm of bone and articular cartilage of upper limb']"
13,"['Overlapping primary malignant neoplasm of bone and articular cartilage of right upper limb', 'Overlapping primary malignant neoplasm of bone and articular cartilage of upper limb', 'Primary malignant neoplasm of bone of right upper limb']"
