,category,condition
0,C50.011,"Malignant neoplasm of nipple and areola, right female breast"
1,C50.012,"Malignant neoplasm of nipple and areola, left female breast"
2,C50.019,"Malignant neoplasm of nipple and areola, unsp female breast"
3,C50.021,"Malignant neoplasm of nipple and areola, right male breast"
4,C50.022,"Malignant neoplasm of nipple and areola, left male breast"
5,C50.029,"Malignant neoplasm of nipple and areola, unsp male breast"
6,C50.111,Malignant neoplasm of central portion of right female breast
7,C50.112,Malignant neoplasm of central portion of left female breast
8,C50.119,Malignant neoplasm of central portion of unsp female breast
9,C50.121,Malignant neoplasm of central portion of right male breast
10,C50.122,Malignant neoplasm of central portion of left male breast
11,C50.129,Malignant neoplasm of central portion of unsp male breast
12,C50.211,Malig neoplm of upperinner quadrant of right female breast
13,C50.212,Malig neoplasm of upperinner quadrant of left female breast
14,C50.219,Malig neoplasm of upperinner quadrant of unsp female breast
15,C50.221,Malig neoplasm of upperinner quadrant of right male breast
16,C50.222,Malig neoplasm of upperinner quadrant of left male breast
17,C50.229,Malig neoplasm of upperinner quadrant of unsp male breast
18,C50.311,Malig neoplm of lowerinner quadrant of right female breast
19,C50.312,Malig neoplasm of lowerinner quadrant of left female breast
20,C50.319,Malig neoplasm of lowerinner quadrant of unsp female breast
21,C50.321,Malig neoplasm of lowerinner quadrant of right male breast
22,C50.322,Malig neoplasm of lowerinner quadrant of left male breast
23,C50.329,Malig neoplasm of lowerinner quadrant of unsp male breast
24,C50.411,Malig neoplm of upperouter quadrant of right female breast
25,C50.412,Malig neoplasm of upperouter quadrant of left female breast
26,C50.419,Malig neoplasm of upperouter quadrant of unsp female breast
27,C50.421,Malig neoplasm of upperouter quadrant of right male breast
28,C50.422,Malig neoplasm of upperouter quadrant of left male breast
29,C50.429,Malig neoplasm of upperouter quadrant of unsp male breast
30,C50.511,Malig neoplm of lowerouter quadrant of right female breast
31,C50.512,Malig neoplasm of lowerouter quadrant of left female breast
32,C50.519,Malig neoplasm of lowerouter quadrant of unsp female breast
33,C50.521,Malig neoplasm of lowerouter quadrant of right male breast
34,C50.522,Malig neoplasm of lowerouter quadrant of left male breast
35,C50.529,Malig neoplasm of lowerouter quadrant of unsp male breast
36,C50.611,Malignant neoplasm of axillary tail of right female breast
37,C50.612,Malignant neoplasm of axillary tail of left female breast
38,C50.619,Malignant neoplasm of axillary tail of unsp female breast
39,C50.621,Malignant neoplasm of axillary tail of right male breast
40,C50.622,Malignant neoplasm of axillary tail of left male breast
41,C50.629,Malignant neoplasm of axillary tail of unsp male breast
42,C50.811,Malignant neoplasm of ovrlp sites of right female breast
43,C50.812,Malignant neoplasm of ovrlp sites of left female breast
44,C50.819,Malignant neoplasm of ovrlp sites of unsp female breast
45,C50.821,Malignant neoplasm of overlapping sites of right male breast
46,C50.822,Malignant neoplasm of overlapping sites of left male breast
47,C50.829,Malignant neoplasm of overlapping sites of unsp male breast
48,C50.911,Malignant neoplasm of unsp site of right female breast
49,C50.912,Malignant neoplasm of unspecified site of left female breast
50,C50.919,Malignant neoplasm of unsp site of unspecified female breast
51,C50.921,Malignant neoplasm of unspecified site of right male breast
52,C50.922,Malignant neoplasm of unspecified site of left male breast
53,C50.929,Malignant neoplasm of unsp site of unspecified male breast
