,Synonyms
0,[]
1,[]
2,"['Malignant neoplasm of nipple and areola of female breast', 'Metastatic collecting duct carcinoma', 'Neoplasm of areola of female breast', 'Neoplasm of areola of female breast', 'Neoplasm of breast primary tumor staging category Tis ', 'Neoplasm of nipple of female breast', 'Neoplasm of nipple of female breast', ""Paget's disease of nipple"", 'Primary malignant neoplasm of areola of female breast', 'Primary malignant neoplasm of nipple of female breast', 'Primary malignant neoplasm of skin of breast', 'Primary malignant neoplasm of skin of chest', 'Primary malignant neoplasm of soft tissues of thorax']"
3,[]
4,[]
5,"['Malignant neoplasm of nipple and areola of male breast', 'Metastatic collecting duct carcinoma', 'Neoplasm of areola of male breast', 'Neoplasm of areola of male breast', 'Neoplasm of breast primary tumor staging category Tis ', 'Neoplasm of nipple of male breast', ""Paget's disease of nipple"", 'Primary malignant neoplasm of areola of male breast', 'Primary malignant neoplasm of male breast', 'Primary malignant neoplasm of nipple of male breast', 'Primary malignant neoplasm of skin of breast', 'Primary malignant neoplasm of skin of chest', 'Primary malignant neoplasm of soft tissues of thorax']"
6,"['Carcinoma of central portion of breast', 'Infiltrating duct carcinoma of right female breast', 'Infiltrating ductal carcinoma of central portion of right female breast', 'Lump in central portion of right breast', 'Lump in central portion of right breast', 'Malignant neoplasm of central part of female breast', 'Malignant neoplasm of central part of female breast', 'Primary malignant neoplasm of central portion of female breast', 'Primary malignant neoplasm of central portion of female right breast']"
7,"['Carcinoma of central portion of breast', 'Infiltrating duct carcinoma of left female breast', 'Infiltrating ductal carcinoma of central portion of left female breast', 'Lump in central portion of left breast', 'Lump in central portion of left breast', 'Malignant neoplasm of central part of female breast', 'Malignant neoplasm of central part of female breast', 'Primary malignant neoplasm of central portion of female breast', 'Primary malignant neoplasm of central portion of female left breast']"
8,"['Carcinoma of central portion of breast', 'Malignant neoplasm of central part of female breast', 'Primary malignant neoplasm of central portion of female breast', 'Sarcoma of breast', 'Sarcoma of central portion of female breast', 'Sarcoma of female breast']"
9,[]
10,[]
11,['Carcinoma of central portion of breast']
12,"['Infiltrating duct carcinoma of right female breast', 'Infiltrating ductal carcinoma of upper inner quadrant of right female breast', 'Lump in upper inner quadrant of right breast', 'Malignant neoplasm of breast upper inner quadrant', 'Malignant neoplasm of upper-inner quadrant of female breast', 'Neoplasm of upper inner quadrant of female breast', 'Primary malignant neoplasm of breast upper inner quadrant', 'Primary malignant neoplasm of upper inner quadrant of female breast']"
13,"['Infiltrating duct carcinoma of left female breast', 'Infiltrating ductal carcinoma of upper inner quadrant of left female breast', 'Lump in upper inner quadrant of left breast', 'Malignant neoplasm of breast upper inner quadrant', 'Malignant neoplasm of upper-inner quadrant of female breast', 'Neoplasm of upper inner quadrant of female breast', 'Primary malignant neoplasm of breast upper inner quadrant', 'Primary malignant neoplasm of upper inner quadrant of female breast']"
