,Synonyms
0,"['Malignant carcinoid tumor', 'Poorly differentiated malignant carcinoid tumor']"
1,"['Malignant carcinoid tumor of duodenum', 'Malignant carcinoid tumor of small intestine', 'Primary malignant neoplasm of duodenum', 'Primary malignant neuroendocrine neoplasm of duodenum']"
2,"['Malignant carcinoid tumor of jejunum', 'Malignant carcinoid tumor of small intestine', 'Malignant tumor of jejunum', 'Primary malignant neoplasm of jejunum', 'Primary malignant neuroendocrine neoplasm of jejunum']"
3,"['Carcinoid tumor of ileum', 'Malignant carcinoid tumor of ileum', 'Malignant carcinoid tumor of small intestine', 'Primary malignant neoplasm of ileum', 'Primary malignant neuroendocrine neoplasm of ileum']"
4,['Malignant carcinoid tumor of small intestine']
5,"['Carcinoid tumor of appendix', 'Malignant carcinoid tumor of appendix', 'Malignant carcinoid tumor of large intestine', 'Malignant tumor of appendix', 'Neuroendocrine neoplasm of appendix', 'Primary malignant neoplasm of appendix', 'Primary malignant neuroendocrine neoplasm of appendix']"
6,"['Malignant carcinoid tumor of cecum', 'Malignant carcinoid tumor of large intestine', 'Malignant tumor of cecum', 'Primary malignant neoplasm of cecum', 'Primary malignant neuroendocrine neoplasm of cecum']"
7,"['Malignant carcinoid tumor of ascending colon', 'Malignant carcinoid tumor of colon', 'Malignant carcinoid tumor of large intestine', 'Primary malignant neoplasm of ascending colon', 'Primary malignant neuroendocrine neoplasm of ascending colon', 'Primary malignant neuroendocrine neoplasm of colon']"
8,[]
9,"['Malignant carcinoid tumor of colon', 'Malignant carcinoid tumor of descending colon', 'Malignant carcinoid tumor of large intestine', 'Primary malignant neoplasm of descending colon', 'Primary malignant neuroendocrine neoplasm of colon']"
10,[]
11,"['Carcinoid tumor of rectum', 'Malignant carcinoid tumor of large intestine', 'Malignant carcinoid tumor of rectum', 'Primary malignant neoplasm of rectum', 'Primary malignant neuroendocrine neoplasm of rectum']"
12,"['Malignant carcinoid tumor of colon', 'Malignant carcinoid tumor of large intestine', 'Primary malignant neuroendocrine neoplasm of colon']"
13,"['Carcinoid bronchial adenoma', 'Carcinoid tumor of lung', 'Malignant carcinoid tumor of bronchus', 'Malignant carcinoid tumor of lung', 'Neuroendocrine neoplasm of lung', 'Primary malignant neuroendocrine neoplasm of bronchus', 'Primary malignant neuroendocrine neoplasm of lung']"
14,"['Malignant carcinoid tumor of thymus', 'Malignant tumor of thymus', 'Primary malignant neoplasm of thymus']"
15,"['Carcinoid tumor of stomach', 'Malignant carcinoid tumor of stomach', 'Primary malignant neuroendocrine neoplasm of stomach']"
16,['Malignant carcinoid tumor of kidney']
17,[]
18,[]
19,[]
20,"['Carcinoid tumor of pancreas', 'Malignant carcinoid tumor of pancreas', 'Malignant tumor of endocrine pancreas', 'Primary malignant neuroendocrine neoplasm of pancreas']"
