,Synonyms
0,"['Neoplasm of commissure of lip', 'Neoplasm of uncertain behavior of commissure of lip', 'Neoplasm of uncertain behavior of inner aspect of lip', 'Neoplasm of uncertain behavior of inner aspect of lower lip', 'Neoplasm of uncertain behavior of inner aspect of upper lip', 'Neoplasm of uncertain behavior of lip', 'Neoplasm of uncertain behavior of lip, oral cavity and pharynx', 'Neoplasm of uncertain behavior of vermilion border of lip', 'Neoplasm of uncertain behavior of vermilion border of lower lip', 'Neoplasm of uncertain behavior of vermilion border of upper lip', 'Neoplasm of vermilion border of lower lip', 'Neoplasm of vermilion border of upper lip']"
1,"['Neoplasm of junctional zone of tongue', 'Neoplasm of lingual tonsil', 'Neoplasm of uncertain behavior of anterior two-thirds of tongue', 'Neoplasm of uncertain behavior of base of tongue', 'Neoplasm of uncertain behavior of border of tongue', 'Neoplasm of uncertain behavior of dorsal surface of tongue', 'Neoplasm of uncertain behavior of junctional zone of tongue', 'Neoplasm of uncertain behavior of lingual tonsil', 'Neoplasm of uncertain behavior of tongue', 'Neoplasm of uncertain behavior of ventral surface of tongue', 'Neoplasm of ventral surface of tongue']"
2,"['Neoplasm of uncertain behavior of major salivary gland', 'Neoplasm of uncertain behavior of parotid gland']"
3,"['Neoplasm of sublingual gland', 'Neoplasm of uncertain behavior of floor of mouth', 'Neoplasm of uncertain behavior of major salivary gland', 'Neoplasm of uncertain behavior of sublingual gland']"
4,"['Neoplasm of uncertain behavior of major salivary gland', 'Neoplasm of uncertain behavior of submandibular gland']"
5,"['Neoplasm of salivary gland duct', 'Neoplasm of uncertain behavior of major salivary gland', 'Neoplasm of uncertain behavior of salivary gland duct']"
6,"['Neoplasm of minor salivary gland', 'Neoplasm of uncertain behavior of minor salivary gland']"
7,"['Mass of vallecula of epiglottis', 'Neoplasm of adenoid', 'Neoplasm of anterior aspect of epiglottis', 'Neoplasm of anterior wall of nasopharynx', 'Neoplasm of hypopharyngeal aspect of interarytenoid fold', 'Neoplasm of junctional region of epiglottis', 'Neoplasm of lateral wall of nasopharynx', 'Neoplasm of postcricoid region', 'Neoplasm of posterior hypopharyngeal wall', 'Neoplasm of posterior wall of oropharynx', 'Neoplasm of pyriform sinus', 'Neoplasm of superior wall of nasopharynx', 'Neoplasm of tonsillar fossa', 'Neoplasm of uncertain behavior of adenoid', 'Neoplasm of uncertain behavior of anterior aspect of epiglottis', 'Neoplasm of uncertain behavior of anterior wall of nasopharynx', 'Neoplasm of uncertain behavior of aryepiglottic fold', 'Neoplasm of uncertain behavior of epiglottis', 'Neoplasm of uncertain behavior of epiglottis', 'Neoplasm of uncertain behavior of epiglottis', 'Neoplasm of uncertain behavior of hypopharyngeal aspect of aryepiglottic fold', 'Neoplasm of uncertain behavior of hypopharyngeal aspect of interarytenoid fold', 'Neoplasm of uncertain behavior of hypopharynx', 'Neoplasm of uncertain behavior of junctional region of epiglottis', 'Neoplasm of uncertain behavior of lateral wall of nasopharynx', 'Neoplasm of uncertain behavior of lateral wall of oropharynx', 'Neoplasm of uncertain behavior of lip, oral cavity and pharynx', 'Neoplasm of uncertain behavior of nasopharynx', 'Neoplasm of uncertain behavior of oropharynx', 'Neoplasm of uncertain behavior of pharynx', 'Neoplasm of uncertain behavior of postcricoid region', 'Neoplasm of uncertain behavior of posterior hypopharyngeal wall', 'Neoplasm of uncertain behavior of posterior wall of nasopharynx', 'Neoplasm of uncertain behavior of posterior wall of oropharynx', 'Neoplasm of uncertain behavior of pyriform sinus', 'Neoplasm of uncertain behavior of soft tissues of neck', 'Neoplasm of uncertain behavior of superior wall of nasopharynx', 'Neoplasm of uncertain behavior of tonsil', 'Neoplasm of uncertain behavior of tonsillar fossa', 'Neoplasm of uncertain behavior of tonsillar pillar', 'Neoplasm of uncertain behavior of vallecula of epiglottis', ""Neoplasm of uncertain behavior of Waldeyer's ring"", 'Neoplasm of vallecula', 'Tumor of aryepiglottic fold - hypopharyngeal aspect']"
8,"['Neoplasm of alveolar ridge mucosa', 'Neoplasm of lower gum', 'Neoplasm of retromolar area', 'Neoplasm of uncertain behavior of alveolar ridge mucosa', 'Neoplasm of uncertain behavior of anterior portion of floor of mouth', 'Neoplasm of uncertain behavior of buccal mucosa', 'Neoplasm of uncertain behavior of cheek', 'Neoplasm of uncertain behavior of floor of mouth', 'Neoplasm of uncertain behavior of gingival mucosa', 'Neoplasm of uncertain behavior of gums', 'Neoplasm of uncertain behavior of hard palate', 'Neoplasm of uncertain behavior of lateral portion of floor of mouth', 'Neoplasm of uncertain behavior of lip, oral cavity and pharynx', 'Neoplasm of uncertain behavior of lower gum', 'Neoplasm of uncertain behavior of mouth', 'Neoplasm of uncertain behavior of nasopharynx', 'Neoplasm of uncertain behavior of oral cavity', 'Neoplasm of uncertain behavior of palate', 'Neoplasm of uncertain behavior of retromolar area', 'Neoplasm of uncertain behavior of soft palate', 'Neoplasm of uncertain behavior of upper gum', 'Neoplasm of uncertain behavior of uvula', 'Neoplasm of uncertain behavior of vestibule of mouth', 'Neoplasm of upper gum', 'Neoplasm of uvula', 'Tumor of anterior floor of mouth', 'Tumor of lateral floor of mouth']"
9,"['Carcinoid tumor of stomach', 'Neoplasm of fundus of stomach', 'Neoplasm of greater curvature of stomach', 'Neoplasm of lesser curvature of stomach', 'Neoplasm of pyloric antrum', 'Neoplasm of pylorus', 'Neoplasm of uncertain behavior of body of stomach', 'Neoplasm of uncertain behavior of cardia of stomach', 'Neoplasm of uncertain behavior of fundus of stomach', 'Neoplasm of uncertain behavior of greater curvature of stomach', 'Neoplasm of uncertain behavior of lesser curvature of stomach', 'Neoplasm of uncertain behavior of pyloric antrum', 'Neoplasm of uncertain behavior of pylorus', 'Neoplasm of uncertain behavior of stomach', 'Pyloric mass']"
