,Synonyms
0,"['Benign carcinoid tumor', 'Benign carcinoid tumor of gastrointestinal tract']"
1,"['Benign carcinoid tumor of duodenum', 'Benign carcinoid tumor of small intestine']"
2,[]
3,"['Benign carcinoid tumor of ileum', 'Benign carcinoid tumor of small intestine', 'Benign neoplasm of ileum', 'Carcinoid tumor of ileum']"
4,['Benign carcinoid tumor of small intestine']
5,"['Benign carcinoid tumor of appendix', 'Benign neoplasm of appendix', 'Carcinoid tumor of appendix', 'Neuroendocrine neoplasm of appendix']"
6,"['Benign carcinoid tumor of cecum', 'Benign neoplasm of cecum']"
7,"['Benign carcinoid tumor of ascending colon', 'Benign neoplasm of ascending colon']"
8,[]
9,"['Benign carcinoid tumor of descending colon', 'Benign neoplasm of descending colon']"
10,"['Benign carcinoid tumor of sigmoid colon', 'Benign neoplasm of sigmoid colon']"
11,"['Benign carcinoid of large intestine', 'Benign carcinoid tumor', 'Benign carcinoid tumor of gastrointestinal tract', 'Benign carcinoid tumor of rectum', 'Benign neuroendocrine tumor of rectum', 'Carcinoid tumor of rectum']"
12,"['Benign carcinoid of large intestine', 'Benign carcinoid tumor', 'Benign carcinoid tumor of gastrointestinal tract']"
13,"['Benign carcinoid of lung', 'Benign carcinoid tumor', 'Benign neuroendocrine tumor of lung', 'Carcinoid tumor of lung', 'Neuroendocrine neoplasm of lung']"
14,[]
15,"['Benign carcinoid tumor of stomach', 'Carcinoid tumor of stomach']"
16,[]
17,[]
18,[]
19,[]
20,"['Gastrointestinal hormone-secreting endocrine tumor', 'Vasoactive intestinal peptide-secreting tumor']"
21,"['5-HT secreting neuroendocrine tumor', 'Benign neoplasm of appendix', 'Benign neoplasm of cecum', 'Benign neuroendocrine neoplasm of pancreas', 'Benign neuroendocrine tumor', 'Benign neuroendocrine tumor of appendix', 'Benign neuroendocrine tumor of cecum', 'Benign neuroendocrine tumor of duodenum', 'Benign neuroendocrine tumor of kidney', 'Benign neuroendocrine tumor of lung', 'Benign neuroendocrine tumor of rectum', 'Benign neuroendocrine tumor of small intestine', 'Benign neuroendocrine tumor of stomach', 'Gastric inhibitory peptide-secreting tumor', 'Gastrointestinal hormone-secreting endocrine tumor', 'Neonatal malabsorption with gastrointestinal hormone-secreting endocrine tumor', 'Neuroendocrine neoplasm of appendix', 'Neuroendocrine neoplasm of gastrointestinal tract', 'Neuroendocrine neoplasm of larynx', 'Neuroendocrine neoplasm of lung', 'Neuroendocrine neoplasm of stomach', 'Neuroendocrine tumor', 'Neuroendocrine tumor of anus', 'Neuroendocrine tumor of middle ear', 'Neuroendocrine tumor of pancreas', 'Nonhyperfunctioning neuroendocrine tumor', 'Pancreatic polypeptidoma']"
