,category,condition
0,D49.0,Neoplasm of unspecified behavior of digestive system
1,D49.1,Neoplasm of unspecified behavior of respiratory system
2,D49.2,"Neoplasm of unsp behavior of bone, soft tissue, and skin"
3,D49.3,Neoplasm of unspecified behavior of breast
4,D49.4,Neoplasm of unspecified behavior of bladder
5,D49.511,Neoplasm of unspecified behavior of right kidney
6,D49.512,Neoplasm of unspecified behavior of left kidney
7,D49.519,Neoplasm of unspecified behavior of unspecified kidney
8,D49.59,Neoplasm of unspecified behavior of other GU organ
9,D49.6,Neoplasm of unspecified behavior of brain
10,D49.7,Neoplm of unsp behav of endo glands and oth prt nervous sys
11,D49.81,Neoplasm of unspecified behavior of retina and choroid
12,D49.89,Neoplasm of unspecified behavior of other specified sites
13,D49.9,Neoplasm of unspecified behavior of unspecified site
