,Synonyms
0,"['Acute splenic tumor', 'Ampulla of Vater surgical margin, involved by tumor', 'Anal, deep radial surgical margin involved by tumor', 'Anal, distal surgical margin involved by tumor', 'Anal, proximal surgical margin involved by tumor', 'Appendix with tumor involvement, with perforation not at tumor', 'Common bile duct surgical margin, involved by tumor', 'Deep ', 'Dudley-Klingenstein syndrome', 'Erosion of esophageal tumor into bronchus', 'Erosion of esophageal tumor into trachea', 'Erythrocytosis due to hepatoma', 'Esophageal surgical margin, involved by tumor', 'Functional pancreatic endocrine tumor', 'Functional status of pancreatic endocrine tumor cannot be assessed', 'Functional status of pancreatic endocrine tumor unknown', 'Gastric wall tumor', 'Gastrointestinal anastomotic tumor recurrence', 'Gastrointestinal hormone-secreting endocrine tumor', 'Gastrointestinal hormone-secreting endocrine tumor', 'Gastrointestinal stromal neoplasm of duodenum', 'Gastrointestinal stromal tumor', 'Gastrointestinal stromal tumor of small intestine', 'Growth hormone releasing factor-secreting tumor', 'Inappropriate secondary erythrocytosis', 'Intraductal papillary mucinous neoplasm of pancreas', 'Mass of vallecula of epiglottis', 'Mixed pancreatic endocrine tumor', 'Neoplasm of abdominal esophagus', 'Neoplasm of adenoid', 'Neoplasm of alveolar ridge mucosa', 'Neoplasm of ampulla of Vater', 'Neoplasm of anal canal', 'Neoplasm of anterior aspect of epiglottis', 'Neoplasm of anterior two-thirds of tongue', 'Neoplasm of anterior wall of nasopharynx', 'Neoplasm of anus', 'Neoplasm of appendix', 'Neoplasm of ascending colon', 'Neoplasm of base of tongue', 'Neoplasm of biliary tract', 'Neoplasm of body of pancreas', 'Neoplasm of body of stomach', 'Neoplasm of border of tongue', 'Neoplasm of buccal mucosa', 'Neoplasm of cardia of stomach', 'Neoplasm of cecum', 'Neoplasm of cervical esophagus', 'Neoplasm of colon', 'Neoplasm of commissure of lip', 'Neoplasm of common bile duct', 'Neoplasm of cystic duct', 'Neoplasm of descending colon', 'Neoplasm of digestive organ', 'Neoplasm of digestive system', 'Neoplasm of digestive tract', 'Neoplasm of dorsal surface of tongue', 'Neoplasm of duodenum', 'Neoplasm of endocrine pancreas', 'Neoplasm of esophagus', 'Neoplasm of extrahepatic bile ducts', 'Neoplasm of floor of mouth', 'Neoplasm of frenum of lip', 'Neoplasm of fundus of stomach', 'Neoplasm of gallbladder', 'Neoplasm of gastrointestinal tract', 'Neoplasm of gingival mucosa', 'Neoplasm of greater curvature of stomach', 'Neoplasm of gum', 'Neoplasm of hard palate', 'Neoplasm of head of pancreas', 'Neoplasm of hepatic flexure of colon', 'Neoplasm of hypopharyngeal aspect of interarytenoid fold', 'Neoplasm of hypopharynx', 'Neoplasm of ileum', 'Neoplasm of inner aspect of lip', 'Neoplasm of inner aspect of lower lip', 'Neoplasm of inner aspect of upper lip', 'Neoplasm of intestinal tract', 'Neoplasm of intrahepatic bile ducts', 'Neoplasm of jejunum', 'Neoplasm of junctional region of epiglottis', 'Neoplasm of junctional zone of tongue', 'Neoplasm of large intestine', 'Neoplasm of lateral border of tongue', 'Neoplasm of lateral wall of nasopharynx', 'Neoplasm of lateral wall of oropharynx', 'Neoplasm of lesser curvature of stomach', 'Neoplasm of lingual tonsil', 'Neoplasm of lip', 'Neoplasm of liver', 'Neoplasm of lower gum', 'Neoplasm of lower third of esophagus', 'Neoplasm of major salivary gland', ""Neoplasm of Meckel's diverticulum"", 'Neoplasm of mesentery', 'Neoplasm of middle third of esophagus', 'Neoplasm of minor salivary gland', 'Neoplasm of mouth', 'Neoplasm of muscle of face', 'Neoplasm of muscle of mastication', 'Neoplasm of nasopharynx', 'Neoplasm of omentum', 'Neoplasm of palate', 'Neoplasm of pancreas', 'Neoplasm of pancreatic duct', 'Neoplasm of parietal peritoneum', 'Neoplasm of parotid gland', 'Neoplasm of pelvic peritoneum', 'Neoplasm of periadrenal tissue', 'Neoplasm of perirenal tissue', 'Neoplasm of peritoneum', 'Neoplasm of pharynx', 'Neoplasm of postcricoid region', 'Neoplasm of posterior hypopharyngeal wall', 'Neoplasm of posterior wall of nasopharynx', 'Neoplasm of posterior wall of oropharynx', 'Neoplasm of pyloric antrum', 'Neoplasm of pylorus', 'Neoplasm of pyriform sinus', 'Neoplasm of rectosigmoid junction', 'Neoplasm of rectouterine pouch', 'Neoplasm of rectum', 'Neoplasm of retrocecal tissue', 'Neoplasm of retromolar area', 'Neoplasm of retroperitoneum', 'Neoplasm of salivary gland duct', 'Neoplasm of sigmoid colon', 'Neoplasm of small intestine', 'Neoplasm of soft palate', 'Neoplasm of spleen', 'Neoplasm of splenic flexure of colon', 'Neoplasm of stomach', 'Neoplasm of sublingual gland', 'Neoplasm of submaxillary gland', 'Neoplasm of superior wall of nasopharynx', 'Neoplasm of tail of pancreas', 'Neoplasm of the mesocolon', 'Neoplasm of thoracic esophagus', 'Neoplasm of tip of tongue', 'Neoplasm of tongue', 'Neoplasm of tonsil', 'Neoplasm of tonsillar fossa', 'Neoplasm of tonsillar pillar', 'Neoplasm of transverse colon', 'Neoplasm of upper gum', 'Neoplasm of upper third of esophagus', 'Neoplasm of uvula', 'Neoplasm of vallecula', 'Neoplasm of ventral surface of tongue', 'Neoplasm of vermilion border of lip', 'Neoplasm of vermilion border of lower lip', 'Neoplasm of vermilion border of upper lip', 'Neoplasm of vestibule of mouth', 'Nonsecretory pancreatic endocrine tumor', 'Papillary mass of biliary tract', 'Parathyroid hormone-related peptide-secreting tumor', 'Peritoneal tumor implant present', 'Pyloric mass', 'Splenitis', 'Submucosal tumor of duodenum', 'Submucosal tumor of esophagus', 'Submucosal tumor of gastrointestinal tract', 'Submucosal tumor of intestine', 'Submucosal tumor of stomach', 'Tongue benign neoplasm excised', 'Tumor limited to the pancreas ', 'Tumor of anterior floor of mouth', 'Tumor of anterior pillar of fauces', 'Tumor of anterior tonsillar pillar', 'Tumor of anterior two-thirds of tongue - dorsal surface', 'Tumor of anterior two-thirds of tongue - lateral margin', 'Tumor of anterior two-thirds of tongue - ventral surface', 'Tumor of anus and anal canal', 'Tumor of aryepiglottic fold - hypopharyngeal aspect', 'Tumor of buccal sulcus', 'Tumor of ear, nose and throat', 'Tumor of esophagus, stomach and duodenum', 'Tumor of exocrine pancreas', 'Tumor of frenum linguae', 'Tumor of frenum of lower lip', 'Tumor of frenum of upper lip', 'Tumor of glossoepiglottic fold', 'Tumor of inferior surface of soft palate', 'Tumor of labial mucosa', 'Tumor of labial sulcus', 'Tumor of lateral floor of mouth', 'Tumor of lateral nasal wall', 'Tumor of lower buccal sulcus', 'Tumor of lower labial mucosa', 'Tumor of lower labial sulcus', 'Tumor of nasal cavity and nasopharynx', 'Tumor of nasopharyngeal floor', 'Tumor of nasopharyngeal surface of soft palate', 'Tumor of oral cavity', 'Tumor of peritoneum and retroperitoneum', 'Tumor of pharyngeal recess', 'Tumor of posterior margin of nasal septum and choanae', 'Tumor of posterior tonsillar pillar', 'Tumor of salivary gland', 'Tumor of upper buccal sulcus', 'Tumor of upper labial mucosa', 'Tumor of upper labial sulcus']"
1,"['Hilar mass', 'Mass of petrous part of temporal bone', 'Neoplasm of accessory sinus', 'Neoplasm of bronchus', 'Neoplasm of bronchus of left lower lobe', 'Neoplasm of bronchus of left upper lobe', 'Neoplasm of bronchus of right lower lobe', 'Neoplasm of bronchus of right middle lobe', 'Neoplasm of bronchus of right upper lobe', 'Neoplasm of carina', 'Neoplasm of cartilage of nose', 'Neoplasm of epiglottis', 'Neoplasm of ethmoidal sinus', 'Neoplasm of false vocal cord', 'Neoplasm of frontal sinus', 'Neoplasm of glottis', 'Neoplasm of hilus of lung', 'Neoplasm of laryngeal aspect of aryepiglottic fold', 'Neoplasm of laryngeal aspect of interarytenoid fold', 'Neoplasm of laryngeal commissure', 'Neoplasm of laryngeal surface of epiglottis', 'Neoplasm of larynx', 'Neoplasm of left lower lobe of lung', 'Neoplasm of left upper lobe of lung', 'Neoplasm of lower respiratory tract', 'Neoplasm of lung', 'Neoplasm of main bronchus', 'Neoplasm of mastoid air cells', 'Neoplasm of maxillary sinus', 'Neoplasm of mesothelial tissue of pleura', 'Neoplasm of middle ear', 'Neoplasm of nasal cavity', 'Neoplasm of nasal concha', 'Neoplasm of nasal vestibule', 'Neoplasm of parietal pleura', 'Neoplasm of pleura', 'Neoplasm of respiratory tract', 'Neoplasm of right lower lobe of lung', 'Neoplasm of right middle lobe of lung', 'Neoplasm of right upper lobe of lung', 'Neoplasm of septum of nose', 'Neoplasm of sphenoidal sinus', 'Neoplasm of subglottis', 'Neoplasm of supraglottis', 'Neoplasm of trachea', 'Neoplasm of upper respiratory tract', 'Neoplasm of visceral pleura', 'Neoplasm of vocal cord', ""Neoplasm of Waldeyer's ring"", 'Pulmonary tumor embolism', 'Transglottic tumor', 'Tumor embolus', 'Tumor of anterior commissure', 'Tumor of arytenoid', 'Tumor of Eustachian tube', 'Tumor of inferior turbinate', 'Tumor of infrahyoid epiglottis', 'Tumor of laryngeal cartilage', 'Tumor of laryngeal ventricle', 'Tumor of lower respiratory tract and mediastinum', 'Tumor of lung parenchyma', 'Tumor of middle ear and mastoid', 'Tumor of nasal cavity and nasopharynx', 'Tumor of opening of auditory tube', 'Tumor of posterior commissure', 'Tumor of respiratory system', 'Tumor of suprahyoid epiglottis', 'Tumor of tympanic antrum', 'Tumor of tympanic cavity']"
2,"['Abdominal wall tumor', 'Benign neoplasm of peripheral nerves of upper limb', 'Cervical plexopathy', 'Cutaneous meningioma', 'Disorder of ethmoid bone', 'Epithelial neoplasm of skin', 'Fibrohistiocytic tumor', 'Fibrous tissue neoplasm of skin', 'Hypomelanosis surrounding melanocytic neoplasm', 'Mass of parietal bone of skull', 'Mass of thoracic vertebrae', 'Mixed adnexal neoplasm of skin, unclassifiable', 'Muir-Torré syndrome', 'Neoplasm of acromion', 'Neoplasm of articular cartilage', 'Neoplasm of autonomic nerve', 'Neoplasm of blood vessel', 'Neoplasm of blood vessel of abdomen', 'Neoplasm of blood vessel of axilla', 'Neoplasm of blood vessel of buttock', 'Neoplasm of blood vessel of face', 'Neoplasm of blood vessel of finger', 'Neoplasm of blood vessel of foot', 'Neoplasm of blood vessel of forearm', 'Neoplasm of blood vessel of hand', 'Neoplasm of blood vessel of head', 'Neoplasm of blood vessel of head', 'Neoplasm of blood vessel of hip', 'Neoplasm of blood vessel of inguinal region', 'Neoplasm of blood vessel of lower leg', 'Neoplasm of blood vessel of lower limb', 'Neoplasm of blood vessel of neck', 'Neoplasm of blood vessel of pelvis', 'Neoplasm of blood vessel of perineum', 'Neoplasm of blood vessel of popliteal space', 'Neoplasm of blood vessel of shoulder', 'Neoplasm of blood vessel of thigh', 'Neoplasm of blood vessel of thorax', 'Neoplasm of blood vessel of toe', 'Neoplasm of blood vessel of trunk', 'Neoplasm of blood vessel of upper arm', 'Neoplasm of blood vessel of upper limb', 'Neoplasm of bone', 'Neoplasm of bone of face', 'Neoplasm of bone of foot', 'Neoplasm of bone of hand', 'Neoplasm of bone of left foot', 'Neoplasm of bone of left hand', 'Neoplasm of bone of lower limb', 'Neoplasm of bone of right foot', 'Neoplasm of bone of right hand', 'Neoplasm of bone of sacrum', 'Neoplasm of bone of skull', 'Neoplasm of bone of upper limb', 'Neoplasm of calcaneus', 'Neoplasm of carpal bone', 'Neoplasm of cervical atlantoaxial joint', 'Neoplasm of cervical spinal nerve', 'Neoplasm of cervical vertebra', 'Neoplasm of cervical vertebral column', 'Neoplasm of clavicle', 'Neoplasm of coccygeal body', 'Neoplasm of coccyx', 'Neoplasm of connective tissues', 'Neoplasm of cuboid', 'Neoplasm of diaphragm', 'Neoplasm of ear', 'Neoplasm of ethmoid bone', 'Neoplasm of facial nerve', 'Neoplasm of femur', 'Neoplasm of fibula', 'Neoplasm of first cuneiform bone of foot', 'Neoplasm of frontal bone', 'Neoplasm of great vessels', 'Neoplasm of hamate bone', 'Neoplasm of head of rib', 'Neoplasm of humerus', 'Neoplasm of ilium', 'Neoplasm of integumentary system', 'Neoplasm of ischium', 'Neoplasm of left clavicle', 'Neoplasm of left femur', 'Neoplasm of left humerus', 'Neoplasm of left radius', 'Neoplasm of left scapula', 'Neoplasm of left tibia', 'Neoplasm of left ulna', 'Neoplasm of long bone of lower limb', 'Neoplasm of long bone of upper limb', 'Neoplasm of lumbar vertebra', 'Neoplasm of lumbar vertebral column', 'Neoplasm of lunate bone', 'Neoplasm of lymph node', 'Neoplasm of lymphoid system structure', 'Neoplasm of mandible', 'Neoplasm of mandibular condyle', 'Neoplasm of maxilla', 'Neoplasm of mesothelial tissue of peritoneum', 'Neoplasm of metacarpal bone', 'Neoplasm of metatarsal bone', 'Neoplasm of muscle', 'Neoplasm of muscle of abdomen', 'Neoplasm of muscle of buttock', 'Neoplasm of muscle of face', 'Neoplasm of muscle of head', 'Neoplasm of muscle of hip', 'Neoplasm of muscle of inguinal region', 'Neoplasm of muscle of lower limb', 'Neoplasm of muscle of neck', 'Neoplasm of muscle of pelvis', 'Neoplasm of muscle of pelvis', 'Neoplasm of muscle of perineum', 'Neoplasm of muscle of shoulder', 'Neoplasm of muscle of thorax', 'Neoplasm of muscle of trunk', 'Neoplasm of muscle of upper limb', 'Neoplasm of musculoskeletal system', 'Neoplasm of nasal bone', 'Neoplasm of navicular bone of foot', 'Neoplasm of nerve of hand', 'Neoplasm of occipital bone', 'Neoplasm of palatine bone', 'Neoplasm of parietal bone', 'Neoplasm of patella', 'Neoplasm of pelvic bone', 'Neoplasm of perianal skin', 'Neoplasm of peripheral nerve', 'Neoplasm of peripheral nerve of head AND/OR neck', 'Neoplasm of peripheral nerve of pelvis', 'Neoplasm of peripheral nerves of abdomen', 'Neoplasm of peripheral nerves of face', 'Neoplasm of peripheral nerves of head', 'Neoplasm of peripheral nerves of hip', 'Neoplasm of peripheral nerves of lower limb', 'Neoplasm of peripheral nerves of shoulder', 'Neoplasm of peripheral nerves of thorax', 'Neoplasm of peripheral nerves of trunk', 'Neoplasm of peripheral nerves of upper limb', 'Neoplasm of phalanx of foot', 'Neoplasm of phalanx of hand', 'Neoplasm of pisiform bone of hand', 'Neoplasm of pubis', 'Neoplasm of radius', 'Neoplasm of rib', 'Neoplasm of right clavicle', 'Neoplasm of right femur', 'Neoplasm of right humerus', 'Neoplasm of right radius', 'Neoplasm of right scapula', 'Neoplasm of right tibia', 'Neoplasm of right ulna', 'Neoplasm of sacroiliac joint', 'Neoplasm of sacrum', 'Neoplasm of scaphoid bone', 'Neoplasm of scapula', 'Neoplasm of second cuneiform bone of foot', 'Neoplasm of short bone of lower limb', 'Neoplasm of short bone of upper limb', 'Neoplasm of skeletal muscle', 'Neoplasm of skeletal system', 'Neoplasm of skin', 'Neoplasm of skin of abdomen', 'Neoplasm of skin of ankle', 'Neoplasm of skin of axilla', 'Neoplasm of skin of back', 'Neoplasm of skin of breast', 'Neoplasm of skin of buttock', 'Neoplasm of skin of cheek', 'Neoplasm of skin of chest', 'Neoplasm of skin of chin', 'Neoplasm of skin of ear', 'Neoplasm of skin of elbow', 'Neoplasm of skin of external auditory canal', 'Neoplasm of skin of eyebrow', 'Neoplasm of skin of eyelid', 'Neoplasm of skin of face', 'Neoplasm of skin of finger', 'Neoplasm of skin of foot', 'Neoplasm of skin of forearm', 'Neoplasm of skin of forehead', 'Neoplasm of skin of groin', 'Neoplasm of skin of hand', 'Neoplasm of skin of hip', 'Neoplasm of skin of knee', 'Neoplasm of skin of lip', 'Neoplasm of skin of lower leg', 'Neoplasm of skin of lower limb', 'Neoplasm of skin of neck', 'Neoplasm of skin of nose', 'Neoplasm of skin of perineum', 'Neoplasm of skin of popliteal area', 'Neoplasm of skin of scalp', 'Neoplasm of skin of shoulder', 'Neoplasm of skin of temporal region', 'Neoplasm of skin of thigh', 'Neoplasm of skin of toe', 'Neoplasm of skin of trunk', 'Neoplasm of skin of umbilicus', 'Neoplasm of skin of upper arm', 'Neoplasm of skin of upper limb', 'Neoplasm of skin of wrist', 'Neoplasm of skin region', 'Neoplasm of skin with adnexal differentiation', 'Neoplasm of soft tissue', 'Neoplasm of soft tissue of hand', 'Neoplasm of soft tissues of abdomen', 'Neoplasm of soft tissues of axilla', 'Neoplasm of soft tissues of buttock', 'Neoplasm of soft tissues of face', 'Neoplasm of soft tissues of head', 'Neoplasm of soft tissues of hip', 'Neoplasm of soft tissues of inguinal region', 'Neoplasm of soft tissues of lower limb', 'Neoplasm of soft tissues of neck', 'Neoplasm of soft tissues of pelvis', 'Neoplasm of soft tissues of perineum', 'Neoplasm of soft tissues of shoulder', 'Neoplasm of soft tissues of thorax', 'Neoplasm of soft tissues of trunk', 'Neoplasm of soft tissues of upper limb', 'Neoplasm of sphenoid bone', 'Neoplasm of sternum', 'Neoplasm of sweat gland', 'Neoplasm of talus', 'Neoplasm of tarsal bone', 'Neoplasm of temporal bone', 'Neoplasm of third cuneiform bone of foot', 'Neoplasm of thoracic vertebra', 'Neoplasm of thoracic vertebral column', 'Neoplasm of tibia', 'Neoplasm of trapezium', 'Neoplasm of trapezoid bone', 'Neoplasm of ulna', 'Neoplasm of uncertain behavior of bone of face', 'Neoplasm of uncertain behavior of jaw', 'Neoplasm of vertebra', 'Neoplasm of vertebral column', 'Neoplasm of vomer', 'Neoplasm of zygomatic bone', 'Odontogenic tumor of jaw', 'Pathological fracture of clavicle', 'Pathological fracture of clavicle due to neoplastic disease', 'Pathological fracture of foot due to neoplastic disease', 'Pathological fracture of left foot', 'Pathological fracture of left foot due to neoplastic disease', 'Pathological fracture of left radius', 'Pathological fracture of left radius due to neoplastic disease', 'Pathological fracture of left scapula', 'Pathological fracture of left scapula due to neoplastic disease', 'Pathological fracture of radius due to neoplastic disease', 'Pathological fracture of right clavicle', 'Pathological fracture of right clavicle due to neoplastic disease', 'Pathological fracture of right scapula', 'Pathological fracture of right scapula due to neoplastic disease', 'Pathological fracture of right ulna', 'Pathological fracture of right ulna due to neoplastic disease', 'Pathological fracture of scapula', 'Pathological fracture of scapula', 'Pathological fracture of scapula due to neoplastic disease', 'Pathological fracture of scapula due to neoplastic disease', 'Pathological fracture of ulna due to neoplastic disease', 'Sebaceous adenoma of skin', 'Skin tumor of neural origin', 'Skin tumor of smooth muscle origin', 'Squamous neoplasm of surface epithelium', 'Synovial-like neoplasm', 'Torré-Muir syndrome co-occurrent with benign sebaceous neoplasm', 'Tumor of adipose tissue', 'Tumor of ear, nose and throat', 'Tumor of external ear', 'Tumor of eyelid', 'Tumor of middle turbinate', 'Tumor of skin with apocrine differentiation', 'Tumor of skin with pilar differentiation', 'Tumor of skin with sebaceous differentiation', 'Tumor of skin with sebaceous differentiation', 'Tumor of soft tissue of back', 'Tumor of soft tissue of head, face and neck', 'Tumor of spinal nerve and sheath', 'Vascular neoplasm of skin']"
3,"['Neoplasm of areola of female breast', 'Neoplasm of areola of male breast', 'Neoplasm of axillary tail of female breast', 'Neoplasm of breast', 'Neoplasm of central portion of female breast', 'Neoplasm of ectopic female breast tissue', 'Neoplasm of ectopic male breast tissue', 'Neoplasm of female breast', 'Neoplasm of lower inner quadrant of female breast', 'Neoplasm of lower outer quadrant of female breast', 'Neoplasm of male breast', 'Neoplasm of nipple of female breast', 'Neoplasm of nipple of male breast', 'Neoplasm of upper inner quadrant of female breast', 'Neoplasm of upper outer quadrant of female breast', 'Surgical margin involvement by tumor present ']"
4,"['Neoplasm of anterior wall of urinary bladder', 'Neoplasm of apex of urinary bladder', 'Neoplasm of bladder', 'Neoplasm of dome of urinary bladder', 'Neoplasm of lateral wall of urinary bladder', 'Neoplasm of posterior wall of urinary bladder', 'Neoplasm of trigone of urinary bladder', 'Neoplasm of urachus', 'Neoplasm of ureteric orifice of urinary bladder', 'Neoplasm of urinary bladder neck', 'Tumor of bladder neck', 'Tumor of vault of bladder']"
5,[]
6,[]
7,"['Acquired renal cyst with neoplastic change', 'Acquired renal cystic disease', 'Adrenal gland uninvolved by renal tumor', 'Erythrocytosis due to renal tumor', 'Familial papillary thyroid carcinoma with renal papillary neoplasia syndrome', ""Gerota's fascia uninvolved by renal tumor"", 'Inappropriate secondary erythrocytosis', 'Neoplasm of kidney', 'Neoplasm of renal pelvis', 'Papillary thyroid carcinoma', 'Papillary thyroid carcinoma with renal papillary neoplasia', 'Primary differentiated carcinoma of thyroid gland', 'Renal sinus vessel involved by tumor', 'Renal tumor limited to kidney macroscopically', 'Renal vein uninvolved by renal tumor', 'Soft tissue of renal sinus involved by tumor', 'Tumor of kidney parenchyma', 'Tumor of kidney parenchyma', 'Tumor of renal calyx']"
8,"['Endometrium, hysterectomy surgical margin, involved by tumor', 'Epithelial tumor of ovary', 'Extraprostatic extension of tumor absent', 'Extraprostatic extension of tumor indeterminate', 'Fallopian tube surgical margin, involved by tumor', 'In situ neoplasm of vulva', 'Lesion of clitoris', 'Mixed epithelial tumor of ovary', 'Neoplasm of body of penis', 'Neoplasm of body of uterus', 'Neoplasm of broad ligament', 'Neoplasm of clitoris', 'Neoplasm of endocervix', 'Neoplasm of endometrium', 'Neoplasm of epididymis', 'Neoplasm of exocervix', 'Neoplasm of fallopian tube', 'Neoplasm of female genital organ', 'Neoplasm of fundus uteri', 'Neoplasm of glans penis', 'Neoplasm of isthmus of uterus', 'Neoplasm of labia majora', 'Neoplasm of labia minora', 'Neoplasm of male genital organ', 'Neoplasm of myometrium', 'Neoplasm of ovary', 'Neoplasm of parametrium', 'Neoplasm of paraurethral glands', 'Neoplasm of penis', 'Neoplasm of placenta', 'Neoplasm of prepuce', 'Neoplasm of prostate', 'Neoplasm of round ligament of uterus', 'Neoplasm of scrotum', 'Neoplasm of spermatic cord', 'Neoplasm of testis', 'Neoplasm of undescended testis', 'Neoplasm of ureter', 'Neoplasm of urethra', 'Neoplasm of urinary system', 'Neoplasm of urinary tract proper', 'Neoplasm of uterine adnexa', 'Neoplasm of uterine cervix', 'Neoplasm of uterus', 'Neoplasm of uterus affecting pregnancy', 'Neoplasm of vagina', 'Neoplasm of vas deferens', 'Neoplasm of vulva', 'No organ AND/OR tissue, other than fallopian tube, macroscopically involved by tumor', 'Ovarian tumor omental implantation not applicable', 'Paratesticular tumor', 'Prostate tumor incidental histologic finding in 5% or less of tissue resected', 'Prostate tumor incidental histologic finding in more than 5% of tissue resected', 'Sex cord tumor of ovary', 'Tumor microscopically involves only the fallopian tube', 'Tumor of body of uterus affecting pregnancy', 'Tumor of cervix affecting pregnancy', 'Tumor of corpus cavernosum', 'Tumor of corpus spongiosum', 'Tumor of pelviureteric junction', 'Tumor of seminal vesicle', 'Tumor of skin of penis', 'Tumor of tunica vaginalis', 'Tumor of uterine body - baby delivered', 'Tumor of uterine body - baby delivered with postpartum complication', 'Tumor of uterine body affecting obstetric care', 'Tumor of uterine body complicating antenatal care, baby not yet delivered', 'Tumor of uterine body complicating postpartum care - baby delivered during previous episode of care', 'Tumor of uterine body in pregnancy, childbirth and the puerperium', 'Tumor of vagina affecting pregnancy', 'Tumor of vulva affecting pregnancy']"
9,"['Cerebellopontine angle tumor', 'Cerebral degeneration due to neoplastic disease', 'Epilepsy due to intracranial tumor', 'Germ cell tumor of the brain', 'Intracranial tumor', 'Neoplasm of brain', 'Neoplasm of brain stem', 'Neoplasm of cerebellum', 'Neoplasm of cerebral ventricle', 'Neoplasm of cerebrum', 'Neoplasm of frontal lobe', 'Neoplasm of occipital lobe', 'Neoplasm of parietal lobe', 'Neoplasm of temporal lobe', 'Tumor of choroid plexus', 'Tumor of hypothalamus']"
