,Synonyms
0,"['Autosomal dominant severe congenital neutropenia', 'Complete deafness', 'Congenital deafness', 'Congenital enlarged kidney', 'Congenital neutropenia', 'Congenital neutropenia, myelofibrosis, nephromegaly syndrome', 'Kostmann syndrome', 'Myelofibrosis', 'Neutropenia', 'Neutropenia, monocytopenia, deafness syndrome', 'Periodontitis co-occurrent with infantile genetic agranulocytosis', 'X-linked severe congenital neutropenia']"
1,['Neutropenia due to and following chemotherapy']
2,"['Chloramphenicol-induced neutropenia', 'Dose-related drug-induced neutropenia', 'Drug-induced neutropenia', 'Non dose-related drug-induced neutropenia']"
3,"['Agranulocytosis', 'Agranulocytosis co-occurrent with human immunodeficiency virus infection', 'Neutropenia associated with infectious disease', 'Neutropenic sepsis']"
4,"['Cyclical neutropenia', 'Cyclical neutropenia', 'Pancreatic insufficiency', 'Periodontitis associated with cyclical neutropenia', 'Periodontitis co-occurrent with cyclical neutropenia', 'Shwachman syndrome']"
5,"['Autoimmune leukopenia', 'Autoimmune neutropenia', 'Chemotactic disorder', 'Chronic benign neutropenia', 'Chronic benign neutropenia of childhood', 'Chronic familial neutropenia', 'Chronic hypoplastic neutropenia', 'Chronic idiopathic immunoneutropenia in adults', 'Constitutional neutropenia', 'Defective phagocytic cell chemotaxis', 'Familial neutropenia', 'Familial neutropenia', 'Febrile granulocytopenia', 'Febrile leukopenia', 'Febrile neutropenia', 'Granulocytopenic disorder', 'Immune neutropenia', 'Ineffective granulopoiesis', 'Isoimmune neutropenia', 'Lazy leukocyte syndrome', 'Metabolic neutropenia', 'Mucositis necroticans agranulocytica', 'Neutropenia', 'Neutropenia associated with autoimmune disease', 'Neutropenia due to irradiation', 'Neutropenia with dysgranulopoiesis', 'Periodontitis associated with chronic familial neutropenia', 'Periodontitis co-occurrent with familial neutropenia', 'Reticular dysgenesis', 'Reticular dysgenesis with congenital aleukocytosis', 'SCID due to absent peripheral T cell maturation', 'Toxic neutropenia']"
6,"['Acquired eosinopenia', 'Acquired neutropenia', 'Agranulocytosis', 'Agranulocytosis', 'Agranulocytosis associated with AIDS', 'Benign granulocytopenia in childhood', 'Chronic benign granulocytopenia', 'Chronic idiopathic neutropenia', 'Constitutional eosinopenia', 'Decreased blood eosinophil number', 'Eosinopenia', 'Granulocytopenic disorder', 'Immune neutropenia', 'Myelokathexis', 'Neutropenia', 'Neutropenia associated with AIDS', 'Neutropenia associated with infectious disease', 'Neutropenic disorder', 'Periodontitis co-occurrent with acquired neutropenia', 'Poikiloderma with neutropenia', 'Refractory neutropenia']"
7,[]
8,"['Chronic granulomatous disease', 'Chronic granulomatous disease, type I', 'Chronic granulomatous disease, type IA', 'Chronic granulomatous disease, type II', 'Chronic granulomatous disease, type IIA', 'Chronic granulomatous disease, type III', 'Chronic granulomatous disease, type IV', 'Chronic granulomatous disease, type IVA', 'Functional disorders of polymorphonuclear neutrophils', 'Granulomatous disorder', 'Heritable disorder of neutrophil function', 'Hypercalcemia due to granulomatous disease', 'Hypoparathyroidism due to granulomatous disease', 'Interstitial lung disease due to granulomatous disease', 'Neutrophil lactoferrin deficiency']"
9,"['Alders syndrome', 'Combined phagocytic defect', 'Congenital leukocyte adherence deficiency', 'Congenital leukocyte adherence deficiency', 'Congenital leukocyte adherence deficiency', ""De Vaal's syndrome"", 'Defective phagocytic cell adhesion', 'Defective phagocytic cell adhesion', 'Defective phagocytic cell adhesion', 'Genetic anomaly of leukocyte', 'Hereditary hypersegmentation', 'Hereditary neutrophilia', 'Hypersegmentation', 'Leukocyte adhesion deficiency - type 1', 'Leukocyte adhesion deficiency - type 2', 'May-Hegglin anomaly', 'Megakaryocytic thrombocytopenia', 'Neutrophilia', 'Neutrophilia', 'Pelger-Huët anomaly', 'Pelger-Huët cell', 'Periodontitis co-occurrent with leukocyte adhesion deficiency', 'Reticular dysgenesis', 'Reticular dysgenesis with congenital aleukocytosis', 'SCID due to absent peripheral T cell maturation']"
