,Synonyms
0,"['Conjunctival xerosis', 'Vitamin A deficiency with conjunctival xerosis']"
1,"['Conjunctival xerosis', ""Vitamin A deficiency with Bitot's spot AND conjunctival xerosis"", 'Vitamin A deficiency with conjunctival xerosis']"
2,['Vitamin A deficiency with corneal xerosis']
3,"['Vitamin A deficiency with corneal ulceration AND xerosis', 'Vitamin A deficiency with corneal xerosis', 'Vitamin A deficiency with corneal xerosis and ulcer']"
4,"['Keratomalacia', 'Vitamin A deficiency with keratomalacia']"
5,"['Acquired night blindness', 'Night blindness', 'Vitamin A deficiency with night blindness']"
6,"['Conjunctival xerosis', 'Vitamin A deficiency with corneal xerosis', 'Vitamin A deficiency with xerophthalmic corneal scars', 'Vitamin A deficiency with xerophthalmic scars of cornea', 'Xerophthalmia']"
7,"['Conjunctival xerosis', 'Corneal ulcer due to vitamin A deficiency', 'Vitamin A deficiency with ocular manifestation', 'Vitamin A deficiency with xerophthalmia', 'Xerophthalmia']"
8,"['Inverted follicular keratosis', 'Phrynoderma', 'Vitamin A deficiency with follicular keratosis', 'Vitamin A deficiency with xeroderma']"
9,"['Decreased vitamin A', 'Disorder of carotene', 'Disorder of vitamin A', 'Hereditary hypercarotenemia and vitamin A deficiency', 'Inadequate dietary intake of vitamin A', 'Vitamin A deficiency']"
10,"['Beriberi', 'Beriberi neuropathy', 'Dry beriberi', 'Infantile beriberi', 'Neuropathy due to vitamin B deficiency']"
11,"['Beriberi', 'Beriberi', 'Beriberi', 'Cardiac beriberi', 'Shoshin beriberi', 'Wet beriberi']"
12,"['Cerebral degeneration due to beriberi', 'Encephalopathy due to nutritional deficiency', 'Encephalopathy due to vitamin deficiency', 'Polioencephalopathy', ""Wernicke's disease""]"
13,"['Chastek paralysis', 'Encephalomalacia', 'Encephalopathy due to nutritional deficiency']"
14,"['Inadequate dietary intake of thiamine', 'Thiamine and niacin deficiency states', 'Thiamine deficiency']"
15,[]
16,"['Alcoholic pellagra', 'Deficiency of isocitrate dehydrogenase ', 'Drug-induced pellagra', 'Drug-induced photosensitivity', 'Inadequate dietary intake of niacin', 'Niacin deficiency', 'Pellagra', 'Pellagra neuropathy', 'Polyneuropathy in pellagra', 'Thiamine and niacin deficiency states']"
17,"['Anemia due to riboflavin deficiency', 'Ariboflavinosis', 'Ariboflavinosis', ""Gopalan's syndrome"", 'Maternal riboflavin deficiency', 'Vitamin B12 deficiency glossitis']"
18,"['Anemia due to vitamin B>6< deficiency', 'Inadequate vitamin B6 intake', 'Vitamin B6 deficiency', 'Vitamin B6 deficiency ']"
