,category,condition
0,E70.0,Classical phenylketonuria
1,E70.1,Other hyperphenylalaninemias
2,E70.20,"Disorder of tyrosine metabolism, unspecified"
3,E70.21,Tyrosinemia
4,E70.29,Other disorders of tyrosine metabolism
5,E70.30,"Albinism, unspecified"
6,E70.310,Xlinked ocular albinism
7,E70.311,Autosomal recessive ocular albinism
8,E70.318,Other ocular albinism
9,E70.319,"Ocular albinism, unspecified"
10,E70.320,Tyrosinase negative oculocutaneous albinism
11,E70.321,Tyrosinase positive oculocutaneous albinism
12,E70.328,Other oculocutaneous albinism
13,E70.329,"Oculocutaneous albinism, unspecified"
14,E70.330,ChediakHigashi syndrome
15,E70.331,HermanskyPudlak syndrome
16,E70.338,Other albinism with hematologic abnormality
17,E70.339,"Albinism with hematologic abnormality, unspecified"
18,E70.39,Other specified albinism
19,E70.40,"Disorders of histidine metabolism, unspecified"
20,E70.41,Histidinemia
21,E70.49,Other disorders of histidine metabolism
22,E70.5,Disorders of tryptophan metabolism
23,E70.8,Other disorders of aromatic aminoacid metabolism
24,E70.9,"Disorder of aromatic aminoacid metabolism, unspecified"
25,E71.0,Maplesyrupurine disease
26,E71.110,Isovaleric acidemia
27,E71.111,3methylglutaconic aciduria
28,E71.118,Other branchedchain organic acidurias
29,E71.120,Methylmalonic acidemia
30,E71.121,Propionic acidemia
31,E71.128,Other disorders of propionate metabolism
32,E71.19,Other disorders of branchedchain aminoacid metabolism
33,E71.2,"Disorder of branchedchain aminoacid metabolism, unsp"
34,E71.30,"Disorder of fattyacid metabolism, unspecified"
35,E71.310,Long chain/very long chain acyl CoA dehydrogenase deficiency
36,E71.311,Medium chain acyl CoA dehydrogenase deficiency
37,E71.312,Short chain acyl CoA dehydrogenase deficiency
38,E71.313,Glutaric aciduria type II
39,E71.314,Muscle carnitine palmitoyltransferase deficiency
40,E71.318,Other disorders of fattyacid oxidation
41,E71.32,Disorders of ketone metabolism
42,E71.39,Other disorders of fattyacid metabolism
43,E71.40,"Disorder of carnitine metabolism, unspecified"
44,E71.41,Primary carnitine deficiency
45,E71.42,Carnitine deficiency due to inborn errors of metabolism
46,E71.43,Iatrogenic carnitine deficiency
47,E71.440,RuvalcabaMyhreSmith syndrome
48,E71.448,Other secondary carnitine deficiency
49,E71.50,"Peroxisomal disorder, unspecified"
50,E71.510,Zellweger syndrome
51,E71.511,Neonatal adrenoleukodystrophy
52,E71.518,Other disorders of peroxisome biogenesis
53,E71.520,Childhood cerebral Xlinked adrenoleukodystrophy
54,E71.521,Adolescent Xlinked adrenoleukodystrophy
55,E71.522,Adrenomyeloneuropathy
56,E71.528,Other Xlinked adrenoleukodystrophy
57,E71.529,"Xlinked adrenoleukodystrophy, unspecified type"
58,E71.53,Other group 2 peroxisomal disorders
59,E71.540,Rhizomelic chondrodysplasia punctata
60,E71.541,Zellwegerlike syndrome
61,E71.542,Other group 3 peroxisomal disorders
62,E71.548,Other peroxisomal disorders
63,E72.00,"Disorders of aminoacid transport, unspecified"
64,E72.01,Cystinuria
65,E72.02,Hartnup's disease
66,E72.03,Lowe's syndrome
67,E72.04,Cystinosis
68,E72.09,Other disorders of aminoacid transport
