,Synonyms
0,"['Hypothyroidism caused by drug', 'Hypothyroidism following external radiotherapy', 'Hypothyroidism following radioiodine therapy', 'Iatrogenic hypothyroidism', 'Irradiation hypothyroidism', 'Postablative hypothyroidism', 'Postoperative hypothyroidism']"
1,"['Hypoinsulinemia following procedure', 'Hypoinsulinism', 'Postpancreatectomy hyperglycemia', 'Postpancreatectomy hypoinsulinemia', 'Post-surgical hypoinsulinemia']"
2,"['Absent parathyroid gland', 'Hypoparathyroidism after external beam radiotherapy', 'Hypoparathyroidism after iodine thyroid ablation', 'Hypoparathyroidism following procedure', 'Postablative hypoparathyroidism', 'Post-surgical hypoparathyroidism']"
3,"['Hypophysectomy-induced hypopituitarism', 'Hypopituitarism due to radiotherapy', 'Hypopituitarism following procedure', 'Iatrogenic hypopituitarism', 'Iatrogenic hypopituitarism', 'Iatrogenic pituitary disorder', 'Iatrogenic pituitary disorder']"
4,"['Gonad postablative failure', 'Iatrogenic ovarian failure', 'Iatrogenic premature ovarian failure', 'Injury of ovary', 'Ovarian failure due to procedure', 'Postablative ovarian failure', 'Post-chemotherapy ovarian failure', 'Postirradiation ovarian failure', 'Postprocedural asymptomatic ovarian failure', 'Premature ovarian failure', 'Secondary ovarian failure']"
5,"['Menopausal syndrome', 'Menopausal syndrome', 'Postartificial menopausal syndrome', 'Post-hysterectomy menopause', 'Post-radiation menopause', 'Postsurgical menopause', 'Symptomatic postprocedural ovarian failure']"
6,"['Cytotoxic drug-induced hypospermatogenesis', 'Gonad postablative failure', 'Iatrogenic testicular hypofunction', 'Postablative testicular hypofunction', 'Post-chemotherapy testicular hypofunction', 'Postirradiation testicular hypofunction', 'Postsurgical testicular hypofunction', 'Testicular hypofunction following procedure']"
7,"['Adrenocortical hypofunction following procedure', 'History of adenectomy', 'History of adrenalectomy', 'Post-adrenalectomy adrenal insufficiency']"
8,[]
9,[]
10,[]
11,[]
12,[]
13,[]
14,"['Complication of procedure by succeeding disorder', 'Metabolic complication of procedures']"
