,Synonyms
0,"['Anorexia nervosa', 'Anorexia nervosa co-occurrent with dangerously low body weight', 'Anorexia nervosa co-occurrent with significantly low body weight', 'Anorexia nervosa in remission', 'Eating disorder in remission', 'Hypertrichosis in anorexia nervosa']"
1,"['Anorexia nervosa', 'Anorexia nervosa, restricting type', 'Dangerously low body weight co-occurrent and due to anorexia nervosa of restricting type', 'Significantly low body weight co-occurrent and due to anorexia nervosa of restricting type']"
2,"['Anorexia nervosa', 'Anorexia nervosa, binge-eating purging type', 'Dangerously low body weight co-occurrent and due to anorexia nervosa of binge-eating purging type', 'Significantly low body weight co-occurrent and due to anorexia nervosa of binge-eating purging type']"
3,"['Bulimia nervosa', 'Bulimia nervosa in remission', 'Bulimia nervosa, nonpurging type', 'Bulimia nervosa, purging type', 'Eating disorder in remission', 'Finding of quantity of eating', 'Overeating', 'Pattern of overeating and vomiting', 'Self-induced purging', 'Self-induced purging to lose weight', 'Self-induced vomiting to lose weight']"
4,"['Binge eating disorder', 'Binging', 'Compulsive eating pattern', 'Finding of quantity of eating']"
5,"['Avoidant restrictive food intake disorder', 'Psychogenic loss of appetite']"
6,"['Craving for non-food item', 'Cyclical vomiting - psychogenic', 'Geophagia', 'Nocturnal sleep-related eating disorder', 'Non-organic loss of appetite', 'Overeating associated with other psychological disturbances', 'Periodic syndrome', 'Pica', 'Psychogenic overeating', 'Psychogenic vomiting', 'Self-induced vomiting', 'Sleep automatism', 'Vomiting associated with other psychological disturbances', 'Weight fixation']"
7,"['Atypical anorexia nervosa', 'Atypical bulimia nervosa', 'Bulimia nervosa', 'Eating disorder', 'Eating disorder in remission']"
8,"['Hypersomnia of non-organic origin', 'Nonorganic insomnia', 'Non-organic sleep disorder', 'Non-organic sleep disorder', 'Primary insomnia']"
9,"['Adjustment insomnia', 'Finding related to ability to sleep', 'Sleep state misperception', 'Transient insomnia']"
10,[]
11,"['Chronic insomnia', 'Psychophysiologic insomnia']"
12,"['Initial mood insomnia', 'Insomnia disorder related to another mental disorder', 'Insomnia due to anxiety and fear', 'Middle mood insomnia', 'Mood insomnia', 'Mood insomnia', 'Mood insomnia', 'Physiological disturbance associated with mood', 'Physiological disturbance associated with mood', 'Physiological disturbance associated with mood', 'Terminal mood insomnia']"
13,"['Mood insomnia', 'Physiological disturbance associated with mood']"
14,['Primary hypersomnia']
15,"['Not getting enough sleep', 'Primary hyposomnia']"
16,"['Hypersomnia disorder related to another mental disorder', 'Mood hypersomnia', 'Physiological disturbance associated with mood']"
