,Synonyms
0,"['Haemophilus infection of the central nervous system', 'Haemophilus influenzae meningitis', 'Haemophilus influenzae type b infection', 'Haemophilus meningitis', 'Meningitis due to Haemophilus influenzae type B']"
1,"['Pneumococcal meningitis', 'Streptococcal meningitis', 'Streptococcus infection of the central nervous system']"
2,"['Meningitis caused by Streptococcus agalactiae', 'Streptococcal meningitis', 'Streptococcus infection of the central nervous system']"
3,"['Infection due to Staphylococcus Coagulase negative', 'Infection due to Staphylococcus epidermidis', 'Meningitis caused by methicillin resistant Staphylococcus aureus', 'Methicillin resistant Staphylococcus aureus infection', 'Staphylococcal meningitis', 'Staphylococcus aureus meningitis', 'Staphylococcus epidermidis meningitis']"
4,"['Bacterial infection due to Klebsiella pneumoniae', 'Bacterial infection due to Morganella morganii', 'Escherichia coli infection of the central nervous system', 'Escherichia coli meningitis', 'Infection caused by Enterobacter', 'Infection caused by Klebsiella aerogenes', 'Infection due to enterococcus', 'Meningitis caused by Enterobacter', 'Meningitis caused by Enterococcus', 'Meningitis caused by gram-negative aerobic bacillus', 'Meningitis caused by Klebsiella aerogenes', 'Meningitis caused by Spirochaetes', 'Meningitis due to anaerobic bacteria', 'Meningitis due to bacillus pyocyaneus', 'Meningitis due to Friedlander bacillus', 'Meningitis due to pertussis', 'Morganella infection', 'Morganella morganii meningitis', 'Proteus meningitis', 'Pseudomonas meningitis']"
5,"['Acute purulent meningitis', 'Bacterial meningitis', 'Bacterial meningitis due to Gram-negative bacteria', 'Hypertrophic pachymeningitis due to infection', 'Infective meningitis', 'Meningitis caused by gram-negative aerobic bacillus', 'Meningitis caused by gram-negative aerobic coccus', 'Meningitis following procedure', 'Pachymeningitis', 'Postoperative bacterial meningitis', 'Postoperative meningitis']"
6,[]
7,"['Meningitis caused by Actinomycetales', 'Meningitis caused by Nocardia']"
8,[]
9,"['African histoplasmosis', 'African trypanosomiasis', 'Candidal meningitis', 'Coccidioidal meningitis', 'Coccidioides infection of the central nervous system', 'Cryptococcal meningitis', 'Cryptococcus infection of the central nervous system', 'Cysticercosis of central nervous system', 'Enterovirus meningitis', 'Fungal meningitis', 'Histoplasma infection of central nervous system', 'Meningitis caused by Histoplasma capsulatum', 'Meningitis caused by Histoplasma duboisii', 'Meningitis caused by Histoplasmosis', 'Meningitis caused by Human poliovirus', 'Meningitis caused by Mucorales', 'Meningitis caused by Taenia solium', 'Meningitis caused by Trypanosoma brucei', 'Parasitic meningitis', 'Taenia solium infection', 'Trypanosomiasis with meningitis']"
10,"['Aseptic meningitis', 'Aseptic meningitis', 'Aseptic meningitis', 'Aseptic meningitis due to drug', 'HIV infection with aseptic meningitis', 'Meningitis following procedure', 'Non-infective meningitis', 'Non-infective meningitis due to inflammatory disorder', 'Non-pyogenic meningitis', 'Postoperative aseptic meningitis', 'Postoperative meningitis', 'Q fever aseptic meningitis']"
11,"['Chronic adhesive pachymeningitis', 'Chronic meningitis', 'Fibrous hypertrophic cervical pachymeningitis', 'Pachymeningitis', 'Pachymeningitis']"
12,"['Benign multirecurrent endothelioleukocytal meningitis', 'Non-infective meningitis']"
13,"['Chemical meningitis', 'Leptomeningitis', 'Lymphomatous meningitis', 'Meningeal leukemia', 'Meningitis following central neuraxial block', 'Meningitis following procedure', 'Meningitis following procedure', 'Non-infective meningitis', 'Non-infective meningitis']"
14,"['Adhesive arachnoiditis', 'Arachnoiditis', 'Basilar meningitis', 'Decreased flexion', 'Hemorrhagic meningitis', 'Idiopathic hypertrophic pachymeningitis', 'Leptomeningitis', 'Malignant meningitis', 'Meningitis', 'Meningitis following procedure', 'Metastatic malignant neoplasm of meninges', 'Neonatal meningitis', 'Non-infective meningitis', 'Nuchal rigidity', 'Nuchal rigidity due to meningitis', 'Pachymeningitis', 'Postoperative meningitis', 'Posttraumatic meningitis', 'Spinal arachnoiditis', 'Spinal effusion', 'Subdural effusion']"
15,"['Acute disseminated encephalomyelitis', 'Chronic myelopathy', 'Multiphasic acute disseminated encephalomyelitis', 'Recurrent acute disseminated encephalomyelitis']"
16,"['Acute disseminated encephalomyelitis', 'Acute disseminated encephalomyelitis following infectious disease', 'Bacterial ventriculitis', 'Infection due to Staphylococcus Coagulase negative', 'Infection due to Staphylococcus epidermidis', 'Infective ventriculitis', 'Post-infectious encephalitis', 'Post-infectious encephalomyelitis', 'Post-infective myelitis', 'Staphylococcus epidermidis ventriculitis', 'Ventriculitis of the brain']"
17,"['Complication of smallpox vaccination', 'Post BCG vaccination encephalitis', 'Post cholera vaccination encephalitis', 'Post diphtheria vaccination encephalitis', 'Post hepatitis A vaccination encephalitis', 'Post hepatitis B vaccination encephalitis', 'Post influenza vaccination encephalitis', 'Post measles vaccination encephalitis', 'Post mixed vaccination encephalitis', 'Post mumps vaccination encephalitis', 'Post paratyphoid vaccination encephalitis', 'Post pertussis vaccination encephalitis', 'Post plague vaccination encephalitis', 'Post polio vaccination encephalitis', 'Post rabies vaccination encephalitis', 'Post rubella vaccination encephalitis', 'Post smallpox vaccination encephalitis', 'Post tetanus vaccination encephalitis', 'Post typhoid vaccination encephalitis', 'Post typhus vaccination encephalitis', 'Post yellow fever vaccination encephalitis', 'Post-immunization encephalitis', 'Post-immunization myelitis', 'Postvaccinal encephalomyelitis']"
18,[]
19,"['Bacterial meningoencephalitis', 'Bacterial meningomyelitis']"
20,[]
21,"['Acute necrotizing encephalopathy of childhood', 'Post-infectious encephalitis']"
22,[]
23,[]
