,Synonyms
0,"['Abscess of external auditory canal', 'Abscess of external ear', 'Abscess of pinna', 'Abscess of preauricular sinus', 'Carbuncle of ear', 'Furuncle of ear', 'Furunculosis of external auditory meatus', 'Periauricular abscess']"
1,"['Abscess of external ear', 'Abscess of right external ear']"
2,"['Abscess of external ear', 'Abscess of left external ear']"
3,"['Abscess of bilateral external ears', 'Abscess of external ear', 'Abscess of left external ear', 'Abscess of right external ear']"
4,"['Cellulitis of pinna', 'Streptococcal cellulitis of external ear']"
5,['Cellulitis of right external ear']
6,['Cellulitis of left external ear']
7,"['Cellulitis of both external ears', 'Cellulitis of left external ear', 'Cellulitis of right external ear']"
8,"['Granulomatous otitis externa', 'Malignant otitis externa', 'Malignant otitis externa due to Pseudomonas aeruginosa', 'Necrotizing otitis externa']"
9,"['Malignant otitis externa', 'Malignant otitis externa of right external auditory canal', 'Necrotizing otitis externa', 'Necrotizing otitis externa of right external auditory canal']"
10,"['Malignant otitis externa', 'Malignant otitis externa of left external auditory canal', 'Necrotizing otitis externa', 'Necrotizing otitis externa of left external auditory canal']"
11,"['Infection of bilateral ears', 'Infective otitis externa of bilateral ears', 'Malignant otitis externa', 'Malignant otitis externa of bilateral external auditory canals', 'Malignant otitis externa of left external auditory canal', 'Malignant otitis externa of right external auditory canal']"
12,[]
13,[]
14,[]
15,['Diffuse otitis externa']
16,[]
17,[]
18,[]
19,[]
20,[]
21,[]
22,[]
23,[]
24,"['Acute infection of pinna', 'Acute infection of pinna of right ear', 'Chronic infective otitis externa of right external auditory canal', 'Chronic mycotic otitis externa', 'Chronic mycotic otitis externa of right external auditory canal', 'Chronic otitis externa of right external auditory canal', 'Infective otitis externa of right ear', 'Otitis externa of right external auditory canal caused by fungus']"
25,"['Acute infection of pinna', 'Acute infection of pinna of left ear', 'Chronic infective otitis externa of left external auditory canal', 'Chronic mycotic otitis externa', 'Chronic mycotic otitis externa of left external auditory canal', 'Chronic otitis externa of left external auditory canal', 'Infective otitis externa of left ear', 'Otitis externa of left external auditory canal caused by fungus']"
26,"['Bilateral chronic otitis externa of external auditory canals caused by fungus', 'Bilateral external auditory canal chronic otitis externa', 'Bilateral otitis externa of external auditory canals caused by fungus', 'Chronic infective otitis externa of bilateral external auditory canals', 'Chronic infective otitis externa of left external auditory canal', 'Chronic infective otitis externa of right external auditory canal', 'Chronic mycotic otitis externa', 'Chronic mycotic otitis externa of left external auditory canal', 'Chronic mycotic otitis externa of right external auditory canal', 'Chronic otitis externa of left external auditory canal', 'Chronic otitis externa of right external auditory canal', 'Infection of bilateral ears', 'Infection of bilateral ears', 'Infective otitis externa of bilateral ears', 'Otitis externa of left external auditory canal caused by fungus', 'Otitis externa of right external auditory canal caused by fungus']"
27,"['Acute bacterial otitis externa', 'Acute infection of pinna', 'Acute infective otitis externa', 'Acute infective otitis externa', 'Acute viral otitis externa', 'Bacterial otitis externa', 'Bacterial otitis media', 'Chronic bacterial otitis externa', 'Chronic infective otitis externa', 'Chronic mycotic otitis externa', 'Chronic mycotic otitis externa', 'Chronic otitis externa due to aspergillosis', 'Chronic viral otitis externa', 'Circumscribed otitis externa', 'Infection of external auditory canal', 'Infection of external ear', 'Infective otitis externa', 'Infective otitis externa due to erysipelas', 'Infective otitis externa due to impetigo']"
28,"['Cholesteatoma of external ear', 'Keratosis obturans of external ear canal']"
29,"['Cholesteatoma of external ear', 'Cholesteatoma of right external ear', 'Keratosis obturans of external ear canal', 'Keratosis obturans of right external auditory canal']"
