,category,condition
0,H65.00,"Acute serous otitis media, unspecified ear"
1,H65.01,"Acute serous otitis media, right ear"
2,H65.02,"Acute serous otitis media, left ear"
3,H65.03,"Acute serous otitis media, bilateral"
4,H65.04,"Acute serous otitis media, recurrent, right ear"
5,H65.05,"Acute serous otitis media, recurrent, left ear"
6,H65.06,"Acute serous otitis media, recurrent, bilateral"
7,H65.07,"Acute serous otitis media, recurrent, unspecified ear"
8,H65.111,"Acute and subacute allergic otitis media (serous), r ear"
9,H65.112,"Acute and subacute allergic otitis media (serous), left ear"
10,H65.113,"Acute and subacute allergic otitis media (serous), bi"
11,H65.114,"Acute and subacute allergic otitis media, recur, r ear"
12,H65.115,"Acute and subacute allergic otitis media, recur, left ear"
13,H65.116,"Acute and subacute allergic otitis media (serous), recur, bi"
14,H65.117,"Acute and subacute allergic otitis media, recur, unsp ear"
15,H65.119,"Acute and subacute allergic otitis media (serous), unsp ear"
16,H65.191,"Other acute nonsuppurative otitis media, right ear"
17,H65.192,"Other acute nonsuppurative otitis media, left ear"
18,H65.193,"Other acute nonsuppurative otitis media, bilateral"
19,H65.194,"Oth acute nonsuppurative otitis media, recurrent, right ear"
20,H65.195,"Other acute nonsuppurative otitis media, recurrent, left ear"
21,H65.196,"Oth acute nonsuppurative otitis media, recurrent, bilateral"
22,H65.197,"Other acute nonsuppurative otitis media recurrent, unsp ear"
23,H65.199,"Other acute nonsuppurative otitis media, unspecified ear"
24,H65.20,"Chronic serous otitis media, unspecified ear"
25,H65.21,"Chronic serous otitis media, right ear"
26,H65.22,"Chronic serous otitis media, left ear"
27,H65.23,"Chronic serous otitis media, bilateral"
28,H65.30,"Chronic mucoid otitis media, unspecified ear"
29,H65.31,"Chronic mucoid otitis media, right ear"
30,H65.32,"Chronic mucoid otitis media, left ear"
31,H65.33,"Chronic mucoid otitis media, bilateral"
32,H65.411,"Chronic allergic otitis media, right ear"
33,H65.412,"Chronic allergic otitis media, left ear"
34,H65.413,"Chronic allergic otitis media, bilateral"
35,H65.419,"Chronic allergic otitis media, unspecified ear"
36,H65.491,"Other chronic nonsuppurative otitis media, right ear"
37,H65.492,"Other chronic nonsuppurative otitis media, left ear"
38,H65.493,"Other chronic nonsuppurative otitis media, bilateral"
39,H65.499,"Other chronic nonsuppurative otitis media, unspecified ear"
40,H65.90,"Unspecified nonsuppurative otitis media, unspecified ear"
41,H65.91,"Unspecified nonsuppurative otitis media, right ear"
42,H65.92,"Unspecified nonsuppurative otitis media, left ear"
43,H65.93,"Unspecified nonsuppurative otitis media, bilateral"
44,H66.001,"Acute suppr otitis media w/o spon rupt ear drum, right ear"
45,H66.002,"Acute suppr otitis media w/o spon rupt ear drum, left ear"
46,H66.003,"Acute suppr otitis media w/o spon rupt ear drum, bilateral"
47,H66.004,"Ac suppr otitis media w/o spon rupt ear drum, recur, r ear"
