,Synonyms
0,[]
1,[]
2,[]
3,"['Focal chorioretinitis', 'Focal choroiditis', 'Focal retinitis']"
4,[]
5,[]
6,[]
7,"['Focal choroiditis', 'Focal juxtapapillary choroiditis', 'Juxtapapillary focal chorioretinitis', 'Juxtapapillary focal choroiditis AND chorioretinitis', 'Juxtapapillary focal retinitis', 'Juxtapapillary focal retinitis AND retinochoroiditis']"
8,[]
9,[]
10,[]
11,"['Focal choroiditis', 'Focal choroiditis of posterior pole of eye', 'Focal retinitis AND retinochoroiditis of other posterior pole', 'Focal retinitis of posterior pole of eye', 'Posterior pole focal chorioretinitis']"
12,[]
13,[]
14,[]
15,"['Focal choroiditis', 'Focal choroiditis', 'Peripheral focal choroiditis', 'Peripheral focal choroiditis AND chorioretinitis', 'Peripheral focal retinitis', 'Peripheral focal retinitis AND retinochoroiditis', 'Peripheral focal retinochoroiditis']"
16,[]
17,[]
18,[]
19,"['Acute macular neuroretinitis', 'Focal choroiditis', 'Macular focal choroiditis', 'Macular focal retinitis', 'Paramacular focal retinitis', 'Paramacular focal retinitis AND retinochoroiditis', 'Paramacular focal retinochoroiditis']"
20,[]
21,[]
22,[]
23,"['Disseminated chorioretinitis', 'Disseminated choroiditis', 'Disseminated retinitis', 'Disseminated retinitis', 'Metastatic disseminated retinitis', 'Metastatic disseminated retinitis', 'Metastatic disseminated retinitis AND retinochoroiditis', 'Pigmented epithelial disseminated retinitis']"
24,[]
25,[]
26,[]
27,"['Disseminated choroiditis', 'Disseminated choroiditis', 'Disseminated choroiditis AND chorioretinitis, posterior pole', 'Disseminated posterior pole chorioretinitis', 'Posterior pole disseminated choroiditis']"
28,[]
29,[]
30,[]
31,"['Disseminated choroiditis', 'Disseminated choroiditis', 'Disseminated peripheral chorioretinitis', 'Peripheral disseminated choroiditis', 'Peripheral disseminated choroiditis AND chorioretinitis']"
32,[]
33,[]
34,[]
35,"['Disseminated choroiditis', 'Disseminated choroiditis', 'General disseminated chorioretinitis', 'Generalized disseminated choroiditis', 'Generalized disseminated choroiditis AND chorioretinitis', 'Generalized disseminated choroiditis AND chorioretinitis with acute necrosis', 'Multifocal inner choroiditis']"
36,"['Acute multifocal placoid pigment epitheliopathy of right eye', 'Acute posterior multifocal placoid pigment epitheliopathy', 'White dot syndrome']"
37,"['Acute multifocal placoid pigment epitheliopathy of left eye', 'Acute posterior multifocal placoid pigment epitheliopathy', 'White dot syndrome']"
38,"['Acute multifocal placoid pigment epitheliopathy of left eye', 'Acute multifocal placoid pigment epitheliopathy of right eye', 'Acute posterior multifocal placoid pigment epitheliopathy', 'Bilateral acute multifocal placoid pigment epitheliopathy', 'White dot syndrome']"
39,"['Acute posterior multifocal placoid pigment epitheliopathy', 'White dot syndrome']"
40,['Posterior cyclitis']
41,[]
42,[]
43,[]
44,[]
45,[]
46,[]
