,category,condition
0,H40.001,"Preglaucoma, unspecified, right eye"
1,H40.002,"Preglaucoma, unspecified, left eye"
2,H40.003,"Preglaucoma, unspecified, bilateral"
3,H40.009,"Preglaucoma, unspecified, unspecified eye"
4,H40.011,"Open angle with borderline findings, low risk, right eye"
5,H40.012,"Open angle with borderline findings, low risk, left eye"
6,H40.013,"Open angle with borderline findings, low risk, bilateral"
7,H40.019,"Open angle with borderline findings, low risk, unsp eye"
8,H40.021,"Open angle with borderline findings, high risk, right eye"
9,H40.022,"Open angle with borderline findings, high risk, left eye"
10,H40.023,"Open angle with borderline findings, high risk, bilateral"
11,H40.029,"Open angle with borderline findings, high risk, unsp eye"
12,H40.031,"Anatomical narrow angle, right eye"
13,H40.032,"Anatomical narrow angle, left eye"
14,H40.033,"Anatomical narrow angle, bilateral"
15,H40.039,"Anatomical narrow angle, unspecified eye"
16,H40.041,"Steroid responder, right eye"
17,H40.042,"Steroid responder, left eye"
18,H40.043,"Steroid responder, bilateral"
19,H40.049,"Steroid responder, unspecified eye"
20,H40.051,"Ocular hypertension, right eye"
21,H40.052,"Ocular hypertension, left eye"
22,H40.053,"Ocular hypertension, bilateral"
23,H40.059,"Ocular hypertension, unspecified eye"
24,H40.061,"Primary angle closure without glaucoma damage, right eye"
25,H40.062,"Primary angle closure without glaucoma damage, left eye"
26,H40.063,"Primary angle closure without glaucoma damage, bilateral"
27,H40.069,"Primary angle closure without glaucoma damage, unsp eye"
28,H40.10X0,"Unspecified openangle glaucoma, stage unspecified"
29,H40.10X1,"Unspecified openangle glaucoma, mild stage"
30,H40.10X2,"Unspecified openangle glaucoma, moderate stage"
31,H40.10X3,"Unspecified openangle glaucoma, severe stage"
32,H40.10X4,"Unspecified openangle glaucoma, indeterminate stage"
33,H40.1110,"Primary openangle glaucoma, right eye, stage unspecified"
34,H40.1111,"Primary openangle glaucoma, right eye, mild stage"
35,H40.1112,"Primary openangle glaucoma, right eye, moderate stage"
36,H40.1113,"Primary openangle glaucoma, right eye, severe stage"
37,H40.1114,"Primary openangle glaucoma, right eye, indeterminate stage"
38,H40.1120,"Primary openangle glaucoma, left eye, stage unspecified"
39,H40.1121,"Primary openangle glaucoma, left eye, mild stage"
40,H40.1122,"Primary openangle glaucoma, left eye, moderate stage"
41,H40.1123,"Primary openangle glaucoma, left eye, severe stage"
42,H40.1124,"Primary openangle glaucoma, left eye, indeterminate stage"
43,H40.1130,"Primary openangle glaucoma, bilateral, stage unspecified"
44,H40.1131,"Primary openangle glaucoma, bilateral, mild stage"
45,H40.1132,"Primary openangle glaucoma, bilateral, moderate stage"
46,H40.1133,"Primary openangle glaucoma, bilateral, severe stage"
47,H40.1134,"Primary openangle glaucoma, bilateral, indeterminate stage"
48,H40.1190,"Primary openangle glaucoma, unsp, stage unspecified"
49,H40.1191,"Primary openangle glaucoma, unspecified eye, mild stage"
50,H40.1192,"Primary openangle glaucoma, unspecified eye, moderate stage"
51,H40.1193,"Primary openangle glaucoma, unspecified eye, severe stage"
52,H40.1194,"Primary openangle glaucoma, unsp, indeterminate stage"
53,H40.1210,"Lowtension glaucoma, right eye, stage unspecified"
54,H40.1211,"Lowtension glaucoma, right eye, mild stage"
55,H40.1212,"Lowtension glaucoma, right eye, moderate stage"
56,H40.1213,"Lowtension glaucoma, right eye, severe stage"
57,H40.1214,"Lowtension glaucoma, right eye, indeterminate stage"
58,H40.1220,"Lowtension glaucoma, left eye, stage unspecified"
59,H40.1221,"Lowtension glaucoma, left eye, mild stage"
60,H40.1222,"Lowtension glaucoma, left eye, moderate stage"
61,H40.1223,"Lowtension glaucoma, left eye, severe stage"
62,H40.1224,"Lowtension glaucoma, left eye, indeterminate stage"
63,H40.1230,"Lowtension glaucoma, bilateral, stage unspecified"
64,H40.1231,"Lowtension glaucoma, bilateral, mild stage"
65,H40.1232,"Lowtension glaucoma, bilateral, moderate stage"
66,H40.1233,"Lowtension glaucoma, bilateral, severe stage"
67,H40.1234,"Lowtension glaucoma, bilateral, indeterminate stage"
68,H40.1290,"Lowtension glaucoma, unspecified eye, stage unspecified"
69,H40.1291,"Lowtension glaucoma, unspecified eye, mild stage"
70,H40.1292,"Lowtension glaucoma, unspecified eye, moderate stage"
71,H40.1293,"Lowtension glaucoma, unspecified eye, severe stage"
72,H40.1294,"Lowtension glaucoma, unspecified eye, indeterminate stage"
73,H40.1310,"Pigmentary glaucoma, right eye, stage unspecified"
74,H40.1311,"Pigmentary glaucoma, right eye, mild stage"
75,H40.1312,"Pigmentary glaucoma, right eye, moderate stage"
76,H40.1313,"Pigmentary glaucoma, right eye, severe stage"
77,H40.1314,"Pigmentary glaucoma, right eye, indeterminate stage"
78,H40.1320,"Pigmentary glaucoma, left eye, stage unspecified"
79,H40.1321,"Pigmentary glaucoma, left eye, mild stage"
80,H40.1322,"Pigmentary glaucoma, left eye, moderate stage"
81,H40.1323,"Pigmentary glaucoma, left eye, severe stage"
82,H40.1324,"Pigmentary glaucoma, left eye, indeterminate stage"
83,H40.1330,"Pigmentary glaucoma, bilateral, stage unspecified"
84,H40.1331,"Pigmentary glaucoma, bilateral, mild stage"
85,H40.1332,"Pigmentary glaucoma, bilateral, moderate stage"
86,H40.1333,"Pigmentary glaucoma, bilateral, severe stage"
87,H40.1334,"Pigmentary glaucoma, bilateral, indeterminate stage"
88,H40.1390,"Pigmentary glaucoma, unspecified eye, stage unspecified"
89,H40.1391,"Pigmentary glaucoma, unspecified eye, mild stage"
90,H40.1392,"Pigmentary glaucoma, unspecified eye, moderate stage"
91,H40.1393,"Pigmentary glaucoma, unspecified eye, severe stage"
92,H40.1394,"Pigmentary glaucoma, unspecified eye, indeterminate stage"
93,H40.1410,"Capslr glaucoma w/pseudxf lens, right eye, stage unsp"
94,H40.1411,"Capslr glaucoma w/pseudxf lens, right eye, mild stage"
95,H40.1412,"Capslr glaucoma w/pseudxf lens, right eye, moderate stage"
96,H40.1413,"Capslr glaucoma w/pseudxf lens, right eye, severe stage"
97,H40.1414,"Capslr glaucoma w/pseudxf lens, r eye, indeterminate stage"
98,H40.1420,"Capslr glaucoma w/pseudxf lens, left eye, stage unsp"
99,H40.1421,"Capslr glaucoma w/pseudxf lens, left eye, mild stage"
100,H40.1422,"Capslr glaucoma w/pseudxf lens, left eye, moderate stage"
101,H40.1423,"Capslr glaucoma w/pseudxf lens, left eye, severe stage"
102,H40.1424,"Capslr glaucoma w/pseudxf lens, l eye, indeterminate stage"
103,H40.1430,"Capslr glaucoma w/pseudxf lens, bilateral, stage unsp"
104,H40.1431,"Capslr glaucoma w/pseudxf lens, bilateral, mild stage"
105,H40.1432,"Capslr glaucoma w/pseudxf lens, bilateral, moderate stage"
106,H40.1433,"Capslr glaucoma w/pseudxf lens, bilateral, severe stage"
107,H40.1434,"Capslr glaucoma w/pseudxf lens, bi, indeterminate stage"
108,H40.1490,"Capslr glaucoma w/pseudxf lens, unsp eye, stage unsp"
109,H40.1491,"Capslr glaucoma w/pseudxf lens, unsp eye, mild stage"
110,H40.1492,"Capslr glaucoma w/pseudxf lens, unsp eye, moderate stage"
111,H40.1493,"Capslr glaucoma w/pseudxf lens, unsp eye, severe stage"
112,H40.1494,"Capslr glaucoma w/pseudxf lens, unsp eye, indeterminate stg"
113,H40.151,"Residual stage of openangle glaucoma, right eye"
114,H40.152,"Residual stage of openangle glaucoma, left eye"
115,H40.153,"Residual stage of openangle glaucoma, bilateral"
116,H40.159,"Residual stage of openangle glaucoma, unspecified eye"
117,H40.20X0,"Unsp primary angleclosure glaucoma, stage unspecified"
118,H40.20X1,"Unspecified primary angleclosure glaucoma, mild stage"
119,H40.20X2,"Unspecified primary angleclosure glaucoma, moderate stage"
120,H40.20X3,"Unspecified primary angleclosure glaucoma, severe stage"
121,H40.20X4,"Unsp primary angleclosure glaucoma, indeterminate stage"
122,H40.211,"Acute angleclosure glaucoma, right eye"
123,H40.212,"Acute angleclosure glaucoma, left eye"
124,H40.213,"Acute angleclosure glaucoma, bilateral"
125,H40.219,"Acute angleclosure glaucoma, unspecified eye"
126,H40.2210,"Chronic angleclosure glaucoma, right eye, stage unspecified"
127,H40.2211,"Chronic angleclosure glaucoma, right eye, mild stage"
128,H40.2212,"Chronic angleclosure glaucoma, right eye, moderate stage"
129,H40.2213,"Chronic angleclosure glaucoma, right eye, severe stage"
130,H40.2214,"Chronic angleclosure glaucoma, r eye, indeterminate stage"
131,H40.2220,"Chronic angleclosure glaucoma, left eye, stage unspecified"
132,H40.2221,"Chronic angleclosure glaucoma, left eye, mild stage"
133,H40.2222,"Chronic angleclosure glaucoma, left eye, moderate stage"
134,H40.2223,"Chronic angleclosure glaucoma, left eye, severe stage"
135,H40.2224,"Chronic angleclosure glaucoma, l eye, indeterminate stage"
136,H40.2230,"Chronic angleclosure glaucoma, bilateral, stage unspecified"
137,H40.2231,"Chronic angleclosure glaucoma, bilateral, mild stage"
138,H40.2232,"Chronic angleclosure glaucoma, bilateral, moderate stage"
139,H40.2233,"Chronic angleclosure glaucoma, bilateral, severe stage"
140,H40.2234,"Chronic angleclosure glaucoma, bi, indeterminate stage"
141,H40.2290,"Chronic angleclosure glaucoma, unsp eye, stage unspecified"
142,H40.2291,"Chronic angleclosure glaucoma, unspecified eye, mild stage"
143,H40.2292,"Chronic angleclosure glaucoma, unsp eye, moderate stage"
144,H40.2293,"Chronic angleclosure glaucoma, unsp eye, severe stage"
145,H40.2294,"Chr angleclosure glaucoma, unsp eye, indeterminate stage"
146,H40.231,"Intermittent angleclosure glaucoma, right eye"
147,H40.232,"Intermittent angleclosure glaucoma, left eye"
148,H40.233,"Intermittent angleclosure glaucoma, bilateral"
