,Synonyms
0,['Optic papillitis']
1,[]
2,[]
3,[]
4,"['Acute retrobulbar neuritis', 'Retrobulbar neuritis', 'Retrobulbar neuropathy']"
5,[]
6,[]
7,[]
8,"['Nutritional optic neuropathy', 'Optic neuropathy due to folate deficiency', 'Vitamin B12 deficiency optic neuropathy']"
9,"['Alcohol related optic neuropathy', 'Drug induced optic neuropathy', 'Neurological disorder caused by ingestible alcohol', 'Tobacco related optic neuropathy', 'Toxic optic neuropathy']"
10,"['Infiltrative optic neuropathy', 'Inherited optic neuropathy', 'Neuropathy due to ionizing radiation', 'Optic neuropathy caused by ionizing radiation following radiotherapy procedure', 'Radiation injury of cranial nerve', 'Radiation injury of nervous system following radiotherapy procedure']"
11,"['Bilateral optic neuritis', 'Disorder of optic tract', 'Infection causing inflammation of optic nerve', 'Inflammatory disorder of optic tract', 'Neuritis of left optic nerve', 'Neuritis of right optic nerve', 'Optic neuritis', 'Recurrent optic neuritis']"
12,"['Anterior ischemic optic neuropathy', 'Anterior ischemic optic neuropathy of right eye', 'Ischemic optic neuropathy of right eye']"
13,"['Anterior ischemic optic neuropathy', 'Anterior ischemic optic neuropathy of left eye', 'Ischemic optic neuropathy of left eye']"
14,"['Bilateral ischemic optic neuropathy of eyes', 'Ischemic optic neuropathy of left eye', 'Ischemic optic neuropathy of right eye']"
15,"['Anterior ischemic optic neuropathy', 'Arteritic anterior ischemic optic neuropathy', 'Arteritic ischemic optic neuropathy', 'Chorioretinal infarction', 'Disorder of visual pathways associated with vascular disorder', 'Ischemic optic neuropathy', 'Nerve fiber layer infarct', 'Non-arteritic ischemic optic neuropathy', 'Optic nerve infarction', 'Perioperative secondary non-arteritic ischemic optic neuropathy', 'Posterior ischemic optic neuropathy']"
16,[]
17,[]
18,[]
19,['Hemorrhage in optic nerve sheaths']
20,"['Congenital hypoplasia of right optic nerve', 'Hypoplasia of the optic nerve']"
21,"['Congenital hypoplasia of left optic nerve', 'Hypoplasia of the optic nerve']"
22,"['Bilateral congenital hypoplasia of optic nerves', 'Congenital hypoplasia of left optic nerve', 'Congenital hypoplasia of right optic nerve', 'Hypoplasia of the optic nerve']"
23,"['Bilateral polymicrogyria', 'Hypoplasia of optic disc', 'Hypoplasia of the optic nerve', 'Hypoplasia of the optic nerve', 'Isolated optic nerve hypoplasia', 'Microgyria', 'Partial hypoplasia of optic disc', 'Polymicrogyria with optic nerve hypoplasia', 'Sectorial hypoplasia of optic disc']"
24,['Disorder of right optic nerve']
25,['Disorder of left optic nerve']
26,"['Congenital bilateral optic nerve pits', 'Disorder of bilateral optic nerves']"
27,"['Acute compressive optic neuropathy', 'Compression of optic nerve', 'Compression of optic tract', 'Compressive optic neuropathy due to thyroid eye disease', 'Disorder of optic nerve', 'Disorder of optic tract', 'Incipient prechiasmal optic nerve compression syndrome', 'Optic nerve and photoreceptor degeneration', 'Optic perineuritis', 'Photoreceptor degeneration']"
28,"['Edema of optic disc of bilateral eyes', 'Edema of optic disc of left eye', 'Edema of optic disc of right eye', 'Idiopathic optic disc swelling', 'Optic atrophy secondary to papilledema', 'Optic disc edema', 'Optic disc swelling', 'Optic nerve edema, splenomegaly syndrome', 'Papilledema - optic disc edema due to raised intracranial pressure', 'Papilledema - optic disc edema due to raised intracranial pressure', 'Papilledema of left eye', 'Papilledema of right eye', 'Secondary optic atrophy', 'Swelling of structure of eye']"
29,"['Edema of optic disc of bilateral eyes', 'Edema of optic disc of left eye', 'Edema of optic disc of right eye', 'Papilledema - optic disc edema due to raised intracranial pressure', 'Papilledema - optic disc edema due to raised intracranial pressure', 'Papilledema of bilateral eyes due to raised intracranial pressure', 'Papilledema of left eye', 'Papilledema of right eye']"
30,['Optic disc edema due to hypotony']
31,['Optic disc edema associated with retinal disorder']
32,[]
33,[]
34,[]
35,"['Compression of optic nerve', 'Foster-Kennedy syndrome', 'Papilledema - optic disc edema due to raised intracranial pressure']"
36,"['Atrophy of optic disc', 'Atrophy of sector of optic disc', 'Bilateral optic atrophy of eyes', 'Complete optic atrophy', 'Early onset cerebellar ataxia with retinitis pigmentosa and optic atrophy', 'Optic atrophy', 'Optic atrophy of left eye', 'Optic atrophy of right eye', 'Optic atrophy secondary to retinal disease', 'Progressive encephalopathy with edema, hypsarrhythmia and optic atrophy syndrome', 'Progressive encephalopathy with edema, hypsarrhythmia, and optic atrophy-like syndrome', 'Retrobulbar neuropathy', 'Retrobulbar optic nerve atrophy', 'Second cranial nerve finding']"
37,[]
38,[]
39,[]
40,"['Congenital atrophy of optic nerve', 'Primary optic atrophy']"
41,"['Autosomal dominant optic atrophy and cataract', 'Autosomal dominant optic atrophy and peripheral neuropathy syndrome', 'Autosomal dominant optic atrophy classic form', 'Autosomal dominant optic atrophy plus syndrome', 'Bilateral optic atrophy of eyes', 'CAMOS syndrome', 'Cerebellar ataxia, areflexia, pes cavus, optic atrophy, sensorineural hearing loss syndrome', 'Congenital atrophy of optic nerve', 'Congenital atrophy of optic nerve', 'Congenital atrophy of optic nerve', 'Congenital atrophy of optic nerve', 'Cortical cataract', 'Dominant hereditary optic atrophy', 'Early-onset X-linked optic atrophy', 'GAPO syndrome', 'Hereditary bilateral optic atrophy', 'Hereditary left optic atrophy', 'Hereditary motor and sensory neuropathy with optic atrophy', 'Hereditary optic atrophy', 'Hereditary right optic atrophy', 'Leber plus disease', ""Leber's optic atrophy"", 'Optic atrophy of left eye', 'Optic atrophy of left eye', 'Optic atrophy of right eye', 'Optic atrophy of right eye', 'Optic atrophy, intellectual disability syndrome', 'Spastic paraplegia, optic atrophy, neuropathy syndrome']"
42,[]
43,[]
44,[]
