,Synonyms
0,[]
1,[]
2,[]
3,"['Aphakic corneal edema', 'Bullous aphakic keratopathy following cataract surgery', 'Vitreous touch syndrome']"
4,[]
5,[]
6,[]
7,"['Cataract fragments in the eye post cataract surgery', 'Cataract lens fragments in anterior chamber of eye due to and following cataract surgery', 'Cataract lens fragments in vitreous of eye due to and following cataract surgery', 'Disorder of eye and ocular adnexa due to and following procedure', 'Disorder of eye and ocular adnexa due to and following procedure', 'Lens material in anterior chamber', 'Retained lens matter in vitreous']"
8,[]
9,[]
10,[]
11,"['Cystoid macular edema', 'Postoperative cystoid macular edema']"
12,[]
13,[]
14,[]
15,"['Brown-McLean Syndrome', 'Strabismus following cataract surgery', 'Strabismus following ocular surgery', 'Visual loss after cataract extraction', 'Vitreous syndrome following cataract surgery']"
16,[]
17,[]
18,[]
19,[]
20,[]
21,[]
22,[]
23,[]
24,[]
25,[]
26,[]
27,[]
28,[]
29,[]
30,[]
31,[]
32,[]
33,[]
34,[]
35,[]
36,[]
37,[]
38,[]
39,[]
40,[]
41,[]
42,[]
43,[]
44,[]
45,[]
46,[]
47,[]
48,[]
49,[]
50,[]
51,[]
52,[]
53,[]
54,[]
55,[]
56,"['Blebitis', 'Chronic postoperative endophthalmitis', 'Conjunctival blebitis following glaucoma surgery', 'Disorder of filtering bleb', 'Inflammation of filtering bleb', 'Postoperative endophthalmitis', 'Postoperative infectious endophthalmitis', 'Postoperative sterile endophthalmitis', 'Postprocedural blebitis']"
57,[]
58,[]
59,"['Bleb associated endophthalmitis', 'Disorder of filtering bleb', 'Inflammation of filtering bleb']"
60,[]
61,[]
62,[]
63,"['Chorioretinal scars following retinal detachment surgery', 'Choroid scar', 'Flat chorioretinal lesion', 'Focal chorioretinal lesion', 'O/E - Laser photocoagulation scars', 'Photocoagulation scars', 'Postsurgical chorioretinal scar', 'Postsurgical choroid scar', 'Postsurgical retinal scar', 'Punched out chorioretinal lesion', 'Surgical scar', 'Surgical scar']"
64,['Rupture of posterior lens capsule as intraoperative complication']
65,"['Abscess of eye', 'Acute postoperative endophthalmitis', 'Ciliary block glaucoma', 'Complication of laser surgery', 'Complication of refractive keratoplasty by laser surgery', 'Contraction of eye socket after enucleation', 'Corneal abscess', 'Corneal ectasia due to laser in situ keratomileusis', 'Corneal flap fold', 'Corneal flap macrostriae', 'Corneal flap microstriae', 'Corneal incision leaking', 'Decentered corneal stromal ablation', 'Diffuse lamellar keratitis', 'Disorder due to insertion of glaucoma drainage device', 'Disorder of eye and ocular adnexa due to and following procedure', 'Dry eye after laser in situ keratomileusis', 'Epithelial downgrowth', 'Eye socket contracture', 'Glaucoma following surgery', 'Glaucoma following surgery', 'Herpes simplex infection of cornea after ophthalmic surgery', 'Irregular astigmatism', 'Orbital deformity due to surgery', 'Postoperative angle-closure glaucoma', 'Postoperative cataract syndrome', 'Postoperative endophthalmitis', 'Postoperative endophthalmitis', 'Postoperative endophthalmitis due to Propionibacterium acnes', 'Postoperative infectious endophthalmitis', 'Postoperative irregular astigmatism', 'Postoperative uveitis', 'Punctate keratopathy', 'Punctate keratopathy after penetrating keratoplasty', 'Stitch abscess', 'Stitch abscess of cornea', 'Strabismus following ocular surgery', 'Strabismus following retinal surgery', 'Tear film insufficiency', 'Toxic anterior segment syndrome', 'Wound leak of eye']"
