,Synonyms
0,"['Angina control', 'Angina control - worsening', 'Chronic ischemic heart disease', 'Impending infarction', 'Preinfarction syndrome', 'Progressive angina', 'Refractory angina']"
1,"['Arteriospasm', 'Coronary artery spasm', 'Prinzmetal angina', 'Vasospasm']"
2,"['Angina decubitus', 'Angina, class I', 'Angina, class II', 'Angina, class III', 'Atypical angina', 'Cardiac syndrome X', 'Exercise-induced angina', 'Nocturnal angina', 'Stable angina', 'Syncope anginosa']"
3,"['Angina associated with type 2 diabetes mellitus', 'Angina control', 'Angina control - improving', 'Angina control - poor', 'Angina pectoris', 'Angina, class IV', 'Ischemic chest pain', 'New onset angina', 'Recurrent angina after coronary stent placement', 'Recurrent angina after directional coronary atherectomy', 'Recurrent angina after percutaneous transluminal coronary angioplasty', 'Recurrent angina post rotational atherectomy', 'Status anginosus', 'Typical angina']"
4,"['Acute myocardial infarction due to left coronary artery occlusion', 'Acute ST segment elevation myocardial infarction due to left coronary artery occlusion', 'Acute ST segment elevation myocardial infarction involving left main coronary artery']"
5,['Acute ST segment elevation myocardial infarction involving left anterior descending coronary artery']
6,"['Acute anterior ST segment elevation myocardial infarction', 'Acute anteroapical myocardial infarction', 'Acute anteroseptal myocardial infarction', 'Acute myocardial infarction of anterior wall', 'Acute myocardial infarction of anterior wall involving right ventricle', 'Acute myocardial infarction of anterolateral wall', 'Acute Q wave infarction - anterolateral', 'Acute Q wave infarction - anteroseptal', 'Acute Q wave myocardial infarction', 'Acute Q wave myocardial infarction', 'Acute ST segment elevation myocardial infarction of anterior wall involving right ventricle', 'Acute ST segment elevation myocardial infarction of anteroapical wall', 'Acute ST segment elevation myocardial infarction of anterolateral wall', 'Acute ST segment elevation myocardial infarction of anteroseptal wall', 'Anterior myocardial infarction on electrocardiogram', 'Anterolateral infarction by electrocardiogram', 'Anteroseptal infarction on electrocardiogram', 'Postoperative myocardial infarction', 'Postoperative transmural myocardial infarction of anterior wall']"
7,"['Acute myocardial infarction due to right coronary artery occlusion', 'Acute myocardial infarction of inferior wall', 'Acute myocardial infarction of inferoposterior wall', 'Acute ST segment elevation myocardial infarction due to right coronary artery occlusion']"
8,"['Acute myocardial infarction of inferior wall', 'Acute myocardial infarction of inferior wall involving right ventricle', 'Acute myocardial infarction of inferolateral wall', 'Acute myocardial infarction of inferoposterior wall', 'Acute Q wave infarction - inferior', 'Acute Q wave infarction - inferolateral', 'Acute Q wave myocardial infarction', 'Acute Q wave myocardial infarction', 'Acute ST segment elevation myocardial infarction of inferior wall', 'Acute ST segment elevation myocardial infarction of inferior wall involving right ventricle', 'Acute ST segment elevation myocardial infarction of inferolateral wall', 'Acute ST segment elevation myocardial infarction of inferoposterior wall', 'Acute ST segment elevation myocardial infarction of posterior wall', 'Inferior myocardial infarction on electrocardiogram', 'Postoperative myocardial infarction', 'Postoperative transmural myocardial infarction of inferior wall']"
9,"['Acute myocardial infarction due to left coronary artery occlusion', 'Acute ST segment elevation myocardial infarction due to left coronary artery occlusion', 'Acute ST segment elevation myocardial infarction due to occlusion of circumflex coronary artery']"
10,"['Acute myocardial infarction of apical-lateral wall', 'Acute myocardial infarction of atrium', 'Acute myocardial infarction of basal-lateral wall', 'Acute myocardial infarction of high lateral wall', 'Acute myocardial infarction of lateral wall', 'Acute myocardial infarction of posterobasal wall', 'Acute myocardial infarction of posterolateral wall', 'Acute myocardial infarction of septum', 'Acute posterior myocardial infarction', 'Acute Q wave infarction - lateral', 'Acute Q wave myocardial infarction', 'Acute ST segment elevation myocardial infarction of lateral wall', 'Acute ST segment elevation myocardial infarction of posterior wall', 'Acute ST segment elevation myocardial infarction of posterobasal wall', 'Acute ST segment elevation myocardial infarction of posterolateral wall', 'Acute ST segment elevation myocardial infarction of septum', 'EKG:posterior/inferior infarct', 'Lateral infarction on electrocardiogram', 'Posterior myocardial infarction on electrocardiogram', 'Septal infarction by electrocardiogram', 'True posterior myocardial infarction']"
11,"['Acute Q wave infarction - widespread', 'Acute Q wave myocardial infarction', 'Acute ST segment elevation myocardial infarction', 'Acute widespread myocardial infarction', 'Postoperative myocardial infarction']"
12,"['Acute anteroseptal myocardial infarction', 'Acute myocardial infarction of anterolateral wall', 'Acute myocardial infarction of inferior wall', 'Acute myocardial infarction of inferolateral wall', 'Acute myocardial infarction of lateral wall', 'Acute non-Q wave infarction', 'Acute non-Q wave infarction - anterolateral', 'Acute non-Q wave infarction - anteroseptal', 'Acute non-Q wave infarction - inferior', 'Acute non-Q wave infarction - inferolateral', 'Acute non-Q wave infarction - lateral', 'Acute non-Q wave infarction - widespread', 'Acute non-ST segment elevation myocardial infarction', 'Acute subendocardial infarction', 'Acute widespread myocardial infarction', 'EKG: subendocardial infarct', 'Non-Q wave myocardial infarction', 'Postoperative myocardial infarction', 'Postoperative subendocardial myocardial infarction', 'Subendocardial ischemia', 'Subendocardial myocardial infarction']"
