,Synonyms
4,"['Anthracosilicosis', ""Coal workers' pneumoconiosis""]"
5,[]
6,"['Asbestosis', 'Wollastonite pneumoconiosis']"
7,['Pneumoconiosis due to talc']
8,"['Acute silicosis', 'Chalicosis', 'Chronic lung disease', 'Chronic silicosis', 'Complicated silicosis', 'Diatomaceous earth disease', ""Fullers' earth disease"", 'Liparitosis', 'Massive fibrosis of lung', 'Massive silicotic fibrosis of lung', 'Pneumoconiosis due to silica', 'Pneumoconiosis due to silicate', 'Schistosis', 'Siderosilicosis', 'Simple silicosis', 'Subacute silicosis']"
9,['Aluminosis of lung']
10,"['Bauxite fibrosis of lung', 'Drug-induced pneumonitis']"
11,"['Acute berylliosis', 'Berylliosis', 'Chronic berylliosis', 'Hepatic granuloma', 'Hepatic granulomas in berylliosis', 'Nodule of liver', 'Poisoning by beryllium', 'Poisoning by beryllium', 'Poisoning by beryllium', 'Subacute berylliosis', 'Toxic effect of beryllium and its compounds', 'Toxic effect of beryllium and its compounds', 'Toxic effect of beryllium and its compounds', 'Toxic effect of beryllium and its compounds']"
12,['Graphite fibrosis of lung']
13,"['Drug-induced pneumonitis', 'Pulmonary siderosis']"
14,['Stannosis']
15,"['Antimony pneumoconiosis', 'Baritosis', 'Bituminosis', ""Carbon electrode makers' pneumoconiosis"", 'Cerium pneumoconiosis', 'Cobaltosis', 'Collagenous pneumoconiosis', 'Drug-induced pneumonitis', 'Drug-induced pneumonitis', 'Erionite pneumoconiosis', 'Hard metal pneumoconiosis', 'Kaolinosis', 'Metal pneumoconiosis', 'Mica pneumoconiosis', 'Mixed mineral dust pneumoconiosis', 'Nickel pneumoconiosis', 'Pneumoconiosis due to inorganic dust', 'Pulmonary siderosis', 'Schistosis', ""Silver polishers' lung disease"", 'Thorium pneumoconiosis', 'Zirconium pneumoconiosis']"
16,[]
17,"['Benign pneumoconiosis', 'Complicated pneumoconiosis', 'Mixed dust pneumoconiosis', 'Pneumoconiosis', 'Simple pneumoconiosis']"
18,[]
19,"['Pneumoconiosis associated with tuberculosis', 'Silicotuberculosis']"
20,"['Byssinosis', 'Byssinosis grade 3', 'Occupational bronchitis']"
21,"['Byssinosis', ""Flax-dressers' disease""]"
22,['Cannabinosis']
23,"['Pulmonary mycotoxicosis', 'Toxic inhalation-induced febrile illness']"
24,"[""Farmers' lung"", ""Grain-handlers' disease""]"
25,['Bagassosis']
26,"[""Bird-fanciers' lung"", ""Budgerigar-fanciers' disease""]"
27,['Suberosis']
28,"[""Malt-workers' lung""]"
29,"[""Mushroom workers' lung""]"
30,"[""Maple-bark strippers' lung""]"
31,"['Air-conditioner and humidifier lung', 'Humidifier fever', 'Humidifier lung', 'Toxic inhalation-induced febrile illness']"
32,"[""Animal handlers' lung"", 'Asthma caused by wood dust', ""Cheese-makers' asthma"", ""Cheese-washers' lung"", ""Coffee-workers' lung"", 'Dog house disease', 'Dry rot lung', ""Feather-pickers' disease"", ""Fish-meal workers' lung"", ""Furriers' lung"", 'Grain fever', 'Hypersensitivity alveolitis in lungworm infection', 'Lycoperdonosis', 'New Guinea lung', ""Paprika splitters' lung"", ""Pituitary snuff-takers' disease"", 'Pyrethrum alveolitis', ""Rodent handlers' lung"", 'Sequoiosis', ""Sewage workers' lung"", 'Toxic inhalation-induced febrile illness', 'Wheat weevil disease']"
33,"['Asthmatic pulmonary alveolitis', 'Extrinsic allergic alveolitis', 'House allergic alveolitis', 'Sick building syndrome', 'Simple pulmonary alveolitis', 'Storage disease of the lung', 'Summer-type hypersensitivity pneumonitis', 'Tropical pulmonary alveolitis']"
34,"['Acute bronchitis due to chemical fumes', 'Acute chemical bronchitis', 'Acute pneumonitis due to chemical fumes', 'Bronchitis and pneumonitis due to chemical fumes', 'Bronchitis due to chemical', 'Bronchitis due to fumes AND/OR vapors', 'Cadmium pneumonitis', 'Drug-induced pneumonitis', 'Manganese pneumonitis', 'Pneumonitis due to fumes AND/OR vapors', 'Pneumonitis due to inhaled substance', 'Pneumonopathy due to inhalation of dust', 'Toxic pneumonitis']"
35,"['Acute pulmonary edema', 'Acute pulmonary edema due to fumes AND/OR vapors', 'Chemical-induced pulmonary edema', 'Oxygen-induced pulmonary edema', 'Pulmonary edema caused by chemical fumes', 'Toxic pulmonary edema']"
36,"['Upper respiratory inflammation due to chemical fumes', 'Upper respiratory inflammation due to fumes AND/OR vapors']"
37,"['Chemical-induced asthma', 'Colophony asthma', 'Reactive airways dysfunction syndrome']"
