,Synonyms
0,"['Calculus of gallbladder with acute cholecystitis', 'Cholelithiasis AND cholecystitis without obstruction', 'Cholelithiasis without obstruction', 'Gallbladder calculus with acute cholecystitis and no obstruction']"
1,"['Acute obstructive cholangitis', 'Calculus of gallbladder with acute cholecystitis', 'Cholecystolithiasis with obstruction', 'Cholelithiasis AND cholecystitis with obstruction', 'Gallbladder calculus with acute cholecystitis and obstruction', 'Obstruction of gallbladder']"
2,"['Calculus of gallbladder with cholecystitis', 'Cholelithiasis AND cholecystitis without obstruction', 'Cholelithiasis without obstruction', 'Chronic cholecystitis with calculus', 'Perforated calculous chronic cholecystitis']"
3,['Chronic cholecystitis due to gallbladder calculus with obstruction']
4,"['Acute and chronic cholecystitis', 'Calculus of gallbladder with acute and chronic cholecystitis']"
5,[]
6,[]
7,"['Cholecystolithiasis with obstruction', 'Cholelithiasis AND cholecystitis with obstruction', 'Obstruction of gallbladder']"
8,"['Biliary calculus', 'Calculus of gallbladder without cholecystitis or cholangitis', 'Cholangitis co-occurrent and due to calculus of gallbladder', 'Cholelithiasis without obstruction', 'Gallbladder calculus in mother complicating childbirth', 'Gallstone', 'Impacted gallstone of gallbladder', 'Low phospholipid associated cholelithiasis', 'O/E - gallbladder', 'O/E: cholesterol gallstone', 'O/E: gallstone', 'O/E: pigment gallstone']"
9,"['Acquired obstruction of pylorus', 'Cholecystolithiasis with obstruction', 'Gastric outlet obstruction due to gallstone', 'Obstruction of gallbladder', 'Pyloric obstruction']"
10,"['Calculus of bile duct with cholangitis', 'Intermittent fever', 'Intermittent hepatic fever']"
11,['Cholangitis due to bile duct calculus with obstruction']
12,['Acute cholangitis due to bile duct calculus']
13,"['Acute cholangitis due to bile duct calculus', 'Acute cholangitis due to bile duct calculus with obstruction', 'Cholangitis due to bile duct calculus with obstruction']"
14,['Chronic cholangitis due to bile duct calculus']
15,"['Cholangitis due to bile duct calculus with obstruction', 'Chronic cholangitis due to bile duct calculus', 'Chronic cholangitis due to bile duct calculus with obstruction']"
16,[]
17,[]
18,"['Calculus of bile duct with cholecystitis', 'Calculus of cystic duct', 'Calculus of cystic duct with cholecystitis']"
19,[]
20,"['Acute cholecystitis due to biliary calculus', 'Bile duct calculus with acute cholecystitis', 'Bile duct calculus with acute cholecystitis and no obstruction', 'Calculus of bile duct with acute cholecystitis without obstruction', 'Calculus of bile duct without obstruction', 'Calculus of common bile duct with acute cholecystitis', 'Calculus of common bile duct with acute cholecystitis without obstruction', 'Calculus of cystic duct', 'Calculus of cystic duct with acute cholecystitis', 'Calculus of cystic duct with cholecystitis']"
21,"['Acute obstructive cholangitis', 'Bile duct calculus with acute cholecystitis', 'Bile duct calculus with acute cholecystitis and obstruction', 'Calculus of bile duct with obstruction', 'Calculus of bile duct with obstruction', 'Calculus of common bile duct with acute cholecystitis', 'Calculus of common bile duct with acute cholecystitis with obstruction', 'Calculus of common duct with obstruction', 'Extrahepatic obstructive biliary disease', 'Obstruction of common bile duct']"
22,"['Calculus of bile duct with chronic cholecystitis', 'Calculus of bile duct with chronic cholecystitis without obstruction', 'Calculus of bile duct without obstruction', 'Calculus of common bile duct with chronic cholecystitis', 'Calculus of common bile duct with chronic cholecystitis without obstruction']"
23,"['Calculus of bile duct with chronic cholecystitis', 'Calculus of bile duct with chronic cholecystitis with obstruction', 'Calculus of bile duct with obstruction', 'Calculus of common bile duct with chronic cholecystitis', 'Calculus of common bile duct with chronic cholecystitis with obstruction', 'Calculus of common duct with obstruction', 'Extrahepatic obstructive biliary disease', 'Obstruction of common bile duct']"
24,[]
25,[]
26,"['Biliary colic', 'Calculus of bile duct', 'Calculus of bile duct without inflammation of biliary tract', 'Calculus of bile duct without obstruction', 'Calculus of common bile duct with acute pancreatitis', 'Calculus of common bile duct without obstruction', 'Calculus of cystic duct', 'Calculus of cystic duct without obstruction', 'Calculus of cystic stump', 'Calculus of hepatic duct', 'Calculus of hepatic duct without obstruction', 'Common bile duct calculus', 'Liver calculus', 'Recurrent abdominal pain', 'Recurrent biliary colic', 'Retained bile duct stone']"
27,"['Biliary colic', 'Biliary colic with obstruction', 'Calculus of bile duct with obstruction', 'Calculus of common duct with obstruction', 'Calculus of cystic duct', 'Calculus of cystic duct with obstruction', 'Calculus of hepatic duct', 'Calculus of hepatic duct with obstruction', 'Extrahepatic obstructive biliary disease', 'Extrahepatic obstructive biliary disease', 'Impacted gallstone of cystic duct', 'Obstruction of common bile duct']"
28,['Calculus of gallbladder and bile duct with cholecystitis']
29,[]
30,"['Bile duct calculus with acute cholecystitis', 'Calculus of gallbladder and bile duct with acute cholecystitis', 'Calculus of gallbladder and bile duct with cholecystitis', 'Calculus of gallbladder with acute cholecystitis']"
31,[]
32,"['Calculus of bile duct with chronic cholecystitis', 'Calculus of common bile duct with chronic cholecystitis', 'Chronic cholecystitis due to cholelithiasis co-occurrent with choledocholithiasis']"
33,[]
34,"['Acute and chronic cholecystitis', 'Acute and chronic cholecystitis co-occurrent and due to calculus of gallbladder and bile duct', 'Calculus of gallbladder and bile duct with acute and chronic cholecystitis', 'Calculus of gallbladder and bile duct with cholecystitis', 'Calculus of gallbladder with acute and chronic cholecystitis']"
35,[]
36,['Gallbladder and bile duct calculi']
37,[]
38,[]
39,['Cholelithiasis with obstruction']
40,"['Abscess of gallbladder', 'Acute angiocholecystitis', 'Acute cholecystitis', 'Acute cholecystitis without calculus', 'Acute emphysematous cholecystitis', 'Acute gangrenous cholecystitis', 'Acute hemorrhagic cholecystitis', 'Acute suppurative cholecystitis', 'Angiocholecystitis', 'Cholecystitis without calculus', 'Empyema of gallbladder', 'Gangrene of gallbladder', 'Infective cholangitis', 'Pericholecystic abscess', 'Pneumocholecystitis']"
41,"['Cholecystitis glandularis proliferans', 'Cholecystitis without calculus', 'Chronic cholecystitis', 'Chronic cholecystitis without calculus']"
42,['Acute and chronic cholecystitis']
43,"['Cholecystitis', 'Cholecystitis without calculus', 'Hyperplastic cholecystitis', 'Xanthogranulomatous cholecystitis']"
44,"['Biliary stricture', 'Extrahepatic obstructive biliary disease', 'Obstruction of gallbladder', 'Occlusion of bile duct', 'Occlusion of cystic duct', 'Occlusion of gallbladder', 'Stenosis of cystic duct', 'Stenosis of gallbladder', 'Stricture of gallbladder']"
45,"['Acute hydrops of gallbladder', 'Cyst of biliary tract', 'Cyst of gallbladder', 'Hydrops of gallbladder', 'Mucocele of gallbladder']"
46,"['Chronic cholecystitis with calculus', 'Perforated calculous chronic cholecystitis', 'Perforation of bile duct', 'Perforation of biliary tree', 'Perforation of cystic duct', 'Rupture of bile duct', 'Rupture of cystic duct', 'Rupture of gallbladder']"
47,"['Cholecystoduodenal fistula', 'Cholecystoenteric fistula', 'Cholecystogastric fistula', 'Cholecystojejunal fistula', 'Fistula of gallbladder', 'Gastric fistula', 'Internal duodenal fistula', 'Jejunal fistula']"
48,"['Cholesterol polyp of gallbladder', 'Cholesterolosis of gallbladder', 'Polyp of gallbladder']"
49,"['Absent gallbladder function', 'Adenomyomatosis of gallbladder', 'Adhesion of bile duct', 'Adhesion of cystic duct', 'Adhesion of gallbladder', 'Adhesions of biliary tree', 'Adhesions of biliary tree', 'Aplasia of gallbladder', 'Aschoff-Rokitansky sinuses', 'Atony of gallbladder', 'Atrophy of bile duct', 'Atrophy of biliary tree', 'Atrophy of biliary tree', 'Atrophy of cystic duct', 'Atrophy of gallbladder', 'Biliary achalasia', 'Biliary dyskinesia', 'Cyst of bile duct', 'Cyst of biliary tract', 'Cyst of biliary tract', 'Cyst of biliary tract', 'Cyst of cystic duct', 'Cyst of gallbladder', 'Cyst of gallbladder', 'Cystic mucinous hypertrophy of gallbladder', 'Dyskinesia of gallbladder', 'Finding of appearance of gallbladder', 'Finding of appearance of gallbladder', 'Gallbladder enlarged', 'Gallbladder mass', 'Gallbladder palpable', 'Gallbladder palpable', 'Gallbladder palpable', 'Hemocholecyst', 'Hypertrophy of bile duct', 'Hypertrophy of biliary tract', 'Hypertrophy of biliary tract', 'Hypertrophy of cystic duct', 'Hypertrophy of gallbladder', 'Increased gallbladder contraction', 'Intramural calcification of gallbladder', 'Leakage of bile from gallbladder bed', 'Lesion of gallbladder', 'Mucocele of gallbladder', 'Nonfunctioning cystic duct', 'Nonfunctioning gallbladder', 'O/E - gallbladder', 'O/E - gallbladder', 'O/E - gallbladder', 'O/E - gallbladder irregular', 'O/E - gallbladder moderately enlarged', 'O/E - gallbladder palpable', 'O/E - gallbladder palpable', 'O/E - gallbladder palpable', 'O/E - gallbladder very enlarged', 'Poorly functioning gallbladder', 'Small gallbladder', 'Ulcer of bile duct', 'Ulcer of cystic duct', 'Ulcer of gallbladder', 'Ulceration of biliary tree', 'Ulceration of biliary tree']"
50,"['Disorder of gallbladder', 'Finding of sensation of gallbladder', 'Gallbladder pain', 'Gallbladder problem']"
51,[]
52,[]
53,"['Cirrhosis of liver with primary sclerosing cholangitis', 'Primary sclerosing cholangitis', 'Primary sclerosing cholangitis', 'Sclerosing cholangitis', 'Sclerosing cholangitis']"
54,"['Acute cholangitis', 'Acute obstructive cholangitis', 'Ascending cholangitis', 'Autoimmune cholangitis', 'Bacterial cholangitis', 'Cholangiohepatitis', 'Cholangiohepatitis', 'Cholangiolitis', 'Cholangitis', 'Cholangitis associated with AIDS', 'Cholangitis co-occurrent and due to calculus of gallbladder', 'Cholangitis lenta', 'Chronic cholangitis', 'Chronic lymphocytic cholangitis-cholangiohepatitis', 'Congenital hypotrichia', 'Eosinophilic cholangitis', 'Follicular cholangitis and pancreatitis', 'HIV-related sclerosing cholangitis', 'IgG4-related sclerosing cholangitis', 'Infective cholangitis', 'Neonatal sclerosing cholangitis, ichthyosis, hypotrichosis syndrome', 'Obliterative cholangitis', 'Pericholangitis', 'Primary cholangitis', 'Recurrent cholangitis', 'Recurrent pyogenic cholangitis', 'Sclerosing cholangitis', 'Sclerosing cholangitis', 'Secondary cholangitis', 'Secondary sclerosing cholangitis', 'Stenosing cholangitis', 'Suppurative cholangitis']"
55,"['Ampulla of Vater obstruction syndrome', 'Anastomotic biliary stricture', 'Biliary stricture', 'Biliary stricture', 'Biliary stricture', 'Cholestasis', 'Cholestasis', 'Cholestasis', 'Cholestasis in newborn', 'Cholestasis of pregnancy', 'Cholestasis of pregnancy complicating childbirth', 'Cholestasis with pigmentary retinopathy and cleft palate syndrome', 'Cholestasis-edema syndrome, Norwegian type', 'Conjugated hyperbilirubinemia', 'Courvoisier-Terrier syndrome', 'Disorders of biliary tract anastomosis', 'Drug-induced intrahepatic cholestasis', 'Extrahepatic cholestasis', 'Extrahepatic obstructive biliary disease', 'GRACILE syndrome', 'Intrahepatic cholestasis', 'Liver disorder in pregnancy', ""Mirizzi's syndrome"", 'Neonatal intrahepatic cholestasis due to citrin deficiency', 'Obstruction of bile duct', 'Obstruction of biliary tree', 'Obstruction of common bile duct', 'Obstructive hyperbilirubinemia', 'Occlusion of bile duct', 'Postoperative biliary stricture', 'Progressive intrahepatic cholestasis', 'Retinal pigment deposits', 'Stasis of bile duct', 'Stenosis of bile duct', 'Stenosis of stoma', 'Stricture of bile duct', 'Stricture of bile duct', 'Stricture of bile duct', 'Stricture of biliary-enteric anastomosis', 'Stricture of hepatic duct', 'Stricture of hepaticojejunal anastomosis', 'Vanishing bile duct syndrome']"
56,"['Leakage of bile', 'Perforation of bile duct', 'Perforation of biliary tree', 'Rupture of bile duct']"
57,"['Bile duct leakage', 'Bile duct leakage', 'Bile leakage after removal of T-tube', 'Biliary anastomotic leak', 'Bronchobiliary fistula', 'Choledochoduodenal fistula', 'Disorders of biliary tract anastomosis', 'Fistula of bile duct', 'Leakage of bile', 'Leakage of bile', 'Leakage of bile', 'Leakage of bile', 'Leakage of bile from accessory bile duct', 'Leakage of bile from choledochotomy', 'Post-cholecystectomy bile leakage', 'Tracheobiliary fistula', 'Vascular-biliary fistula']"
58,"['Dysfunction of sphincter of Oddi', 'Spasm of sphincter of Oddi']"
59,"['Acquired choledochal cyst', 'Choledochal cyst', 'Cyst of bile duct', 'Cyst of biliary tract', 'Cyst of intrahepatic bile ducts', 'Liver cyst']"
60,"['Abnormal biliary-pancreatic junction', 'Acquired dilation of bile duct', 'Acute cholangiohepatitis', 'Adhesion of bile duct', 'Adhesions of biliary tree', 'Atrophy of bile duct', 'Atrophy of biliary tree', 'Benign recurrent intrahepatic cholestasis', 'Bile duct leakage', 'Bile duct proliferation', 'Biliary sludge', 'Biliary tract dysplasia', 'Cholangiectasis', 'Cholangiohepatitis', 'Cystic dilation of intrahepatic duct', 'Diverticulum of peri-ampullary tissue of hepatopancreatic ampulla', 'Dysfunction of sphincter of Oddi', 'Dyskinesia of sphincter of Oddi', 'Dysplasia of extrahepatic bile ducts', 'Familial hypertrophy of sphincter of Oddi', 'Fibrosis of bile duct', 'Functional biliary sphincter of Oddi disorder', 'Functional disorder of gastrointestinal tract', 'Hemobilia', 'Hemorrhage of bile duct', 'Hepatic duct dysplasia', 'Hypertrophy of bile duct', 'Hypertrophy of biliary tract', 'Impaired bile formation', 'Ketamine-induced biliary dilatation', 'Leakage of bile', 'Mild biliary tract dysplasia', 'Moderate biliary tract dysplasia', 'Oriental cholangiohepatitis', ""Osler's syndrome"", 'Postprocedural bile duct leakage', 'Severe biliary tract dysplasia', 'Ulcer of bile duct', 'Ulceration of biliary tree', ""Verbrycke's syndrome""]"
61,"['Disorder of bile duct', 'Disorder of biliary tract', 'Disorders of biliary tract anastomosis']"
62,"['Familial acute pancreatitis', 'Hereditary pancreatitis', 'Idiopathic acute pancreatitis']"
63,[]
64,[]
65,"['Acute pancreatitis due to common bile duct calculus', 'Calculus of common bile duct with acute pancreatitis', 'Gallstone acute pancreatitis', 'Gallstone pancreatitis']"
66,[]
67,[]
68,"['Alcohol-induced acute pancreatitis', 'Alcohol-induced pancreatitis', 'Drug-induced acute pancreatitis']"
69,[]
70,[]
71,['Drug-induced acute pancreatitis']
72,[]
73,[]
74,"['Acute on chronic pancreatitis', 'Acute pancreatitis due to infection', 'Autoimmune pancreatitis', 'Autoimmune pancreatitis type 1', 'Hereditary pancreatitis', 'Infectious pancreatitis', 'Postoperative acute pancreatitis', 'Traumatic acute pancreatitis', 'Viral acute pancreatitis']"
75,[]
76,[]
77,"['Acute hemorrhagic pancreatitis', 'Acute pancreatitis', 'Acute recurrent pancreatitis', 'Anemia of endocrine disorder', 'Aplastic anemia associated with pancreatitis', 'Apoplectic pancreatitis', 'Follicular cholangitis and pancreatitis', 'Hemorrhage of pancreas', 'Painless pancreatitis', 'Pancreatic collection', 'Pancreatitis', 'Pancreatitis due to pancreatic duct obstruction', 'Pancytopenia with pancreatitis', 'Phlegmon of pancreas', 'Pleural effusion associated with pancreatitis', 'Post-ERCP acute pancreatitis', 'Recurrent pancreatitis', 'Secondary aplastic anemia', 'Subacute pancreatitis']"
78,"['Acute necrosis of pancreas', 'Acute necrotizing pancreatitis', 'Fat necrosis of subcutaneous tissue', 'Necrosis of pancreas', 'Necrosis of subcutaneous tissue', 'Nodular fat necrosis', 'Pancreatic and peripancreatic necrosis', 'Subcutaneous nodular fat necrosis in pancreatitis']"
79,"['Abscess of pancreas', 'Acute pancreatitis due to infection', 'Acute suppurative pancreatitis', 'Infected pancreatic necrosis', 'Infectious pancreatitis', 'Necrosis of pancreas', 'Pancreatic and peripancreatic necrosis', 'Pancreatic collection', 'Suppurative pancreatitis']"
80,"['Alcohol-induced chronic pancreatitis', 'Alcohol-induced pancreatitis', 'Chronic pancreatitis due to acute alcohol intoxication', 'Chronic pancreatitis due to chronic alcoholism', 'Drug-induced chronic pancreatitis']"
81,"['Acute on chronic pancreatitis', 'Calcific chronic pancreatitis', 'Chronic fibrosing pancreatitis', 'Chronic pancreatitis', 'Drug-induced chronic pancreatitis', 'Familial chronic pancreatitis', 'Fibrosis of pancreas', 'Gallstone chronic pancreatitis', 'Gallstone pancreatitis', 'Groove pancreatitis', 'Hereditary pancreatitis', 'Idiopathic chronic pancreatitis', 'Interstitial pancreatitis', 'Metabolic pancreatitis', 'Obstructive chronic pancreatitis', 'Recurrent pancreatitis', 'Relapsing pancreatitis', 'Tropical calcific chronic pancreatitis']"
82,"['Cyst and pseudocyst of pancreas', 'Cyst of pancreas', 'Cyst of pancreas', 'Dermoid cyst of pancreas', 'Pseudocyst of pancreas', 'Retention pancreatic cyst']"
83,"['Cyst and pseudocyst of pancreas', 'Cyst of pancreas', 'Infected pancreatic pseudocyst', 'Pseudocyst of pancreas']"
84,"['Exocrine pancreatic insufficiency', 'Pancreatic insufficiency']"
