,category,condition
4,L00,Staphylococcal scalded skin syndrome
5,L01.00,"Impetigo, unspecified"
6,L01.01,Nonbullous impetigo
7,L01.02,Bockhart's impetigo
8,L01.03,Bullous impetigo
9,L01.09,Other impetigo
10,L01.1,Impetiginization of other dermatoses
11,L02.01,Cutaneous abscess of face
12,L02.02,Furuncle of face
13,L02.03,Carbuncle of face
14,L02.11,Cutaneous abscess of neck
15,L02.12,Furuncle of neck
16,L02.13,Carbuncle of neck
17,L02.211,Cutaneous abscess of abdominal wall
18,L02.212,"Cutaneous abscess of back [any part, except buttock]"
19,L02.213,Cutaneous abscess of chest wall
20,L02.214,Cutaneous abscess of groin
21,L02.215,Cutaneous abscess of perineum
22,L02.216,Cutaneous abscess of umbilicus
23,L02.219,"Cutaneous abscess of trunk, unspecified"
24,L02.221,Furuncle of abdominal wall
25,L02.222,"Furuncle of back [any part, except buttock]"
26,L02.223,Furuncle of chest wall
27,L02.224,Furuncle of groin
28,L02.225,Furuncle of perineum
29,L02.226,Furuncle of umbilicus
30,L02.229,"Furuncle of trunk, unspecified"
31,L02.231,Carbuncle of abdominal wall
32,L02.232,"Carbuncle of back [any part, except buttock]"
33,L02.233,Carbuncle of chest wall
34,L02.234,Carbuncle of groin
35,L02.235,Carbuncle of perineum
36,L02.236,Carbuncle of umbilicus
37,L02.239,"Carbuncle of trunk, unspecified"
38,L02.31,Cutaneous abscess of buttock
39,L02.32,Furuncle of buttock
40,L02.33,Carbuncle of buttock
41,L02.411,Cutaneous abscess of right axilla
42,L02.412,Cutaneous abscess of left axilla
43,L02.413,Cutaneous abscess of right upper limb
44,L02.414,Cutaneous abscess of left upper limb
45,L02.415,Cutaneous abscess of right lower limb
46,L02.416,Cutaneous abscess of left lower limb
47,L02.419,"Cutaneous abscess of limb, unspecified"
48,L02.421,Furuncle of right axilla
49,L02.422,Furuncle of left axilla
50,L02.423,Furuncle of right upper limb
51,L02.424,Furuncle of left upper limb
52,L02.425,Furuncle of right lower limb
53,L02.426,Furuncle of left lower limb
54,L02.429,"Furuncle of limb, unspecified"
55,L02.431,Carbuncle of right axilla
56,L02.432,Carbuncle of left axilla
57,L02.433,Carbuncle of right upper limb
58,L02.434,Carbuncle of left upper limb
59,L02.435,Carbuncle of right lower limb
60,L02.436,Carbuncle of left lower limb
61,L02.439,"Carbuncle of limb, unspecified"
62,L02.511,Cutaneous abscess of right hand
63,L02.512,Cutaneous abscess of left hand
64,L02.519,Cutaneous abscess of unspecified hand
65,L02.521,Furuncle right hand
66,L02.522,Furuncle left hand
67,L02.529,Furuncle unspecified hand
68,L02.531,Carbuncle of right hand
69,L02.532,Carbuncle of left hand
70,L02.539,Carbuncle of unspecified hand
71,L02.611,Cutaneous abscess of right foot
72,L02.612,Cutaneous abscess of left foot
