,Synonyms
4,"['Fetus or newborn infection caused by Staphylococcus aureus', 'Neonatal skin infection', 'Neonatal staphylococcal infection of skin', 'Neonatal staphylococcal scalded skin syndrome', 'Staphylococcal scalded skin syndrome']"
5,"['Bacterial dermatitis of eyelid', 'Circinate impetigo', 'Impetigo', 'Impetigo due to Staphylococcus aureus', 'Impetigo of eyelid', 'Impetigo simplex', 'Infective otitis externa due to impetigo', 'Non-bullous impetigo', 'Streptococcal impetigo', 'Streptococcal infection of skin']"
6,"['Non-bullous impetigo', 'Staphylococcal non-bullous impetigo']"
7,"['Bockhart impetigo', 'Eosinophilic pustular folliculitis', 'Impetigo follicularis', 'Perifolliculitis', 'Pustular folliculitis', 'Superficial folliculitis caused by bacterium']"
8,"['Impetigo bullosa', 'Impetigo neonatorum', 'Pemphigus neonatorum', 'Pemphigus of vulva', 'Pemphigus vulgaris']"
9,"['Chronic symmetrical impetigo', 'Impetigo contagiosa gyrata', 'Ulcerative impetigo']"
10,"['Impetiginized atopic dermatitis', 'Secondary impetiginization']"
11,"['Abscess of cheek', 'Abscess of cheek', 'Abscess of chin', 'Abscess of chin', 'Abscess of external cheek', 'Abscess of face', 'Abscess of forehead', 'Abscess of forehead', 'Abscess of submental space', 'Abscess of temple region', 'Abscess of temple region', 'Abscess of the infratemporal region', 'Acute abscess of face', 'Cellulitis and abscess of cheek ', 'Cellulitis and abscess of chin', 'Cellulitis and abscess of face', 'Cellulitis and abscess of forehead', 'Cellulitis and abscess of temple region', 'Cellulitis of chin', 'Cellulitis of forehead', 'Cellulitis of temple region']"
12,"['Boil of face ', 'Furuncle of face', 'Furuncle of temple region']"
13,"['Carbuncle of face ', 'Carbuncle of face', 'Carbuncle of temple region']"
14,"['Abscess of neck', 'Acute mastoiditis with complication', 'Acute mastoiditis with neck abscess', 'Cellulitis and abscess of neck', 'Cellulitis of neck']"
15,['Furuncle of neck']
16,"['Carbuncle of neck', 'Infection of skin of neck']"
17,"['Abscess of abdominal wall', 'Abscess of skin of abdomen', 'Cellulitis and abscess of abdominal wall', 'Cellulitis and abscess of trunk', 'Cellulitis of abdominal wall', 'Loin abscess', 'Postoperative abdominal wall wound abscess', 'Postoperative wound abscess', 'Suprapubic abscess', 'Wound abscess', 'Wound abscess following procedure']"
18,"['Abscess of back', 'Abscess of back, except buttock', 'Abscess of flank', 'Abscess of flank', 'Cellulitis and abscess of abdominal wall', 'Cellulitis and abscess of back', 'Cellulitis and abscess of flank', 'Cellulitis and abscess of trunk', 'Cellulitis of abdominal wall', 'Cellulitis of flank', 'Paraspinal abscess']"
19,"['Abscess of chest wall', 'Abscess of chest wall', 'Abscess of pectoral region', 'Cellulitis and abscess of chest wall', 'Cellulitis and abscess of trunk', 'Cellulitis of chest wall', 'Retrosternal abscess']"
20,"['Abscess of groin', 'Abscess of groin', 'Cellulitis and abscess of groin', 'Cellulitis and abscess of trunk', 'Cellulitis of groin']"
21,"['Abscess of perineum', 'Cellulitis and abscess of perineum', 'Cellulitis and abscess of trunk', 'Cellulitis of perineum']"
