,Synonyms
0,[]
1,[]
2,[]
3,[]
4,['Hemorrhage following skin surgery']
5,[]
6,[]
7,"['Hematoma of surgical wound of skin due to and following surgical procedure', 'Perioperative hematoma', 'Postoperative hematoma formation']"
8,['Skin graft seroma']
9,[]
10,[]
11,"['Acute radiation disease', 'Acute radiodermatitis due to and following radiotherapy caused by ionizing radiation', 'Adverse reactions to UVB phototherapy', 'Application site anesthesia', 'Application site irritation', 'Application site rash', 'Application site reaction', 'Application site ulcer', 'Calcification in surgical scar', 'Calcinosis', 'Chronic radiodermatitis due to and following radiotherapy caused by ionizing radiation', 'Complication of cryotherapy procedure', 'Complication of cryotherapy procedure', 'Complication of cryotherapy procedure', 'Complication of cutaneous surgery', 'Complication of laser surgery', 'Complication of laser surgery', 'Complication of procedure by succeeding disorder', 'Delayed healing of skin donor site', 'Delayed healing of surgical wound', 'Dermatitis as late effect of radiation', 'Dermatitis as late effect of radiation', 'Dermatological complication of procedure', 'Disorder of skin donor site', 'Disorder of skin following procedure', 'Early radiation dermatitis', 'Extensive post-operative wound cellulitis', 'Hypermelanosis due to cryotherapy', 'Hypomelanosis due to cryotherapy', 'Hypomelanosis due to scarring', 'Infection of skin donor site', 'Injection site ulcer', 'Laser-induced dyspigmentation', 'Laser-induced hyperpigmentation', 'Laser-induced scar', 'Nail regrowth due to and following chemical destruction of nail bed', 'Neonatal iatrogenic skin trauma', 'Non-healing of skin donor site', 'Peristomal dermatitis', 'Peristomal skin complication', 'Post-operative wound cellulitis', 'Radiation dermatitis', 'Radiation dermatitis', 'Scarring due to cryotherapy', 'Scarring due to treatment', 'Skin and subcutaneous tissue complication following chemexfoliation of skin', 'Skin and subcutaneous tissue complication following insertion of filling material under skin', 'Surgical scar finding', 'Traumatic complication of procedure', 'UVB phototherapy burn']"
