,Synonyms
0,"['Acquired kyphosis', 'Adolescent postural kyphosis', 'Kyphosis deformity of spine', 'Postural kyphosis']"
1,[]
2,[]
3,[]
4,"['Acquired kyphosis', 'Kyphosis in skeletal dysplasia', 'Secondary kyphosis']"
5,[]
6,[]
7,[]
8,[]
9,"['Cervical kyphosis', 'Cervical spine deformity']"
10,['Kyphosis of cervicothoracic spine']
11,['Kyphosis of thoracic spine']
12,['Kyphosis of thoracolumbar spine']
13,"['Acquired kyphosis', ""Dowager's hump"", 'Kyphosis deformity of spine']"
14,[]
15,[]
16,[]
17,[]
18,"['Idiopathic kyphosis deformity of spine', 'Neuromuscular kyphosis', 'Osteoporotic kyphosis']"
19,"['Flatback syndrome', 'Flattened lordosis', 'Lordosis finding']"
20,[]
21,"['Flatback syndrome', 'Flatback syndrome of lumbar region']"
22,[]
23,"['Acquired lordosis', 'Acquired postural lordosis', 'Lordosis in skeletal dysplasia']"
24,[]
25,[]
26,"['Acquired lordosis', 'Lordosis in hip disease']"
27,"['Lordoscoliosis', 'Lordosis accentuated', 'Lordosis deformity of spine', 'Lordosis deformity of spine due to degenerative disc disease', 'Lordosis finding', 'Lordosis finding', 'Lordosis reversed']"
28,[]
29,[]
30,[]
31,"['Acquired scoliosis', 'Idiopathic kyphoscoliosis', 'Idiopathic scoliosis', 'Idiopathic scoliosis AND/OR kyphoscoliosis', 'Kyphoscoliosis and scoliosis', 'Lordoscoliosis', 'Progressive infantile idiopathic scoliosis', 'Resolving infantile idiopathic scoliosis']"
32,['Infantile idiopathic scoliosis of cervical spine']
33,[]
34,[]
35,[]
36,[]
37,[]
38,[]
39,[]
40,[]
41,[]
42,[]
43,[]
44,[]
45,"['Acquired scoliosis', 'Horizontal gaze palsy', 'Horizontal gaze palsy with progressive scoliosis', 'Idiopathic kyphoscoliosis', 'Idiopathic scoliosis', 'Idiopathic scoliosis AND/OR kyphoscoliosis', 'Kyphoscoliosis and scoliosis', 'Lordoscoliosis', 'Palsy of conjugate gaze', 'Postural scoliosis', 'Restrictive lung disease', 'Restrictive lung disease due to kyphoscoliosis']"
46,[]
47,"['Adolescent idiopathic cervicothoracic scoliosis', 'Adolescent idiopathic scoliosis']"
48,"['Adolescent idiopathic scoliosis', 'Adolescent idiopathic scoliosis of thoracic spine', 'Idiopathic scoliosis of thoracic spine', 'Scoliosis of thoracic spine']"
49,"['Adolescent idiopathic scoliosis', 'Adolescent idiopathic scoliosis of lumbar spine', 'Adolescent idiopathic scoliosis of thoracic spine', 'Adolescent idiopathic scoliosis of thoracolumbar spine', 'Idiopathic scoliosis of lumbar spine', 'Idiopathic scoliosis of thoracic and lumbar spine', 'Idiopathic scoliosis of thoracic spine', 'Scoliosis of lumbar spine', 'Scoliosis of thoracic spine']"
50,"['Adolescent idiopathic scoliosis', 'Adolescent idiopathic scoliosis of lumbar spine', 'Idiopathic scoliosis of lumbar spine', 'Scoliosis of lumbar spine']"
51,"['Adolescent idiopathic lumbosacral scoliosis', 'Adolescent idiopathic scoliosis']"
52,"['Acquired scoliosis', 'Acquired scoliosis', 'Adolescent idiopathic scoliosis', 'Blindness, scoliosis, arachnodactyly syndrome', 'Corkscrewing', 'Early-onset scoliosis deformity of spine', 'Idiopathic kyphoscoliosis', 'Idiopathic scoliosis', 'Idiopathic scoliosis AND/OR kyphoscoliosis', 'Kyphoscoliosis and scoliosis', 'Lordoscoliosis', 'Scoliosis deformity of spine', 'Triple curvature idiopathic scoliosis']"
53,"['Idiopathic kyphoscoliosis', 'Idiopathic scoliosis', 'Idiopathic scoliosis AND/OR kyphoscoliosis', 'Triple curvature idiopathic scoliosis']"
54,[]
55,[]
56,"['Double thoracic curvature idiopathic scoliosis', 'Idiopathic scoliosis of lumbar spine', 'Idiopathic scoliosis of thoracic and lumbar spine', 'Idiopathic scoliosis of thoracic spine', 'Scoliosis of lumbar spine', 'Scoliosis of thoracic spine']"
57,[]
58,"['Idiopathic scoliosis of lumbar spine', 'Idiopathic scoliosis of lumbar spine', 'Idiopathic scoliosis of thoracic and lumbar spine', 'Idiopathic scoliosis of thoracic spine', 'Scoliosis of lumbar spine', 'Scoliosis of lumbar spine', 'Scoliosis of thoracic spine']"
59,[]
60,"['Acquired kyphoscoliosis', 'Acquired scoliosis', 'Acquired scoliosis', 'Thoracogenic kyphoscoliosis', 'Thoracogenic scoliosis']"
61,['Scoliosis of thoracic spine']
62,[]
63,"['Neuromuscular kyphoscoliosis', 'Neuromuscular lordosis', 'Neuromuscular scoliosis', 'Neuromuscular scoliosis', 'Neuromuscular scoliosis due to cerebral palsy', 'Neuromuscular scoliosis due to poliomyelitis', 'Scoliosis in neurofibromatosis']"
64,[]
65,"['Cervical spine deformity', 'Neuromuscular scoliosis', 'Neuromuscular scoliosis of cervical spine', 'Scoliosis of cervical spine']"
66,[]
67,[]
68,"['Neuromuscular scoliosis', 'Neuromuscular scoliosis of thoracolumbar spine co-occurrent and due to cerebral palsy']"
69,"['Neuromuscular scoliosis', 'Neuromuscular scoliosis of lumbar spine co-occurrent and due to cerebral palsy']"
70,"['Neuromuscular scoliosis', 'Neuromuscular scoliosis of lumbosacral spine', 'Scoliosis of thoracic spine']"
71,"['Acquired scoliosis', 'Post-surgical scoliosis', 'Scoliosis in connective tissue anomalies', 'Scoliosis in skeletal dysplasia']"
72,[]
73,[]
74,[]
75,[]
76,[]
77,[]
78,"['Acquired kyphoscoliosis', 'Acquired scoliosis', 'Acquired scoliosis', 'Degenerative scoliosis', 'Kyphoscoliosis deformity of spine', 'Levoscoliosis', 'O/E - kyphoscoliotic chest deformity']"
79,"['Cervical kyphosis', 'Cervical spine deformity', 'Kyphoscoliosis of cervical spine', 'Scoliosis of cervical spine']"
80,[]
81,"['Kyphoscoliosis of thoracic spine', 'Kyphosis of thoracic spine', 'Scoliosis of thoracic spine']"
82,[]
83,['Scoliosis of lumbar spine']
84,[]
85,"['Acquired scoliosis', 'Blindness, scoliosis, arachnodactyly syndrome', 'Cervical spine deformity', 'Corkscrewing', 'Dextroscoliosis', 'Early-onset scoliosis deformity of spine', 'Horizontal gaze palsy', 'Horizontal gaze palsy with progressive scoliosis', 'Kyphoscoliosis and scoliosis', 'Lordoscoliosis', 'Palsy of conjugate gaze', 'Postural scoliosis', 'Restrictive lung disease', 'Restrictive lung disease due to kyphoscoliosis', 'Scoliosis deformity of spine', 'Scoliosis of cervical spine']"
86,"[""Calve's vertebral osteochondrosis"", 'Degenerative disorder of bone', 'Familial Scheuermann disease', 'Juvenile osteochondrosis of spine']"
87,[]
88,[]
89,[]
90,"['Degenerative disorder of bone', 'Juvenile osteochondrosis of spine', 'Juvenile osteochondrosis of thoracic spine']"
91,[]
92,[]
93,[]
94,[]
95,[]
96,"['Adult osteochondritis of spine', 'Adult osteochondrosis of spine']"
97,[]
98,[]
99,[]
100,[]
101,[]
102,[]
103,[]
104,[]
105,[]
106,[]
107,"['Acquired spondylolysis', 'Spondylolysis']"
108,[]
109,"['Closed fracture cervical vertebra, posterior arch', 'Closed fracture cervical vertebra, spondylolysis', 'Spondylolysis of cervical spine', 'Spondylolysis of cervical spine']"
110,[]
111,"['Closed fracture thoracic vertebra, posterior arch', 'Closed fracture thoracic vertebra, spondylolysis']"
112,"['Acquired spondylolysis', 'Acquired spondylolysis of thoracolumbar spine']"
113,"['Closed fracture lumbar vertebra, posterior arch', 'Closed fracture lumbar vertebra, spondylolysis', 'Open fracture lumbar vertebra, posterior arch', 'Open fracture lumbar vertebra, spondylolysis']"
114,"['Acquired spondylolysis', 'Acquired spondylolysis of lumbosacral spine']"
115,"['Acquired spondylolysis', 'Acquired spondylolysis of sacrococcygeal spine']"
116,[]
117,"['Acquired spondylolisthesis', 'Degenerative spondylolisthesis', 'Dysplastic spondylolisthesis', 'Isthmic spondylolisthesis', 'Pedicular spondylolisthesis', 'Spondylolisthesis', 'Spondylolisthesis without pars defect', 'Spondylolisthesis, grade 1', 'Spondylolisthesis, grade 2', 'Spondylolisthesis, grade 3', 'Spondylolisthesis, grade 4', 'Spondyloptosis']"
118,[]
119,"['Acquired spondylolisthesis', 'Acquired spondylolisthesis of cervical vertebra']"
120,[]
121,"['Acquired spondylolisthesis', 'Acquired spondylolisthesis of thoracic vertebra']"
122,"['Acquired spondylolisthesis', 'Acquired spondylolisthesis of thoracolumbar vertebra']"
123,['Lumbar spondylolisthesis']
124,"['Arthropathy of lumbar facet joint', 'Lumbar spondylolisthesis', 'Lumbosacral spondylolisthesis', 'Spondylolisthesis L5/S1 level']"
125,"['Acquired spondylolisthesis', 'Acquired spondylolisthesis of sacrococcygeal spine', 'Disorder of sacrococcygeal spine']"
126,[]
127,"['Ankylosis of spine', 'Complete ankylosis of the spine']"
128,"['Ankylosis of occipitoatlantoaxial region', 'Atlantoaxial ankylosis', 'Atlanto-occipital ankylosis']"
129,"['Atlanto-occipital ankylosis', 'Cervical spine ankylosis']"
130,['Cervicothoracic ankylosis']
131,"['Thoracic spine ankylosis', 'Thoracolumbar ankylosis']"
132,['Thoracolumbar ankylosis']
133,"['Lumbar spine ankylosis', 'Thoracolumbar ankylosis']"
134,"['Ankylosis of lumbosacral joint', 'Lumbar spine ankylosis', 'Thoracolumbar ankylosis']"
135,[]
136,"['Atlantoaxial subluxation', 'Recurrent atlantoaxial subluxation with myelopathy']"
137,[]
138,[]
139,[]
140,[]
141,[]
142,[]
143,[]
144,[]
145,[]
146,"['Acquired deformity of neck', 'Acute muscle stiffness of neck', 'Atlantoaxial subluxation', 'Benign paroxysmal torticollis of infancy', 'Cervical spine stiff', 'Decreased range of cervical spine movement', ""Grisel's syndrome"", 'Head tilt', 'Intermittent torticollis', 'Paroxysmal dystonia', 'Paroxysmal dystonia', 'Rheumatic torticollis', 'Sandifer syndrome', 'Stiff back', 'Stiff neck', 'Stiff neck symptom', 'Torticollis']"
147,[]
148,"['Cervical spine deformity', 'Rotational deformity of cervical spine', 'Rotational deformity of spine']"
149,[]
150,"['Deformity of thoracic spine', 'Finding of form of thoracic spine', 'Rotational deformity of thoracic spine']"
151,[]
152,"['Deformity of lumbar spine', 'Deformity of lumbar spine', 'Deformity of lumbar spine', 'Finding of form of lumbar spine', 'Finding of form of lumbar spine', 'Finding of form of lumbar spine', 'Hyperextension of lumbar spine', 'Loss of lumbar lordosis', 'Reverse of lumbar lordosis']"
153,[]
154,[]
155,"['Acquired myelocele', 'Curvature of spine due to another disorder', 'Curvature of spine due to osteomalacia', 'Rotational deformity of spine', 'Stenosis of spinal canal due to subluxation', 'Vertical spinal deviation']"
