,category,condition
0,M80.00XA,"Agerel osteopor w current path fracture, unsp site, init"
1,M80.00XD,"Agerel osteopor w crnt path fx, unsp site, 7thD"
2,M80.00XG,"Agerel osteopor w crnt path fx, unsp site, 7thG"
3,M80.00XK,"Agerel osteopor w crnt path fx, unsp site, 7thK"
4,M80.00XP,"Agerel osteopor w crnt path fx, unsp site, 7thP"
5,M80.00XS,"Agerel osteopor w current path fracture, unsp site, sequela"
6,M80.011A,"Agerel osteopor w current path fracture, r shoulder, init"
7,M80.011D,"Agerel osteopor w crnt path fx, r shldr, 7thD"
8,M80.011G,"Agerel osteopor w crnt path fx, r shldr, 7thG"
9,M80.011K,"Agerel osteopor w crnt path fx, r shldr, 7thK"
10,M80.011P,"Agerel osteopor w crnt path fx, r shldr, 7thP"
11,M80.011S,"Agerel osteopor w current path fx, r shoulder, sequela"
12,M80.012A,"Agerel osteopor w current path fracture, l shoulder, init"
13,M80.012D,"Agerel osteopor w crnt path fx, l shldr, 7thD"
14,M80.012G,"Agerel osteopor w crnt path fx, l shldr, 7thG"
15,M80.012K,"Agerel osteopor w crnt path fx, l shldr, 7thK"
16,M80.012P,"Agerel osteopor w crnt path fx, l shldr, 7thP"
17,M80.012S,"Agerel osteopor w current path fx, l shoulder, sequela"
18,M80.019A,"Agerel osteopor w current path fx, unsp shoulder, init"
19,M80.019D,"Agerel osteopor w crnt path fx, unsp shldr, 7thD"
20,M80.019G,"Agerel osteopor w crnt path fx, unsp shldr, 7thG"
21,M80.019K,"Agerel osteopor w crnt path fx, unsp shldr, 7thK"
22,M80.019P,"Agerel osteopor w crnt path fx, unsp shldr, 7thP"
23,M80.019S,"Agerel osteopor w current path fx, unsp shoulder, sequela"
24,M80.021A,"Agerel osteopor w current path fracture, r humerus, init"
25,M80.021D,"Agerel osteopor w crnt path fx, r humer, 7thD"
26,M80.021G,"Agerel osteopor w crnt path fx, r humer, 7thG"
27,M80.021K,"Agerel osteopor w crnt path fx, r humer, 7thK"
28,M80.021P,"Agerel osteopor w crnt path fx, r humer, 7thP"
29,M80.021S,"Agerel osteopor w current path fracture, r humerus, sequela"
30,M80.022A,"Agerel osteopor w current path fracture, l humerus, init"
31,M80.022D,"Agerel osteopor w crnt path fx, l humer, 7thD"
32,M80.022G,"Agerel osteopor w crnt path fx, l humer, 7thG"
33,M80.022K,"Agerel osteopor w crnt path fx, l humer, 7thK"
34,M80.022P,"Agerel osteopor w crnt path fx, l humer, 7thP"
35,M80.022S,"Agerel osteopor w current path fracture, l humerus, sequela"
36,M80.029A,"Agerel osteopor w current path fracture, unsp humerus, init"
37,M80.029D,"Agerel osteopor w crnt path fx, unsp humer, 7thD"
38,M80.029G,"Agerel osteopor w crnt path fx, unsp humer, 7thG"
39,M80.029K,"Agerel osteopor w crnt path fx, unsp humer, 7thK"
40,M80.029P,"Agerel osteopor w crnt path fx, unsp humer, 7thP"
41,M80.029S,"Agerel osteopor w current path fx, unsp humerus, sequela"
42,M80.031A,"Agerel osteopor w current path fracture, r forearm, init"
43,M80.031D,"Agerel osteopor w crnt path fx, r forearm, 7thD"
44,M80.031G,"Agerel osteopor w crnt path fx, r forearm, 7thG"
45,M80.031K,"Agerel osteopor w crnt path fx, r forearm, 7thK"
46,M80.031P,"Agerel osteopor w crnt path fx, r forearm, 7thP"
47,M80.031S,"Agerel osteopor w current path fracture, r forearm, sequela"
48,M80.032A,"Agerel osteopor w current path fracture, l forearm, init"
49,M80.032D,"Agerel osteopor w crnt path fx, l forearm, 7thD"
50,M80.032G,"Agerel osteopor w crnt path fx, l forearm, 7thG"
51,M80.032K,"Agerel osteopor w crnt path fx, l forearm, 7thK"
52,M80.032P,"Agerel osteopor w crnt path fx, l forearm, 7thP"
53,M80.032S,"Agerel osteopor w current path fracture, l forearm, sequela"
54,M80.039A,"Agerel osteopor w current path fracture, unsp forearm, init"
55,M80.039D,"Agerel osteopor w crnt path fx, unsp forearm, 7thD"
56,M80.039G,"Agerel osteopor w crnt path fx, unsp forearm, 7thG"
57,M80.039K,"Agerel osteopor w crnt path fx, unsp forearm, 7thK"
58,M80.039P,"Agerel osteopor w crnt path fx, unsp forearm, 7thP"
59,M80.039S,"Agerel osteopor w current path fx, unsp forearm, sequela"
