,Synonyms
0,"['Disuse osteoporosis', 'Osteoporosis of disuse with pathological fracture', 'Pathological fracture due to osteoporosis', 'Pathological fracture of left hip', 'Pathological fracture of left hip due to osteoporosis', 'Postmenopausal osteoporosis', 'Postmenopausal osteoporosis with pathological fracture', 'Primary osteoporosis', 'Senile osteoporosis']"
1,"['Disuse osteoporosis', 'Osteoporosis of disuse with pathological fracture', 'Pathological fracture due to osteoporosis', 'Pathological fracture of left hip', 'Pathological fracture of left hip due to osteoporosis', 'Postmenopausal osteoporosis', 'Postmenopausal osteoporosis with pathological fracture', 'Primary osteoporosis', 'Senile osteoporosis']"
2,"['Disuse osteoporosis', 'Osteoporosis of disuse with pathological fracture', 'Pathological fracture due to osteoporosis', 'Pathological fracture of left hip', 'Pathological fracture of left hip due to osteoporosis', 'Postmenopausal osteoporosis', 'Postmenopausal osteoporosis with pathological fracture', 'Primary osteoporosis', 'Senile osteoporosis']"
3,"['Disuse osteoporosis', 'Osteoporosis of disuse with pathological fracture', 'Pathological fracture due to osteoporosis', 'Pathological fracture of left hip', 'Pathological fracture of left hip due to osteoporosis', 'Postmenopausal osteoporosis', 'Postmenopausal osteoporosis with pathological fracture', 'Primary osteoporosis', 'Senile osteoporosis']"
4,"['Disuse osteoporosis', 'Osteoporosis of disuse with pathological fracture', 'Pathological fracture due to osteoporosis', 'Pathological fracture of left hip', 'Pathological fracture of left hip due to osteoporosis', 'Postmenopausal osteoporosis', 'Postmenopausal osteoporosis with pathological fracture', 'Primary osteoporosis', 'Senile osteoporosis']"
5,"['Disuse osteoporosis', 'Osteoporosis of disuse with pathological fracture', 'Pathological fracture due to osteoporosis', 'Pathological fracture of left hip', 'Pathological fracture of left hip due to osteoporosis', 'Postmenopausal osteoporosis', 'Postmenopausal osteoporosis with pathological fracture', 'Primary osteoporosis', 'Senile osteoporosis']"
6,"['Pathological fracture of clavicle', 'Pathological fracture of clavicle due to osteoporosis', 'Pathological fracture of right clavicle', 'Pathological fracture of right clavicle due to osteoporosis', 'Pathological fracture of right scapula', 'Pathological fracture of right scapula due to osteoporosis', 'Pathological fracture of scapula', 'Pathological fracture of scapula due to osteoporosis']"
7,"['Pathological fracture of clavicle', 'Pathological fracture of clavicle due to osteoporosis', 'Pathological fracture of right clavicle', 'Pathological fracture of right clavicle due to osteoporosis', 'Pathological fracture of right scapula', 'Pathological fracture of right scapula due to osteoporosis', 'Pathological fracture of scapula', 'Pathological fracture of scapula due to osteoporosis']"
8,"['Pathological fracture of clavicle', 'Pathological fracture of clavicle due to osteoporosis', 'Pathological fracture of right clavicle', 'Pathological fracture of right clavicle due to osteoporosis', 'Pathological fracture of right scapula', 'Pathological fracture of right scapula due to osteoporosis', 'Pathological fracture of scapula', 'Pathological fracture of scapula due to osteoporosis']"
9,"['Pathological fracture of clavicle', 'Pathological fracture of clavicle due to osteoporosis', 'Pathological fracture of right clavicle', 'Pathological fracture of right clavicle due to osteoporosis', 'Pathological fracture of right scapula', 'Pathological fracture of right scapula due to osteoporosis', 'Pathological fracture of scapula', 'Pathological fracture of scapula due to osteoporosis']"
10,"['Pathological fracture of clavicle', 'Pathological fracture of clavicle due to osteoporosis', 'Pathological fracture of right clavicle', 'Pathological fracture of right clavicle due to osteoporosis', 'Pathological fracture of right scapula', 'Pathological fracture of right scapula due to osteoporosis', 'Pathological fracture of scapula', 'Pathological fracture of scapula due to osteoporosis']"
11,"['Pathological fracture of clavicle', 'Pathological fracture of clavicle due to osteoporosis', 'Pathological fracture of right clavicle', 'Pathological fracture of right clavicle due to osteoporosis', 'Pathological fracture of right scapula', 'Pathological fracture of right scapula due to osteoporosis', 'Pathological fracture of scapula', 'Pathological fracture of scapula due to osteoporosis']"
12,"['Pathological fracture of clavicle', 'Pathological fracture of clavicle due to osteoporosis', 'Pathological fracture of left clavicle', 'Pathological fracture of left clavicle due to osteoporosis', 'Pathological fracture of left scapula', 'Pathological fracture of left scapula due to osteoporosis', 'Pathological fracture of scapula', 'Pathological fracture of scapula due to osteoporosis']"
13,"['Pathological fracture of clavicle', 'Pathological fracture of clavicle due to osteoporosis', 'Pathological fracture of left clavicle', 'Pathological fracture of left clavicle due to osteoporosis', 'Pathological fracture of left scapula', 'Pathological fracture of left scapula due to osteoporosis', 'Pathological fracture of scapula', 'Pathological fracture of scapula due to osteoporosis']"
14,"['Pathological fracture of clavicle', 'Pathological fracture of clavicle due to osteoporosis', 'Pathological fracture of left clavicle', 'Pathological fracture of left clavicle due to osteoporosis', 'Pathological fracture of left scapula', 'Pathological fracture of left scapula due to osteoporosis', 'Pathological fracture of scapula', 'Pathological fracture of scapula due to osteoporosis']"
15,"['Pathological fracture of clavicle', 'Pathological fracture of clavicle due to osteoporosis', 'Pathological fracture of left clavicle', 'Pathological fracture of left clavicle due to osteoporosis', 'Pathological fracture of left scapula', 'Pathological fracture of left scapula due to osteoporosis', 'Pathological fracture of scapula', 'Pathological fracture of scapula due to osteoporosis']"
16,"['Pathological fracture of clavicle', 'Pathological fracture of clavicle due to osteoporosis', 'Pathological fracture of left clavicle', 'Pathological fracture of left clavicle due to osteoporosis', 'Pathological fracture of left scapula', 'Pathological fracture of left scapula due to osteoporosis', 'Pathological fracture of scapula', 'Pathological fracture of scapula due to osteoporosis']"
17,"['Pathological fracture of clavicle', 'Pathological fracture of clavicle due to osteoporosis', 'Pathological fracture of left clavicle', 'Pathological fracture of left clavicle due to osteoporosis', 'Pathological fracture of left scapula', 'Pathological fracture of left scapula due to osteoporosis', 'Pathological fracture of scapula', 'Pathological fracture of scapula due to osteoporosis']"
18,"['Pathological fracture of clavicle due to osteoporosis', 'Pathological fracture of scapula due to osteoporosis']"
19,"['Pathological fracture of clavicle due to osteoporosis', 'Pathological fracture of scapula due to osteoporosis']"
20,"['Pathological fracture of clavicle due to osteoporosis', 'Pathological fracture of scapula due to osteoporosis']"
21,"['Pathological fracture of clavicle due to osteoporosis', 'Pathological fracture of scapula due to osteoporosis']"
22,"['Pathological fracture of clavicle due to osteoporosis', 'Pathological fracture of scapula due to osteoporosis']"
23,"['Pathological fracture of clavicle due to osteoporosis', 'Pathological fracture of scapula due to osteoporosis']"
24,"['Pathological fracture - upper arm', 'Pathological fracture of humerus due to osteoporosis', 'Pathological fracture of right humerus', 'Pathological fracture of right humerus due to osteoporosis']"
25,"['Pathological fracture - upper arm', 'Pathological fracture of humerus due to osteoporosis', 'Pathological fracture of right humerus', 'Pathological fracture of right humerus due to osteoporosis']"
26,"['Pathological fracture - upper arm', 'Pathological fracture of humerus due to osteoporosis', 'Pathological fracture of right humerus', 'Pathological fracture of right humerus due to osteoporosis']"
27,"['Pathological fracture - upper arm', 'Pathological fracture of humerus due to osteoporosis', 'Pathological fracture of right humerus', 'Pathological fracture of right humerus due to osteoporosis']"
28,"['Pathological fracture - upper arm', 'Pathological fracture of humerus due to osteoporosis', 'Pathological fracture of right humerus', 'Pathological fracture of right humerus due to osteoporosis']"
29,"['Pathological fracture - upper arm', 'Pathological fracture of humerus due to osteoporosis', 'Pathological fracture of right humerus', 'Pathological fracture of right humerus due to osteoporosis']"
30,"['Pathological fracture - upper arm', 'Pathological fracture of humerus due to osteoporosis', 'Pathological fracture of left humerus', 'Pathological fracture of left humerus due to osteoporosis']"
31,"['Pathological fracture - upper arm', 'Pathological fracture of humerus due to osteoporosis', 'Pathological fracture of left humerus', 'Pathological fracture of left humerus due to osteoporosis']"
32,"['Pathological fracture - upper arm', 'Pathological fracture of humerus due to osteoporosis', 'Pathological fracture of left humerus', 'Pathological fracture of left humerus due to osteoporosis']"
33,"['Pathological fracture - upper arm', 'Pathological fracture of humerus due to osteoporosis', 'Pathological fracture of left humerus', 'Pathological fracture of left humerus due to osteoporosis']"
34,"['Pathological fracture - upper arm', 'Pathological fracture of humerus due to osteoporosis', 'Pathological fracture of left humerus', 'Pathological fracture of left humerus due to osteoporosis']"
35,"['Pathological fracture - upper arm', 'Pathological fracture of humerus due to osteoporosis', 'Pathological fracture of left humerus', 'Pathological fracture of left humerus due to osteoporosis']"
36,['Pathological fracture of humerus due to osteoporosis']
37,['Pathological fracture of humerus due to osteoporosis']
38,['Pathological fracture of humerus due to osteoporosis']
39,['Pathological fracture of humerus due to osteoporosis']
40,['Pathological fracture of humerus due to osteoporosis']
41,['Pathological fracture of humerus due to osteoporosis']
