,Synonyms
0,"['Pseudarthrosis after fusion or arthrodesis', 'Pseudarthrosis following spinal fusion']"
1,"['Cervical post-laminectomy syndrome', 'Lumbar post-laminectomy syndrome', 'Post-laminectomy syndrome', 'Thoracic post-laminectomy syndrome']"
2,"['Acquired kyphosis', 'Radiation kyphosis']"
3,"['Acquired kyphosis', 'Post-laminectomy kyphosis']"
4,"['Post-laminectomy lordosis', 'Postsurgical lordosis']"
5,"['Acquired scoliosis', 'Scoliosis due to radiation']"
6,[]
7,[]
8,[]
9,[]
10,[]
11,[]
12,[]
13,[]
14,[]
15,[]
16,[]
17,[]
18,[]
19,[]
20,[]
21,[]
22,[]
23,[]
24,[]
25,[]
26,[]
27,[]
28,[]
29,[]
30,"['Disorder of musculoskeletal system following procedure', 'Disorder of tendon repair', 'Extremity restricted from procedure', 'Infection of tendon repair', 'Infectious disorder of tendon', 'Intraoperative fracture', 'Osteolysis following surgical procedure on skeletal system', 'Postoperative heterotopic calcification', 'Postoperative heterotopic calcification of muscle', 'Postoperative heterotopic calcification of skeletal muscle', 'Postoperative heterotopic ossification', 'Postoperative supratip depression of nose']"
