,category,condition
0,N20.0,Calculus of kidney
1,N20.1,Calculus of ureter
2,N20.2,Calculus of kidney with calculus of ureter
3,N20.9,"Urinary calculus, unspecified"
4,N21.0,Calculus in bladder
5,N21.1,Calculus in urethra
6,N21.8,Other lower urinary tract calculus
7,N21.9,"Calculus of lower urinary tract, unspecified"
8,Calculus of urinary tract in diseases classified elsewhere (N22),N22  Calculus of urinary tract in diseases classified elsewhere
9,N22,Calculus of urinary tract in diseases classified elsewhere
10,Unspecified renal colic (N23),N23  Unspecified renal colic
11,N23,Unspecified renal colic
