,Synonyms
0,"['Endometriosis interna', 'Endometriosis of cervix', 'Endometriosis of myometrium', 'Endometriosis of uterus']"
1,"['Chocolate cyst of ovary', 'Endometriosis of ovary', 'Superficial endometriosis of ovary']"
2,['Endometriosis of fallopian tube']
3,"['Deep endometriosis', 'Endometriosis of broad ligament', 'Endometriosis of parametrium', 'Endometriosis of pelvic peritoneum', 'Endometriosis of pelvic peritoneum', 'Endometriosis of pelvis', 'Endometriosis of round ligament', 'Endometriosis of the cul-de-sac', 'Endometriosis of uterosacral ligament', 'Peritoneal pockets and endometriosis', 'Superficial endometriosis of pelvic peritoneum']"
4,"['Endometriosis of rectovaginal septum', 'Endometriosis of vagina']"
5,"['Endometriosis of appendix', 'Endometriosis of colon', 'Endometriosis of intestine', 'Endometriosis of large intestine', 'Endometriosis of rectum', 'Endometriosis of small intestine', 'Endometriosis outside pelvis', 'Endometriosis outside pelvis']"
6,"['Cutaneous endometriosis', 'Endometriosis in scar of skin', 'Endometriosis outside pelvis']"
7,"['Endometriosis of bladder', 'Endometriosis of lung', 'Endometriosis of pleura', 'Endometriosis of thorax', 'Endometriosis of umbilicus', 'Endometriosis of vulva', 'Endometriosis outside pelvis', 'External endometriosis', 'Extraovarian endometriosis']"
8,"['Adhesions due to endometriosis', 'Deciduomatosis', 'Endometriosis ', 'Female infertility due to endometriosis', 'Implanted endometriosis']"
9,"['Female urethrocele', 'Female urethrocele without uterine prolapse', 'Prolapse of urethra']"
10,"['Anterior vaginal wall prolapse', 'Complete prolapse of anterior wall of vagina', 'Cystocele', 'Cystocele - baby delivered', 'Cystocele - delivered with postpartum complication', 'Cystocele affecting obstetric care', 'Cystocele affecting pregnancy', 'Cystocele complicating antenatal care - baby not yet delivered', 'Cystocele complicating postpartum care - baby delivered during previous episode of care', 'Cystocele in pregnancy, childbirth and the puerperium', 'Female cystourethrocele', 'Female urethrocele', 'Herniated urinary bladder', 'Incomplete prolapse of anterior wall of vagina', 'Inguinal cystocele', 'Prolapse of urethra', 'Prolapse of vaginal walls without uterine prolapse', 'Vaginal wall prolapse', 'Vaginal wall prolapsed at introitus']"
11,['Midline cystocele']
12,['Lateral cystocele']
13,"['Cervix prolapsed into vagina', 'Cervix prolapsed into vagina with straining', 'Cervix prolapsed into vagina with traction', 'Cervix visible at vaginal introitus', 'Cervix visible at vaginal introitus straining', 'Cervix visible at vaginal introitus with traction', 'Cystocele and rectocele co-occurrent with incomplete uterovaginal prolapse', 'Cystocele co-occurrent with incomplete uterovaginal prolapse', 'Cystocele with first degree uterine prolapse', 'Cystocele with second degree uterine prolapse', 'First degree uterine prolapse', 'Herniated urinary bladder', 'Herniation of rectum into vagina', 'Incomplete prolapse of vault of vagina', 'Incomplete uterine prolapse', 'Incomplete uterovaginal prolapse', 'Prolapse of anterior lip of cervix obstructing labor', 'Rectocele co-occurrent with incomplete uterovaginal prolapse', 'Second degree uterine prolapse', 'Uterine prolapse in pregnancy', 'Uterine prolapse without vaginal wall prolapse', 'Uterocervical descent', 'Uterocervical descent', 'Uterovaginal prolapse', 'Vaginal vault prolapse']"
14,"['Complete prolapse of vaginal vault', 'Complete uterine prolapse co-occurrent with anterior vaginal wall prolapse', 'Cystocele and rectocele co-occurrent with complete uterovaginal prolapse', 'Cystocele with third degree uterine prolapse', 'Herniated urinary bladder', 'Herniation of rectum into vagina', 'Rectocele co-occurrent with complete uterovaginal prolapse', 'Third degree uterine prolapse', 'Third degree uterine prolapse', 'Vaginal vault prolapse']"
