,category,condition
0,O09.00,"Suprvsn of preg w history of infertility, unsp trimester"
1,O09.01,"Suprvsn of preg w history of infertility, first trimester"
2,O09.02,"Suprvsn of preg w history of infertility, second trimester"
3,O09.03,"Suprvsn of preg w history of infertility, third trimester"
4,O09.10,"Suprvsn of preg with history of ectopic preg, unsp trimester"
5,O09.11,"Suprvsn of preg with history of ectopic preg, first tri"
6,O09.12,"Suprvsn of preg with history of ectopic preg, second tri"
7,O09.13,"Suprvsn of preg with history of ectopic preg, third tri"
8,O09.211,"Suprvsn of preg w history of preterm labor, first trimester"
9,O09.212,"Suprvsn of preg w history of preterm labor, second tri"
10,O09.213,"Suprvsn of preg w history of preterm labor, third trimester"
11,O09.219,"Suprvsn of preg w history of preterm labor, unsp trimester"
12,O09.291,"Suprvsn of preg w poor reprodctv or obstet hx, first tri"
13,O09.292,"Suprvsn of preg w poor reprodctv or obstet hx, second tri"
14,O09.293,"Suprvsn of preg w poor reprodctv or obstet hx, third tri"
15,O09.299,"Suprvsn of preg w poor reprodctv or obstet history, unsp tri"
16,O09.30,"Suprvsn of preg w insufficient antenat care, unsp trimester"
17,O09.31,"Suprvsn of preg w insufficient antenat care, first trimester"
18,O09.32,"Suprvsn of preg w insufficient antenat care, second tri"
19,O09.33,"Suprvsn of preg w insufficient antenat care, third trimester"
20,O09.40,"Supervision of pregnancy w grand multiparity, unsp trimester"
21,O09.41,"Suprvsn of pregnancy w grand multiparity, first trimester"
22,O09.42,"Suprvsn of pregnancy w grand multiparity, second trimester"
23,O09.43,"Suprvsn of pregnancy w grand multiparity, third trimester"
24,O09.511,"Supervision of elderly primigravida, first trimester"
25,O09.512,"Supervision of elderly primigravida, second trimester"
26,O09.513,"Supervision of elderly primigravida, third trimester"
27,O09.519,"Supervision of elderly primigravida, unspecified trimester"
28,O09.521,"Supervision of elderly multigravida, first trimester"
29,O09.522,"Supervision of elderly multigravida, second trimester"
30,O09.523,"Supervision of elderly multigravida, third trimester"
31,O09.529,"Supervision of elderly multigravida, unspecified trimester"
32,O09.611,"Supervision of young primigravida, first trimester"
33,O09.612,"Supervision of young primigravida, second trimester"
34,O09.613,"Supervision of young primigravida, third trimester"
35,O09.619,"Supervision of young primigravida, unspecified trimester"
36,O09.621,"Supervision of young multigravida, first trimester"
37,O09.622,"Supervision of young multigravida, second trimester"
38,O09.623,"Supervision of young multigravida, third trimester"
39,O09.629,"Supervision of young multigravida, unspecified trimester"
40,O09.70,"Suprvsn of high risk preg due to social problems, unsp tri"
41,O09.71,"Suprvsn of high risk preg due to social problems, first tri"
42,O09.72,"Suprvsn of high risk preg due to social problems, second tri"
43,O09.73,"Suprvsn of high risk preg due to social problems, third tri"
44,O09.811,"Suprvsn of preg rslt from assisted reprodctv tech, first tri"
45,O09.812,"Suprvsn of preg rslt from assist reprodctv tech, second tri"
46,O09.813,"Suprvsn of preg rslt from assisted reprodctv tech, third tri"
47,O09.819,"Suprvsn of preg rslt from assisted reprodctv tech, unsp tri"
48,O09.821,"Suprvsn of preg w hx of in utero proc dur prev preg, 1st tri"
49,O09.822,"Suprvsn of preg w hx of in utero proc dur prev preg, 2nd tri"
50,O09.823,"Suprvsn of preg w hx of in utero proc dur prev preg, 3rd tri"
51,O09.829,"Suprvsn of preg w hx of in utero proc dur prev preg,unsp tri"
52,O09.891,"Supervision of other high risk pregnancies, first trimester"
53,O09.892,"Supervision of other high risk pregnancies, second trimester"
54,O09.893,"Supervision of other high risk pregnancies, third trimester"
55,O09.899,"Supervision of other high risk pregnancies, unsp trimester"
56,O09.90,"Supervision of high risk pregnancy, unsp, unsp trimester"
57,O09.91,"Supervision of high risk pregnancy, unsp, first trimester"
58,O09.92,"Supervision of high risk pregnancy, unsp, second trimester"
59,O09.93,"Supervision of high risk pregnancy, unsp, third trimester"
60,O09.A0,"Suprvsn of preg with history of molar preg, unsp trimester"
61,O09.A1,"Suprvsn of preg with history of molar preg, first trimester"
62,O09.A2,"Suprvsn of preg with history of molar preg, second trimester"
63,O09.A3,"Suprvsn of preg with history of molar preg, third trimester"
