,Synonyms
0,['A/N care: H/O infertility']
1,[]
2,[]
3,[]
4,[]
5,[]
6,[]
7,[]
8,[]
9,[]
10,[]
11,"['High risk pregnancy', 'High risk pregnancy due to history of preterm labor']"
12,[]
13,[]
14,[]
15,"['A/N care: H/O perinatal death', 'A/N care: H/O stillbirth', 'A/N care: H/O trophoblastic disease', 'A/N care: obstetric risk', 'A/N care: obstetric risk', 'A/N care: obstetric risk', 'A/N care: obstetric risk', 'A/N care: poor obstetric history', 'Supervision of high risk pregnancy done', 'Supervision of high risk pregnancy done', 'Supervision of high risk pregnancy with history of gestational diabetes mellitus done', 'Supervision of high risk pregnancy with history of previous precipitate labor done']"
16,"['Antenatal care: poor antenatal attender', 'Concealed pregnancy', 'Finding related to risk factor in pregnancy', 'Finding related to risk factor in pregnancy', 'Insufficient prenatal care', 'Late entry into prenatal care', 'Late onset antenatal care', 'Parent craft classes']"
17,[]
18,[]
19,[]
20,"['Antenatal care: grand multiparity', 'Finding related to risk factor in pregnancy', 'Grand multip in labor', 'Grand multipara', 'Grand multiparity - delivered', 'Grand multiparity with antenatal problem', 'Mother delivered', 'Mother delivered', 'Mother delivered', 'Triplet pregnancy - delivered', 'Twin pregnancy - delivered']"
21,[]
22,[]
23,[]
24,[]
25,[]
26,[]
27,"['A/N care: elderly primiparous', 'Elderly primigravida', 'Elderly primigravida - delivered', 'Elderly primigravida with antenatal problem', 'Elderly primiparous with labor', 'Mother delivered', 'Primigravida']"
28,[]
29,[]
30,[]
31,"['A/N care: multiparous, older than 35 years', 'Advanced maternal age gravida', 'Multigravida of advanced maternal age']"
32,[]
33,[]
34,[]
35,"['Supervision of high risk pregnancy done', 'Supervision of high risk pregnancy for primigravida age 15 years or younger done']"
36,[]
37,[]
38,[]
39,"['Supervision of high risk pregnancy done', 'Supervision of high risk pregnancy for multigravida age 15 years or younger done', 'Supervision of high risk pregnancy for multigravida done']"
40,"['A/N care: H/O child abuse', 'A/N care: social risk', 'Antenatal care: poor home conditions', 'Finding related to risk factor in pregnancy', 'Supervision of high risk pregnancy done', 'Supervision of high risk pregnancy for social problem done']"
41,[]
42,[]
43,[]
44,[]
45,[]
46,[]
47,['IVF - in-vitro fertilization pregnancy']
48,[]
49,[]
50,[]
51,[]
52,[]
53,[]
54,[]
55,"['A/N care: obstetric risk', 'A/N care: precious pregnancy', 'A/N care: primiparous, older than 30 years', 'A/N care: uncertain dates', 'Advanced maternal age gravida', 'Cardiac disease in pregnancy', 'Supervision of high risk pregnancy done', 'Supervision of high risk pregnancy done', 'Supervision of high risk pregnancy with history of previous cesarean section done', 'Supervision of high risk pregnancy with history of previous molar pregnancy done']"
56,"['A/N care: gynecological risk', 'A/N care: medical risk', 'A/N care: obstetric risk', 'A/N risk factors', 'High risk pregnancy', 'Supervision of high risk pregnancy done', 'Supervision of high risk pregnancy for multigravida done']"
57,[]
58,[]
59,[]
60,[]
61,[]
62,[]
63,[]
