,category,condition
0,O20.0,Threatened abortion
1,O20.8,Other hemorrhage in early pregnancy
2,O20.9,"Hemorrhage in early pregnancy, unspecified"
3,O21.0,Mild hyperemesis gravidarum
4,O21.1,Hyperemesis gravidarum with metabolic disturbance
5,O21.2,Late vomiting of pregnancy
6,O21.8,Other vomiting complicating pregnancy
7,O21.9,"Vomiting of pregnancy, unspecified"
8,O22.00,"Varicose veins of low extrm in pregnancy, unsp trimester"
9,O22.01,"Varicose veins of low extrm in pregnancy, first trimester"
10,O22.02,"Varicose veins of low extrm in pregnancy, second trimester"
11,O22.03,"Varicose veins of low extrm in pregnancy, third trimester"
12,O22.10,"Genital varices in pregnancy, unspecified trimester"
13,O22.11,"Genital varices in pregnancy, first trimester"
14,O22.12,"Genital varices in pregnancy, second trimester"
15,O22.13,"Genital varices in pregnancy, third trimester"
16,O22.20,"Superficial thrombophlebitis in pregnancy, unsp trimester"
17,O22.21,"Superficial thrombophlebitis in pregnancy, first trimester"
18,O22.22,"Superficial thrombophlebitis in pregnancy, second trimester"
19,O22.23,"Superficial thrombophlebitis in pregnancy, third trimester"
20,O22.30,"Deep phlebothrombosis in pregnancy, unspecified trimester"
21,O22.31,"Deep phlebothrombosis in pregnancy, first trimester"
22,O22.32,"Deep phlebothrombosis in pregnancy, second trimester"
23,O22.33,"Deep phlebothrombosis in pregnancy, third trimester"
24,O22.40,"Hemorrhoids in pregnancy, unspecified trimester"
25,O22.41,"Hemorrhoids in pregnancy, first trimester"
26,O22.42,"Hemorrhoids in pregnancy, second trimester"
27,O22.43,"Hemorrhoids in pregnancy, third trimester"
28,O22.50,"Cerebral venous thrombosis in pregnancy, unsp trimester"
29,O22.51,"Cerebral venous thrombosis in pregnancy, first trimester"
30,O22.52,"Cerebral venous thrombosis in pregnancy, second trimester"
31,O22.53,"Cerebral venous thrombosis in pregnancy, third trimester"
32,O22.8X1,"Other venous complications in pregnancy, first trimester"
33,O22.8X2,"Other venous complications in pregnancy, second trimester"
34,O22.8X3,"Other venous complications in pregnancy, third trimester"
35,O22.8X9,"Other venous complications in pregnancy, unsp trimester"
36,O22.90,"Venous complication in pregnancy, unsp, unsp trimester"
37,O22.91,"Venous complication in pregnancy, unsp, first trimester"
38,O22.92,"Venous complication in pregnancy, unsp, second trimester"
39,O22.93,"Venous complication in pregnancy, unsp, third trimester"
40,O23.00,"Infections of kidney in pregnancy, unspecified trimester"
41,O23.01,"Infections of kidney in pregnancy, first trimester"
42,O23.02,"Infections of kidney in pregnancy, second trimester"
43,O23.03,"Infections of kidney in pregnancy, third trimester"
44,O23.10,"Infections of bladder in pregnancy, unspecified trimester"
45,O23.11,"Infections of bladder in pregnancy, first trimester"
46,O23.12,"Infections of bladder in pregnancy, second trimester"
