,category,condition
4,O94,"Sequelae of comp of pregnancy, chldbrth, and the puerperium"
5,O98.011,"Tuberculosis complicating pregnancy, first trimester"
6,O98.012,"Tuberculosis complicating pregnancy, second trimester"
7,O98.013,"Tuberculosis complicating pregnancy, third trimester"
8,O98.019,"Tuberculosis complicating pregnancy, unspecified trimester"
9,O98.02,Tuberculosis complicating childbirth
10,O98.03,Tuberculosis complicating the puerperium
11,O98.111,"Syphilis complicating pregnancy, first trimester"
12,O98.112,"Syphilis complicating pregnancy, second trimester"
13,O98.113,"Syphilis complicating pregnancy, third trimester"
14,O98.119,"Syphilis complicating pregnancy, unspecified trimester"
15,O98.12,Syphilis complicating childbirth
16,O98.13,Syphilis complicating the puerperium
17,O98.211,"Gonorrhea complicating pregnancy, first trimester"
18,O98.212,"Gonorrhea complicating pregnancy, second trimester"
19,O98.213,"Gonorrhea complicating pregnancy, third trimester"
20,O98.219,"Gonorrhea complicating pregnancy, unspecified trimester"
21,O98.22,Gonorrhea complicating childbirth
22,O98.23,Gonorrhea complicating the puerperium
23,O98.311,"Oth infect w sexl mode of transmiss comp preg, first tri"
24,O98.312,"Oth infect w sexl mode of transmiss comp preg, second tri"
25,O98.313,"Oth infect w sexl mode of transmiss comp preg, third tri"
26,O98.319,"Oth infect w sexl mode of transmiss comp preg, unsp tri"
27,O98.32,Oth infections w sexl mode of transmiss comp childbirth
28,O98.33,Oth infections w sexl mode of transmiss comp the puerperium
29,O98.411,"Viral hepatitis complicating pregnancy, first trimester"
30,O98.412,"Viral hepatitis complicating pregnancy, second trimester"
31,O98.413,"Viral hepatitis complicating pregnancy, third trimester"
32,O98.419,"Viral hepatitis complicating pregnancy, unsp trimester"
33,O98.42,Viral hepatitis complicating childbirth
34,O98.43,Viral hepatitis complicating the puerperium
35,O98.511,"Other viral diseases complicating pregnancy, first trimester"
36,O98.512,"Oth viral diseases complicating pregnancy, second trimester"
37,O98.513,"Other viral diseases complicating pregnancy, third trimester"
38,O98.519,"Other viral diseases complicating pregnancy, unsp trimester"
39,O98.52,Other viral diseases complicating childbirth
40,O98.53,Other viral diseases complicating the puerperium
