,Synonyms
4,"['Death from sequela of indirect maternal cause', 'Elderly primigravida', 'Elderly primigravida with antenatal problem', 'Indirect maternal death', 'Primigravida', 'Prolonged second stage of labor', 'Prolonged second stage with antenatal problem', 'Second degree perineal laceration', 'Second degree perineal tear during delivery with postnatal problem', 'Sequela of complication of pregnancy childbirth and the puerperium']"
5,[]
6,[]
7,[]
8,"['Maternal tuberculosis during pregnancy - baby not yet delivered', 'Maternal tuberculosis during pregnancy, childbirth and the puerperium', 'Tuberculosis in pregnancy', 'Tuberculosis in pregnancy, childbirth and the puerperium - delivered']"
9,"['Maternal tuberculosis during pregnancy, childbirth and the puerperium', 'Maternal tuberculosis during pregnancy, childbirth and the puerperium', 'Tuberculosis in mother complicating childbirth', 'Tuberculosis in pregnancy, childbirth and the puerperium - delivered']"
10,"['Maternal tuberculosis during pregnancy, childbirth and the puerperium', 'Maternal tuberculosis during pregnancy, childbirth and the puerperium', 'Maternal tuberculosis during pregnancy, childbirth and the puerperium', 'Maternal tuberculosis in the puerperium - baby delivered during current episode of care', 'Maternal tuberculosis in the puerperium - baby delivered during previous episode of care', 'Tuberculosis in pregnancy, childbirth and the puerperium - delivered']"
11,[]
12,[]
13,[]
14,"['Maternal syphilis during pregnancy - baby delivered', 'Maternal syphilis during pregnancy - baby not yet delivered', 'Maternal syphilis during pregnancy, childbirth and the puerperium']"
15,"['Maternal syphilis during pregnancy, childbirth and the puerperium', 'Maternal syphilis during pregnancy, childbirth and the puerperium', 'Syphilis in mother complicating childbirth']"
16,"['Maternal syphilis during pregnancy, childbirth and the puerperium', 'Maternal syphilis during pregnancy, childbirth and the puerperium', 'Maternal syphilis during pregnancy, childbirth and the puerperium', 'Maternal syphilis in the puerperium - baby delivered during current episode of care', 'Maternal syphilis in the puerperium - baby delivered during previous episode of care']"
17,[]
18,[]
19,[]
20,"['Maternal gonorrhea during pregnancy', 'Maternal gonorrhea during pregnancy - baby delivered', 'Maternal gonorrhea during pregnancy - baby not yet delivered', 'Maternal gonorrhea during pregnancy, childbirth and the puerperium']"
21,"['Gonorrhea in mother complicating childbirth', 'Maternal gonorrhea during pregnancy, childbirth and the puerperium', 'Maternal gonorrhea during pregnancy, childbirth and the puerperium', 'Sexually transmitted infectious disease in mother complicating childbirth']"
22,"['Maternal gonorrhea during pregnancy, childbirth and the puerperium', 'Maternal gonorrhea during pregnancy, childbirth and the puerperium', 'Maternal gonorrhea during pregnancy, childbirth and the puerperium', 'Maternal gonorrhea in the puerperium - baby delivered during current episode of care', 'Maternal gonorrhea in the puerperium - baby delivered during previous episode of care']"
23,[]
24,[]
25,[]
26,"['Condyloma acuminata of vulva', 'Condyloma acuminata of vulva in pregnancy', 'Condyloma acuminatum of the anogenital region', 'Genital herpes simplex in mother complicating pregnancy', 'Parasitic disease in mother complicating pregnancy, childbirth AND/OR puerperium', 'Protozoal disease complicating pregnancy childbirth and the puerperium', 'Trichomonal vaginitis', 'Trichomonal vaginitis in pregnancy', 'Urogenital infection by Trichomonas vaginalis', 'Vaginitis in pregnancy', 'Venereal disease in mother complicating pregnancy, childbirth AND/OR puerperium', 'Venereal disease in pregnancy', 'Viral disease of mother during pregnancy', 'Vulval warts']"
27,"['Genital herpes simplex in mother complicating childbirth', 'Sexually transmitted infectious disease in mother complicating childbirth', 'Venereal disease in mother complicating pregnancy, childbirth AND/OR puerperium']"
28,"['Venereal disease in mother complicating pregnancy, childbirth AND/OR puerperium']"
29,[]
30,[]
31,[]
32,"['Viral hepatitis complicating pregnancy, childbirth and the puerperium', 'Viral hepatitis in mother complicating pregnancy']"
33,"['Viral hepatitis complicating pregnancy, childbirth and the puerperium', 'Viral hepatitis complicating pregnancy, childbirth and the puerperium', 'Viral hepatitis in mother complicating childbirth']"
34,"['Viral hepatitis complicating pregnancy, childbirth and the puerperium']"
35,[]
36,[]
37,[]
38,"['Herpes in pregnancy', 'Maternal rubella during pregnancy - baby not yet delivered', 'Rubella in mother complicating pregnancy, childbirth AND/OR puerperium', 'Rubella in pregnancy', 'Viral disease in mother complicating pregnancy, childbirth AND/OR puerperium', 'Viral disease of mother during pregnancy', 'Viral disease of mother during pregnancy']"
39,"['Rubella in mother complicating childbirth', 'Rubella in mother complicating pregnancy, childbirth AND/OR puerperium', 'Viral disease in mother complicating childbirth', 'Viral disease in mother complicating pregnancy, childbirth AND/OR puerperium', 'Viral disease in mother complicating pregnancy, childbirth AND/OR puerperium']"
40,"['Maternal rubella in the puerperium - baby delivered during current episode of care', 'Maternal rubella in the puerperium - baby delivered during previous episode of care', 'Rubella in mother complicating pregnancy, childbirth AND/OR puerperium', 'Rubella in mother complicating pregnancy, childbirth AND/OR puerperium', 'Viral disease in mother complicating pregnancy, childbirth AND/OR puerperium']"
41,[]
42,[]
43,[]
