,Synonyms
0,"['Congenital rubella pneumonitis', 'Congenital rubella syndrome', 'Expanded rubella syndrome', 'Progressive congenital rubella encephalomyelitis', 'Rubella cataract', 'Rubella encephalitis', 'Rubella encephalitis', 'Rubella encephalomyelitis', 'Rubella infection of central nervous system', 'Rubella infection of central nervous system', 'Vascular myelopathy']"
1,"['Chronic congenital cytomegalic inclusion disease', 'Congenital cytomegalovirus infection', 'Congenital infection caused by Herpes virus', 'Fetal cytomegalovirus syndrome', 'Infectious disorder of the fetus']"
2,"['Congenital herpes simplex', 'Congenital infection caused by Herpes virus', 'Infections specific to perinatal period', 'Perinatal infection caused by Human herpes simplex virus']"
3,"['Congenital hepatitis A infection', 'Congenital hepatitis C infection', 'Congenital viral hepatitis', 'Congenital viral hepatitis B infection']"
4,"['Congenital infection caused by Zika virus', 'Zika virus disease']"
5,"['Congenital acquired immune deficiency syndrome', 'Congenital coxsackie infection', 'Congenital Epstein-Barr virus infection', 'Congenital human immunodeficiency virus infection', 'Congenital human immunodeficiency virus positive status syndrome', 'Congenital infection caused by enterovirus', 'Congenital infection caused by Herpes virus', 'Congenital infection caused by Herpes virus', 'Congenital parvoviral infection', 'Congenital varicella syndrome', 'Disease due to Parvoviridae', 'Disease due to Parvoviridae', 'Echovirus disease', 'Fetal parvovirus syndrome', 'Fetal varicella syndrome', 'Infections specific to perinatal period', 'Infectious disorder of the fetus', 'Infectious disorder of the fetus', 'Neonatal echovirus disease', 'Parvovirus infection', 'Parvovirus infection', 'Perinatal cardiovascular disorders', 'Perinatal skin and subcutaneous infections', 'Perinatal varicella', 'Varicella', 'Varicella', 'Vesicular eruption', 'Vesicular eruption']"
6,"['Acquired neutropenia', 'Acquired neutropenia in newborn', 'Congenital viral disease', 'Neutropenia', 'Transient neonatal neutropenia', 'Transient neonatal neutropenia due to congenital viral infection']"
7,"['Fetus or newborn infection caused by Streptococcus group B', 'Fetus or newborn infection caused by Streptococcus group B', 'Infantile streptococcal infection', 'Infections specific to perinatal period', 'Neonatal sepsis caused by Streptococcus', 'Neonatal streptococcal infection', 'Perinatal sepsis', 'Perinatal sepsis caused by Streptococcus agalactiae', 'Sepsis due to Streptococcus agalactiae', 'Sepsis due to Streptococcus agalactiae', 'Sepsis of newborn due to group B Streptococcus', 'Sepsis of newborn due to Streptococcus agalactiae', 'Septic shock co-occurrent with acute organ dysfunction due to Gram-positive coccus', 'Septic shock co-occurrent with acute organ dysfunction due to Group B streptococcus', 'Septic shock co-occurrent with acute organ dysfunction due to Streptococcus', 'Streptococcus group B infection of the infant']"
8,"['Infantile streptococcal infection', 'Neonatal sepsis caused by Streptococcus', 'Neonatal streptococcal infection', 'Sepsis caused by anaerobic streptococcus', 'Sepsis due to anaerobic bacteria', 'Sepsis due to Streptococcus', 'Septic shock co-occurrent with acute organ dysfunction due to Gram-positive coccus', 'Septic shock co-occurrent with acute organ dysfunction due to Streptococcus', 'Severe sepsis with acute organ dysfunction due to Streptococcus']"
9,"['Infantile streptococcal infection', 'Infectious disorder of the fetus', 'Intrauterine sepsis of fetus', 'Neonatal sepsis caused by Streptococcus', 'Neonatal streptococcal infection', 'Sepsis due to Streptococcus pyogenes', 'Sepsis due to Streptococcus pyogenes', 'Sepsis of fetus caused by Streptococcus pyogenes', 'Sepsis of neonate caused by Streptococcus pyogenes', 'Septic shock co-occurrent with acute organ dysfunction due to Gram-positive coccus', 'Septic shock co-occurrent with acute organ dysfunction due to Group A streptococcus', 'Septic shock co-occurrent with acute organ dysfunction due to Streptococcus', 'Severe sepsis with acute organ dysfunction due to Pneumococcus']"
10,"['Fetus or newborn infection caused by Staphylococcus aureus', 'Neonatal sepsis caused by Staphylococcus', 'Sepsis due to Staphylococcus', 'Sepsis due to Staphylococcus aureus', 'Sepsis of newborn due to Staphylococcus aureus', 'Severe sepsis with acute organ dysfunction due to methicillin resistant Staphylococcus aureus', 'Severe sepsis with acute organ dysfunction due to methicillin susceptible Staphylococcus aureus', 'Severe sepsis with acute organ dysfunction due to Staphylococcus']"
11,"['Neonatal sepsis caused by Staphylococcus', 'Sepsis due to Staphylococcus', 'Septic shock co-occurrent with acute organ dysfunction due to Gram-positive coccus', 'Septic shock co-occurrent with acute organ dysfunction due to Staphylococcus']"
12,"['Septic shock co-occurrent with acute organ dysfunction due to coagulase-negative Staphylococcus', 'Septic shock co-occurrent with acute organ dysfunction due to Gram-positive coccus', 'Septic shock co-occurrent with acute organ dysfunction due to Staphylococcus', 'Severe sepsis with acute organ dysfunction due to coagulase negative Staphylococcus']"
13,"['Fetus or newborn infection caused by Escherichia coli', 'Fetus or newborn infection caused by Escherichia coli', 'Infections specific to perinatal period', 'Neonatal colibacillosis', 'Perinatal sepsis', 'Perinatal sepsis caused by Escherichia coli', 'Sepsis due to Escherichia coli', 'Sepsis due to Escherichia coli', 'Sepsis of newborn due to Escherichia coli']"
14,"['Fetus or newborn infection caused by Anaerobic bacterium', 'Peptostreptococcus infection', 'Sepsis caused by Peptostreptococcus', 'Sepsis due to anaerobic bacteria', 'Sepsis due to anaerobic bacteria', 'Sepsis of newborn due to anaerobes', 'Severe sepsis with acute organ dysfunction due to anaerobic bacteria']"
