,Synonyms
0,"['Abnormal fetus', 'Acardia', 'Acephalobrachius', 'Acephalocheiria', 'Acephaly', 'Acrania', 'Amyelencephalus', 'Anencephalus', 'Anencephaly without rachischisis', 'Congenital brain aplasia', 'Fetal anencephaly', 'Frog fetus', 'Hemianencephaly', 'Hemicephaly', 'Holoacardius acephalus', 'Holoanencephaly', 'Incomplete anencephaly', 'Parasitic twin of asymmetrical conjoined twins']"
1,['Craniorachischisis']
2,"['Congenital malposition of cervical vertebra', 'Craniorachischisis', 'Iniencephaly', 'Iniencephaly - closed', 'Iniencephaly - open']"
3,['Frontal encephalocele']
4,"['Congenital cleft nose', 'Frontoethmoidal encephalocele', 'Nasal encephalocele', 'Nasofrontal encephalocele', 'Nasopharyngeal encephalocele']"
5,"['Brain stem herniation', 'Chiari malformation', 'Chiari malformation type III', 'Lethal occipital encephalocele, skeletal dysplasia syndrome', 'Occipital encephalocele', 'Occipital encephalocele', 'Occipital meningocele', 'Retinal detachment and occipital encephalocele']"
6,"['Congenital endaural hernia', 'Encephalocele of orbit', 'Encephalocele of vertex', 'Parietal encephalocele', 'Temporal encephalocele']"
7,"['Congenital cerebral hernia', 'Congenital cerebral meningocele', 'Cranial hydromeningocele', 'Encephalocele', 'Encephalocystocele', 'Encephalomyelocele', 'Hydrencephalomeningocele', 'Hydromeningocele', 'Hydromeningocele', 'Meningocele - cerebral', 'Meningocele - cranial', 'Meningoencephalocele', 'Podencephalus', 'Sinus pericranii']"
8,[]
9,"['Achalasia microcephaly syndrome', 'Achalasia of esophagus', 'Agammaglobulinemia, microcephaly, craniosynostosis, severe dermatitis syndrome', 'Amish lethal microcephaly', 'Anonychia', 'Anonychia with microcephaly syndrome', 'Aphalangy and syndactyly with microcephaly syndrome', 'Autosomal dominant primary microcephaly', 'Autosomal recessive chorioretinopathy and microcephaly syndrome', 'Autosomal recessive primary microcephaly', 'Bilateral congenital cataract of eyes', 'Cleft palate, large ears, small head syndrome', 'Colobomatous microphthalmia', 'Congenital achalasia of esophagus', 'Congenital cataract of left eye', 'Congenital cataract of right eye', 'Congenital conduction defect', 'Congenital hypoplasia of brain', 'Congenital intrauterine infection-like syndrome', 'Congenital kyphoscoliosis', 'Congenital nephritis', 'Congenital porencephaly', 'Congenital prognathism', 'Epilepsy, microcephaly, skeletal dysplasia syndrome', 'Epiphyseal dysplasia, microcephalus, nystagmus syndrome', 'Extrasystoles, short stature, hyperpigmentation, microcephaly syndrome', 'Feingold syndrome', 'Fetal microcephaly', 'Galloway Mowat syndrome', 'Goldberg Shprintzen megacolon syndrome', 'Hadziselimovic syndrome', 'Hereditary cerebellar atrophy', 'Hydromicrocephaly', 'Hypernatremia', 'Hypogonadotropic hypogonadism, severe microcephaly, sensorineural hearing loss, dysmorphism syndrome', 'Infantile cerebral and cerebellar atrophy with postnatal progressive microcephaly', 'Intellectual disability, feeding difficulties, developmental delay, microcephaly syndrome', 'Kawashima Tsuji syndrome', 'MacDermot Winter syndrome', 'Macrotia', 'Mandibulofacial dysostosis with microcephaly', 'Marfanoid physique', 'MEHMO syndrome', 'Microcephalic osteodysplastic dysplasia Saul Wilson type', 'Microcephalic osteodysplastic primordial dwarfism types I and III', 'Microcephalic primordial dwarfism Alazami type', 'Microcephalic primordial dwarfism Dauber type', 'Microcephalic primordial dwarfism due to ZNF335 deficiency', 'Microcephalic primordial dwarfism Toriello type', 'Microcephalus', 'Microcephalus cardiomyopathy syndrome', 'Microcephalus cleft palate syndrome', 'Microcephalus with albinism and digital anomaly syndrome', 'Microcephalus with brachydactyly and kyphoscoliosis syndrome', 'Microcephalus with cardiac defect and lung malsegmentation syndrome', 'Microcephalus, brain defect, spasticity, hypernatremia syndrome', 'Microcephalus, cerebellar hypoplasia, cardiac conduction defect syndrome', 'Microcephalus, complex motor and sensory axonal neuropathy syndrome', 'Microcephalus, glomerulonephritis, marfanoid habitus syndrome', 'Microcephalus, hypergonadotropic hypogonadism, short stature syndrome', 'Microcephalus, lymphedema, chorioretinopathy syndrome', 'Microcephaly with cervical spine fusion anomaly', 'Microcephaly, hypogammaglobulinemia, abnormal immunity syndrome', 'Microcephaly, normal intelligence and immunodeficiency', 'Microcephaly, polymicrogyria, corpus callosum agenesis syndrome', 'Microcephaly, seizure, intellectual disability, heart disease syndrome', 'Microcephaly, short stature, intellectual disability, facial dysmorphism syndrome', 'Microcephaly, thin corpus callosum, intellectual disability syndrome', 'Microcephaly-capillary malformation syndrome', 'Microcornea', 'Microgyria', 'MMEP syndrome', 'Mowat-Wilson syndrome', 'Neonatal encephalopathy', 'Nijmegen breakage syndrome-like disorder', 'Osteodysplastic primordial dwarfism', 'Osteodysplastic primordial dwarfism', 'Osteogenesis imperfecta, perinatal lethal', 'Osteogenesis imperfecta, recessive perinatal lethal, with microcephaly AND cataracts', 'Osteoplastic dysplasia', 'Porencephaly, microcephaly, bilateral congenital cataract syndrome', 'Radioulnar synostosis with microcephaly and scoliosis syndrome', 'Secondary microcephaly', 'Seemanova Lesny syndrome', 'Severe combined immunodeficiency with low T- and B-cell numbers', 'Severe combined immunodeficiency, microcephaly, growth retardation, sensitivity to ionizing radiation syndrome', 'Severe feeding difficulties, failure to thrive, microcephaly due to ASXL3 deficiency syndrome', 'Severe intellectual disability', 'Severe intellectual disability, progressive postnatal microcephaly, midline stereotypic hand movements syndrome', 'Severe neonatal onset encephalopathy with microcephaly', 'Sporadic fetal brain disruption sequence', 'Steroid-resistant nephrotic syndrome', 'THOC6-related developmental delay-microcephaly-facial dysmorphism syndrome', 'Ventricular premature beats', 'X-linked colobomatous microphthalmia, microcephaly, intellectual disability, short stature syndrome']"
10,"['Aqueduct of Sylvius anomaly', 'Atresia of aqueduct of Sylvius', 'Congenital obstruction of aqueduct of Sylvius', 'Congenital stenosis of aqueduct of Sylvius', 'Hydrocephalus associated with congenital aqueduct stenosis', 'Hydrocephalus with anomaly of aqueduct of Sylvius', 'Spina bifida with stenosis of aqueduct of Sylvius']"
11,"['Congenital anterior polar cataract', 'Congenital atresia of foramen of Luschka', 'Congenital atresia of foramen of Magendie', 'Congenital polar cataract', 'Craniosynostosis with Dandy-Walker malformation and hydrocephalus syndrome', 'Dandy-Walker malformation with postaxial polydactyly syndrome', 'Dandy-Walker syndrome', 'Dandy-Walker syndrome', 'Dandy-Walker syndrome', 'Dandy-Walker syndrome', 'Facial dysmorphism, macrocephaly, myopia, Dandy-Walker malformation syndrome', 'Spinal muscular atrophy, Dandy-Walker malformation, cataract syndrome']"
12,[]
13,"['Abnormal blue sclerae', 'Agenesis of cerebellum', 'Aqueduct of Sylvius anomaly', 'Arrested hydrocephalus', 'Beemer Ertbruggen syndrome', 'Central obesity', 'Cerebellum agenesis with hydrocephaly', 'Cerebral degeneration due to congenital hydrocephalus', 'Congenital anomaly of sclera', 'Congenital elevation of scapula', 'Congenital hydrocephalus', 'Congenital hypoplasia of cerebrum', 'Congenital kyphosis', 'Congenital kyphosis of thoracic spine', 'Congenital obstructive hydrocephalus', 'Congenital stenosis of aqueduct of Sylvius', 'Craniosynostosis with Dandy-Walker malformation and hydrocephalus syndrome', 'Dandy-Walker syndrome', 'Disorder of endocardium and heart valve', 'Endocardial fibroelastosis', 'External hydrocephalus', 'Game Friedman Paradice syndrome', 'Hereditary degenerative disease of central nervous system', 'Hydrocephalus', 'Hydrocephalus associated with congenital aqueduct stenosis', 'Hydrocephalus with endocardial fibroelastosis and cataract syndrome', 'Hydrocephalus with obesity and hypogonadism syndrome', 'Hydrocephalus, blue sclera, nephropathy syndrome', 'Hydrocephalus, costovertebral dysplasia, Sprengel anomaly syndrome', 'Hydrocephalus, tall stature, joint laxity syndrome', 'Hypoplasia of corpus callosum', 'Internal hydrocephalus', 'Kyphosis of thoracic spine', 'L1 syndrome', 'Macroencephaly', 'Megalencephaly, polymicrogyria, postaxial polydactyly, hydrocephalus syndrome', 'Microgyria', 'Obstructive hydrocephalus', 'VACTERL syndrome with hydrocephalus', 'X-linked hydrocephalus syndrome']"
