,category,condition
0,Q65.00,"Congenital dislocation of unspecified hip, unilateral"
1,Q65.01,"Congenital dislocation of right hip, unilateral"
2,Q65.02,"Congenital dislocation of left hip, unilateral"
3,Q65.1,"Congenital dislocation of hip, bilateral"
4,Q65.2,"Congenital dislocation of hip, unspecified"
5,Q65.30,"Congenital partial dislocation of unsp hip, unilateral"
6,Q65.31,"Congenital partial dislocation of right hip, unilateral"
7,Q65.32,"Congenital partial dislocation of left hip, unilateral"
8,Q65.4,"Congenital partial dislocation of hip, bilateral"
9,Q65.5,"Congenital partial dislocation of hip, unspecified"
10,Q65.6,Congenital unstable hip
11,Q65.81,Congenital coxa valga
12,Q65.82,Congenital coxa vara
13,Q65.89,Other specified congenital deformities of hip
14,Q65.9,"Congenital deformity of hip, unspecified"
15,Q66.00,"Congenital talipes equinovarus, unspecified foot  NEW CODE"
16,Q66.01,"Congenital talipes equinovarus, right foot  NEW CODE"
17,Q66.02,"Congenital talipes equinovarus, left foot  NEW CODE"
18,Q66.10,"Congenital talipes calcaneovarus, unspecified foot  NEW CODE"
19,Q66.11,"Congenital talipes calcaneovarus, right foot  NEW CODE"
20,Q66.12,"Congenital talipes calcaneovarus, left foot  NEW CODE"
21,Q66.211,"Congenital metatarsus primus varus, right foot  NEW CODE"
22,Q66.212,"Congenital metatarsus primus varus, left foot  NEW CODE"
23,Q66.219,"Congenital metatarsus primus varus, unspecified foot  NEW CODE"
24,Q66.221,"Congenital metatarsus adductus, right foot  NEW CODE"
25,Q66.222,"Congenital metatarsus adductus, left foot  NEW CODE"
26,Q66.229,"Congenital metatarsus adductus, unspecified foot  NEW CODE"
27,Q66.30,"Other congenital varus deformities of feet, unspecified foot  NEW CODE"
28,Q66.31,"Other congenital varus deformities of feet, right foot  NEW CODE"
29,Q66.32,"Other congenital varus deformities of feet, left foot  NEW CODE"
30,Q66.40,"Congenital talipes calcaneovalgus, unspecified foot  NEW CODE"
31,Q66.41,"Congenital talipes calcaneovalgus, right foot  NEW CODE"
32,Q66.42,"Congenital talipes calcaneovalgus, left foot  NEW CODE"
33,Q66.50,"Congenital pes planus, unspecified foot"
34,Q66.51,"Congenital pes planus, right foot"
35,Q66.52,"Congenital pes planus, left foot"
36,Q66.6,Other congenital valgus deformities of feet
37,Q66.70,"Congenital pes cavus, unspecified foot  NEW CODE"
38,Q66.71,"Congenital pes cavus, right foot  NEW CODE"
39,Q66.72,"Congenital pes cavus, left foot  NEW CODE"
40,Q66.80,"Congenital vertical talus deformity, unspecified foot"
41,Q66.81,"Congenital vertical talus deformity, right foot"
42,Q66.82,"Congenital vertical talus deformity, left foot"
43,Q66.89,Other specified congenital deformities of feet
