,category,condition
0,Q00.0,Anencephaly
1,Q00.1,Craniorachischisis
2,Q00.2,Iniencephaly
3,Q01.0,Frontal encephalocele
4,Q01.1,Nasofrontal encephalocele
5,Q01.2,Occipital encephalocele
6,Q01.8,Encephalocele of other sites
7,Q01.9,"Encephalocele, unspecified"
8,Microcephaly (Q02),Q02  Microcephaly
9,Q02,Microcephaly
10,Q03.0,Malformations of aqueduct of Sylvius
11,Q03.1,Atresia of foramina of Magendie and Luschka
12,Q03.8,Other congenital hydrocephalus
13,Q03.9,"Congenital hydrocephalus, unspecified"
14,Q04.0,Congenital malformations of corpus callosum
15,Q04.1,Arhinencephaly
16,Q04.2,Holoprosencephaly
17,Q04.3,Other reduction deformities of brain
18,Q04.4,Septooptic dysplasia of brain
19,Q04.5,Megalencephaly
20,Q04.6,Congenital cerebral cysts
21,Q04.8,Other specified congenital malformations of brain
22,Q04.9,"Congenital malformation of brain, unspecified"
23,Q05.0,Cervical spina bifida with hydrocephalus
24,Q05.1,Thoracic spina bifida with hydrocephalus
25,Q05.2,Lumbar spina bifida with hydrocephalus
26,Q05.3,Sacral spina bifida with hydrocephalus
27,Q05.4,Unspecified spina bifida with hydrocephalus
28,Q05.5,Cervical spina bifida without hydrocephalus
29,Q05.6,Thoracic spina bifida without hydrocephalus
30,Q05.7,Lumbar spina bifida without hydrocephalus
31,Q05.8,Sacral spina bifida without hydrocephalus
32,Q05.9,"Spina bifida, unspecified"
33,Q06.0,Amyelia
34,Q06.1,Hypoplasia and dysplasia of spinal cord
35,Q06.2,Diastematomyelia
36,Q06.3,Other congenital cauda equina malformations
37,Q06.4,Hydromyelia
38,Q06.8,Other specified congenital malformations of spinal cord
39,Q06.9,"Congenital malformation of spinal cord, unspecified"
40,Q07.00,ArnoldChiari syndrome without spina bifida or hydrocephalus
41,Q07.01,ArnoldChiari syndrome with spina bifida
42,Q07.02,ArnoldChiari syndrome with hydrocephalus
43,Q07.03,ArnoldChiari syndrome with spina bifida and hydrocephalus
44,Q07.8,Other specified congenital malformations of nervous system
45,Q07.9,"Congenital malformation of nervous system, unspecified"
