,Synonyms
0,"['Abnormal pulse rate', 'Irregular tachycardia', 'O/E - pulse borderline fast', 'O/E - pulse rate', 'O/E - pulse rate', 'O/E - pulse rate', 'O/E - pulse rate tachycardia', 'O/E - pulse rate very fast', 'Pacemaker re-entrant tachycardia', 'Pulse fast', 'Reflex tachycardia', 'Sinoatrial node tachycardia', 'Sinus tachycardia', 'Tachyarrhythmia', 'Tachycardia', 'Tachycardia-induced cardiomyopathy']"
1,"['Abnormal pulse rate', 'Bradycardia', 'Bradycardic cardiac arrest', 'Drug-induced bradycardia', 'O/E - pulse borderline slow', 'O/E - pulse rate', 'O/E - pulse rate', 'O/E - pulse rate', 'O/E - pulse rate - bradycardia', 'O/E - pulse rate very slow', 'Persistent sinus bradycardia', 'Pulse slow', 'Reflex bradycardia', 'Severe sinus bradycardia', 'Sinus bradycardia', 'Symptomatic sinus bradycardia', 'Vagal autonomic bradycardia', 'Vagal autonomic bradycardia of prematurity']"
2,"['Awareness of heart beat', 'Bumping heart', 'Finding related to awareness of heart beat', 'Fluttering heart', 'Intermittent palpitations', 'Palpitations', 'Palpitations - rapid', 'Palpitations with regular rhythm', 'Pounding heart']"
3,"['Abnormal foot pulse', 'Abnormal heart beat', 'Absent heart beat', 'Alternating pulse volume - finding', 'Apex beat displaced', 'Apex beat displaced - LVH', 'Apex beat displaced - RVH', 'Apex beat not palpable', 'Bigeminal pulse', 'Bounding pulse', 'Character of apex beat - finding', 'Character of apex beat - finding', 'Character of apex beat - finding', 'Collapsing pulse', 'Continuous cardiac thrill', 'Dorsalis pedis pulse monophasic', 'Dropped beats - pulse', 'Escape beat', 'Feeble apex beat', 'Fetal heart rate absent', 'Finding of regularity of heart rhythm', 'Fusion beat', 'Gallop rhythm', 'Irregular heart beat', 'O/E - apex beat feeble', 'O/E - apex beat thrusting', 'O/E - cardiac thrill', 'O/E - gallop rhythm present', 'O/E - irregular pulse', 'O/E - plateau pulse', 'O/E - pulse character', 'O/E - pulse rhythm', 'O/E -continuous cardiac thrill', 'O/E -pulse regularly irregular', 'On examination - pulse irregularly irregular', 'Plateau pulse', 'Position of apex beat - finding', 'Pulse irregular', 'Pulse irregularly irregular', 'Pulse regularly irregular', 'Pulse volume - finding', 'Pulse volume - finding', 'Pulse volume - finding', 'Pulsus alternans', 'Pulsus paradoxus', 'Pulsus trigeminus', 'Reciprocal rhythm', 'Regular intermission in pulse', 'Thrusting apex beat', 'Tricrotic pulse', 'Visible prominence of apex beat']"
4,"['Abnormal cardiac rate', 'Abnormal fetal heart beat, not clear if noted before OR after onset of labor in liveborn infant', 'Abnormal fetal heart rate', 'Abnormal heart beat', 'Abnormal pulse rate', 'Abnormal radial pulse', 'Alteration in heart rate', 'Finding of regularity of heart rhythm', 'Unable to achieve target heart rate']"
5,"['Functional heart murmur', 'Neonatal innocent cardiac murmur', 'O/E -functional cardiac murmur', 'Venous hum']"
6,"['Aortic diastolic murmur', 'Aortic ejection murmur', 'Aortic murmur', 'Apical diastolic thrill', 'Atrial septal defect murmur', 'Basal systolic thrill', 'Cardiac murmur, intensity grade I/VI', 'Cardiac murmur, intensity grade II/VI', 'Cardiac murmur, intensity grade III/VI', 'Cardiac murmur, intensity grade IV/VI', 'Cardiac murmur, intensity grade V/VI', 'Cardiac murmur, intensity grade VI/VI', 'Continuous murmur', 'Crescendo cardiac murmur', 'Decrescendo cardiac murmur', 'Diastolic cardiac thrill', 'Diastolic cardiac thrill', 'Diastolic murmur', 'Diastolic tricuspid flow murmur', 'Early diastolic murmur', 'Early systolic murmur', 'Ejection murmur', 'Heart murmur', 'Heart murmur configuration, crescendo-decrescendo', 'Heart murmur configuration, variable ', 'Heart murmur duration, long', 'Heart murmur duration, short', 'Heart murmur in mother in childbirth', 'Heart murmur pitch, high', 'Heart murmur pitch, impure  frequency', 'Heart murmur pitch, low', 'Heart murmur pitch, medium', 'Heart murmur pitch, pure frequency', 'Heart murmur quality, blowing', 'Heart murmur quality, buzzing', 'Heart murmur quality, grating', 'Heart murmur quality, harsh', 'Heart murmur quality, humming', 'Heart murmur quality, musical', 'Heart murmur quality, rasping', 'Heart murmur quality, roaring', 'Heart murmur quality, rumbling', 'Heart murmur quality, scratchy', 'Heart murmur quality, squeaking', 'Heart murmur quality, twanging', 'Heart murmur quality, vibratory', 'Heart murmur, categorized by configuration', 'Heart murmur, categorized by duration', 'Heart murmur, categorized by intensity', 'Heart murmur, categorized by pitch', 'Heart murmur, categorized by quality', 'Heart murmur, categorized by timing', 'Heart murmur, undetermined whether functional or organic', 'Holodiastolic murmur', 'Late diastolic murmur', 'Late systolic murmur', 'Left parasternal pansystolic murmur', 'Machinery murmur', 'Mid-diastolic mitral murmur', 'Mid-diastolic murmur', 'Mid-diastolic tricuspid murmur', 'Mid-systolic murmur', 'Mitral late systolic murmur', 'Mitral pansystolic murmur', 'Murmur', 'O/E - aortic diastolic murmur', 'O/E - aortic murmur', 'O/E - aortic systolic murmur', 'O/E - cardiac murmur', 'O/E - cardiac thrill', 'O/E - cardiac thrill', 'O/E - diastolic cardiac thrill', 'O/E - diastolic murmur', 'O/E - diastolic murmur at apex', 'O/E - machinery murmur', 'O/E - pulmonary murmur', 'O/E - systolic cardiac thrill', 'O/E - systolic murmur', 'O/E - systolic murmur at apex', 'O/E - tricuspid murmur', 'O/E -pulmonary systolic murmur', 'O/E-pulmonary diastolic murmur', 'Organic heart murmur', 'Pansystolic murmur', 'Plateau cardiac murmur', 'Presystolic mitral murmur', 'Presystolic murmur', 'Presystolic tricuspid murmur', 'Pulmonary diastolic murmur', 'Pulmonary ejection murmur', 'Shunt murmur', 'Soft systolic murmur', 'Systolic cardiac thrill', 'Systolic cardiac thrill', 'Systolic flow murmur', 'Systolic murmur', 'To-and-fro murmur', 'Tricuspid inspiratory pansystolic murmur']"
7,"['Abnormal first heart sound, S>1<', 'Abnormal fourth heart sound, S>4<', 'Abnormal second heart sound, S>2<', 'Abnormal third heart sound, S>3<', 'Absent second heart sound, S>2<', 'Accentuated split of second heart sound, S>2<', 'Added heart sounds', 'Aortic ejection sound', 'Atrial sound', 'Cardiac dullness to percussion diminished', 'Cardiac dullness to percussion increased', 'Cardiac thrill', 'Closing click of prosthetic valve', 'Continuous cardiac thrill', 'Diastolic cardiac thrill', 'Diastolic rumble', 'Diminished split of second heart sound, S>2<', 'Early high pitched third sound', 'Early opening snap', 'Ejection click', 'Finding of first heart sound', 'Finding of first heart sound', 'Finding of first heart sound', 'Finding of first heart sound', 'Finding of first heart sound', 'Finding of first heart sound', 'Finding related to cardiac dullness to percussion', 'Finding related to cardiac dullness to percussion', 'First heart sound split', 'Fixed split of second heart sound', 'Fourth heart sound, S>4<, inaudible', 'Fourth sound gallop', 'Fremitus', 'Gallop rhythm', 'Gallop rhythm', 'Gallop rhythm', 'Gallop rhythm', ""Hamman's sign"", 'Heart sound inaudible', 'Heart sound volume variable', 'Heart sounds abnormal', 'Heart sounds different', 'Heart sounds diminished', 'Heart sounds exaggerated', 'Loud first heart sound', 'Mid-systolic click', 'Multiple non-ejection systolic clicks', 'O/E - 1st heart sound split', 'O/E - 2nd heart sound split', 'O/E - cardiac thrill', 'O/E - ejection click heard', 'O/E - heart', 'O/E - heart sounds', 'O/E - heart sounds diminished', 'O/E - heart sounds exaggerated', 'O/E - opening snap heard', 'O/E - third heart sound', 'Opening click of prosthetic valve', 'Opening snap', 'Palpable mitral first sound', 'Pericardial knock', 'Physiological split of second heart sound', 'Precordial friction', 'Prosthetic valve sound', 'Prosthetic valve sound', 'Prosthetic valve sound', 'Prosthetic valve sound', 'Prosthetic valve sound muffled', 'Protodiastolic gallop', 'Pulmonic ejection sound', 'Reduced intensity of first heart sound, S>1<', 'Reverse split of second heart sound', 'Reversed split of first heart sound, S>1<', 'Second heart sound split', 'Single non-ejection systolic click', 'Splitting of heart sounds', 'Summation gallop', 'Systolic cardiac thrill', 'Systolic ejection sound', 'Third heart sound', 'Third heart sound inaudible', 'Third sound gallop', 'Thrill', 'Upper sternal shock', 'Volume of heart sounds - finding', 'Volume of heart sounds - finding', 'Volume of heart sounds - finding', 'Volume of heart sounds - finding', 'Widened split of first heart sound, S>1<']"
8,"['Abnormal jugular venous pressure', 'Borderline blood pressure', 'Elevated blood pressure', 'Elevated blood-pressure reading without diagnosis of hypertension', 'Increased central venous pressure', 'Increased diastolic arterial pressure', 'Increased mean arterial pressure', 'Increased systolic arterial pressure', 'Increased venous pressure', 'O/E - BP borderline raised', 'O/E - BP reading raised', 'O/E - BP reading very high', 'O/E - check high BP', 'O/E - initial high BP', 'Prehypertension']"
9,"['Decreased blood pressure, not hypotension', 'Decreased diastolic arterial pressure', 'Decreased mean arterial pressure', 'Decreased systolic arterial pressure', 'Low blood pressure reading', 'O/E - blood pressure decreased', 'O/E - BP borderline low', 'O/E - BP reading low', 'O/E - BP reading very low']"
