,category,condition
0,R20.0,Anesthesia of skin
1,R20.1,Hypoesthesia of skin
2,R20.2,Paresthesia of skin
3,R20.3,Hyperesthesia
4,R20.8,Other disturbances of skin sensation
5,R20.9,Unspecified disturbances of skin sensation
6,Rash and other nonspecific skin eruption (R21),R21  Rash and other nonspecific skin eruption
7,R21,Rash and other nonspecific skin eruption
8,R22.0,"Localized swelling, mass and lump, head"
9,R22.1,"Localized swelling, mass and lump, neck"
10,R22.2,"Localized swelling, mass and lump, trunk"
11,R22.30,"Localized swelling, mass and lump, unspecified upper limb"
12,R22.31,"Localized swelling, mass and lump, right upper limb"
13,R22.32,"Localized swelling, mass and lump, left upper limb"
14,R22.33,"Localized swelling, mass and lump, upper limb, bilateral"
15,R22.40,"Localized swelling, mass and lump, unspecified lower limb"
16,R22.41,"Localized swelling, mass and lump, right lower limb"
17,R22.42,"Localized swelling, mass and lump, left lower limb"
18,R22.43,"Localized swelling, mass and lump, lower limb, bilateral"
19,R22.9,"Localized swelling, mass and lump, unspecified"
20,R23.0,Cyanosis
21,R23.1,Pallor
22,R23.2,Flushing
23,R23.3,Spontaneous ecchymoses
24,R23.4,Changes in skin texture
25,R23.8,Other skin changes
26,R23.9,Unspecified skin changes
