,category,condition
0,S30.0XXA,"Contusion of lower back and pelvis, initial encounter"
1,S30.0XXD,"Contusion of lower back and pelvis, subsequent encounter"
2,S30.0XXS,"Contusion of lower back and pelvis, sequela"
3,S30.1XXA,"Contusion of abdominal wall, initial encounter"
4,S30.1XXD,"Contusion of abdominal wall, subsequent encounter"
5,S30.1XXS,"Contusion of abdominal wall, sequela"
6,S30.201A,"Contusion of unsp external genital organ, male, init encntr"
7,S30.201D,"Contusion of unsp external genital organ, male, subs encntr"
8,S30.201S,"Contusion of unsp external genital organ, male, sequela"
9,S30.202A,"Contusion of unsp external genital organ, female, init"
10,S30.202D,"Contusion of unsp external genital organ, female, subs"
11,S30.202S,"Contusion of unsp external genital organ, female, sequela"
12,S30.21XA,"Contusion of penis, initial encounter"
13,S30.21XD,"Contusion of penis, subsequent encounter"
14,S30.21XS,"Contusion of penis, sequela"
15,S30.22XA,"Contusion of scrotum and testes, initial encounter"
16,S30.22XD,"Contusion of scrotum and testes, subsequent encounter"
17,S30.22XS,"Contusion of scrotum and testes, sequela"
18,S30.23XA,"Contusion of vagina and vulva, initial encounter"
19,S30.23XD,"Contusion of vagina and vulva, subsequent encounter"
20,S30.23XS,"Contusion of vagina and vulva, sequela"
21,S30.3XXA,"Contusion of anus, initial encounter"
22,S30.3XXD,"Contusion of anus, subsequent encounter"
23,S30.3XXS,"Contusion of anus, sequela"
24,S30.810A,"Abrasion of lower back and pelvis, initial encounter"
25,S30.810D,"Abrasion of lower back and pelvis, subsequent encounter"
26,S30.810S,"Abrasion of lower back and pelvis, sequela"
27,S30.811A,"Abrasion of abdominal wall, initial encounter"
28,S30.811D,"Abrasion of abdominal wall, subsequent encounter"
29,S30.811S,"Abrasion of abdominal wall, sequela"
30,S30.812A,"Abrasion of penis, initial encounter"
31,S30.812D,"Abrasion of penis, subsequent encounter"
32,S30.812S,"Abrasion of penis, sequela"
33,S30.813A,"Abrasion of scrotum and testes, initial encounter"
34,S30.813D,"Abrasion of scrotum and testes, subsequent encounter"
35,S30.813S,"Abrasion of scrotum and testes, sequela"
36,S30.814A,"Abrasion of vagina and vulva, initial encounter"
37,S30.814D,"Abrasion of vagina and vulva, subsequent encounter"
38,S30.814S,"Abrasion of vagina and vulva, sequela"
39,S30.815A,"Abrasion of unsp external genital organs, male, init encntr"
40,S30.815D,"Abrasion of unsp external genital organs, male, subs encntr"
41,S30.815S,"Abrasion of unsp external genital organs, male, sequela"
42,S30.816A,"Abrasion of unsp external genital organs, female, init"
43,S30.816D,"Abrasion of unsp external genital organs, female, subs"
44,S30.816S,"Abrasion of unsp external genital organs, female, sequela"
45,S30.817A,"Abrasion of anus, initial encounter"
46,S30.817D,"Abrasion of anus, subsequent encounter"
47,S30.817S,"Abrasion of anus, sequela"
48,S30.820A,"Blister (nonthermal) of lower back and pelvis, init encntr"
49,S30.820D,"Blister (nonthermal) of lower back and pelvis, subs encntr"
50,S30.820S,"Blister (nonthermal) of lower back and pelvis, sequela"
51,S30.821A,"Blister (nonthermal) of abdominal wall, initial encounter"
52,S30.821D,"Blister (nonthermal) of abdominal wall, subsequent encounter"
53,S30.821S,"Blister (nonthermal) of abdominal wall, sequela"
54,S30.822A,"Blister (nonthermal) of penis, initial encounter"
55,S30.822D,"Blister (nonthermal) of penis, subsequent encounter"
56,S30.822S,"Blister (nonthermal) of penis, sequela"
57,S30.823A,"Blister (nonthermal) of scrotum and testes, init encntr"
58,S30.823D,"Blister (nonthermal) of scrotum and testes, subs encntr"
59,S30.823S,"Blister (nonthermal) of scrotum and testes, sequela"
60,S30.824A,"Blister (nonthermal) of vagina and vulva, initial encounter"
61,S30.824D,"Blister (nonthermal) of vagina and vulva, subs encntr"
62,S30.824S,"Blister (nonthermal) of vagina and vulva, sequela"
63,S30.825A,"Blister of unsp external genital organs, male, init"
64,S30.825D,"Blister of unsp external genital organs, male, subs"
65,S30.825S,"Blister of unsp external genital organs, male, sequela"
66,S30.826A,"Blister of unsp external genital organs, female, init"
67,S30.826D,"Blister of unsp external genital organs, female, subs"
68,S30.826S,"Blister of unsp external genital organs, female, sequela"
69,S30.827A,"Blister (nonthermal) of anus, initial encounter"
70,S30.827D,"Blister (nonthermal) of anus, subsequent encounter"
71,S30.827S,"Blister (nonthermal) of anus, sequela"
72,S30.840A,"External constriction of lower back and pelvis, init encntr"
73,S30.840D,"External constriction of lower back and pelvis, subs encntr"
74,S30.840S,"External constriction of lower back and pelvis, sequela"
75,S30.841A,"External constriction of abdominal wall, initial encounter"
76,S30.841D,"External constriction of abdominal wall, subs encntr"
77,S30.841S,"External constriction of abdominal wall, sequela"
78,S30.842A,"External constriction of penis, initial encounter"
79,S30.842D,"External constriction of penis, subsequent encounter"
80,S30.842S,"External constriction of penis, sequela"
81,S30.843A,"External constriction of scrotum and testes, init encntr"
82,S30.843D,"External constriction of scrotum and testes, subs encntr"
83,S30.843S,"External constriction of scrotum and testes, sequela"
84,S30.844A,"External constriction of vagina and vulva, initial encounter"
85,S30.844D,"External constriction of vagina and vulva, subs encntr"
86,S30.844S,"External constriction of vagina and vulva, sequela"
87,S30.845A,"Extrn constrict of unsp external genital organs, male, init"
88,S30.845D,"Extrn constrict of unsp external genital organs, male, subs"
89,S30.845S,"Extrn constrict of unsp extrn genital organs, male, sequela"
90,S30.846A,"Extrn constrict of unsp extrn genital organs, female, init"
91,S30.846D,"Extrn constrict of unsp extrn genital organs, female, subs"
92,S30.846S,"Extrn constrict of unsp extrn gntl organs, female, sequela"
93,S30.850A,"Superficial foreign body of lower back and pelvis, init"
94,S30.850D,"Superficial foreign body of lower back and pelvis, subs"
95,S30.850S,"Superficial foreign body of lower back and pelvis, sequela"
96,S30.851A,"Superficial foreign body of abdominal wall, init encntr"
97,S30.851D,"Superficial foreign body of abdominal wall, subs encntr"
98,S30.851S,"Superficial foreign body of abdominal wall, sequela"
99,S30.852A,"Superficial foreign body of penis, initial encounter"
100,S30.852D,"Superficial foreign body of penis, subsequent encounter"
101,S30.852S,"Superficial foreign body of penis, sequela"
102,S30.853A,"Superficial foreign body of scrotum and testes, init encntr"
103,S30.853D,"Superficial foreign body of scrotum and testes, subs encntr"
104,S30.853S,"Superficial foreign body of scrotum and testes, sequela"
105,S30.854A,"Superficial foreign body of vagina and vulva, init encntr"
106,S30.854D,"Superficial foreign body of vagina and vulva, subs encntr"
107,S30.854S,"Superficial foreign body of vagina and vulva, sequela"
108,S30.855A,"Superficial fb of unsp external genital organs, male, init"
109,S30.855D,"Superficial fb of unsp external genital organs, male, subs"
110,S30.855S,"Superfic fb of unsp external genital organs, male, sequela"
111,S30.856A,"Superficial fb of unsp external genital organs, female, init"
112,S30.856D,"Superficial fb of unsp external genital organs, female, subs"
113,S30.856S,"Superfic fb of unsp external genital organs, female, sequela"
114,S30.857A,"Superficial foreign body of anus, initial encounter"
115,S30.857D,"Superficial foreign body of anus, subsequent encounter"
116,S30.857S,"Superficial foreign body of anus, sequela"
117,S30.860A,"Insect bite (nonvenomous) of lower back and pelvis, init"
118,S30.860D,"Insect bite (nonvenomous) of lower back and pelvis, subs"
119,S30.860S,"Insect bite (nonvenomous) of lower back and pelvis, sequela"
120,S30.861A,"Insect bite (nonvenomous) of abdominal wall, init encntr"
121,S30.861D,"Insect bite (nonvenomous) of abdominal wall, subs encntr"
122,S30.861S,"Insect bite (nonvenomous) of abdominal wall, sequela"
123,S30.862A,"Insect bite (nonvenomous) of penis, initial encounter"
124,S30.862D,"Insect bite (nonvenomous) of penis, subsequent encounter"
125,S30.862S,"Insect bite (nonvenomous) of penis, sequela"
126,S30.863A,"Insect bite (nonvenomous) of scrotum and testes, init encntr"
127,S30.863D,"Insect bite (nonvenomous) of scrotum and testes, subs encntr"
128,S30.863S,"Insect bite (nonvenomous) of scrotum and testes, sequela"
129,S30.864A,"Insect bite (nonvenomous) of vagina and vulva, init encntr"
130,S30.864D,"Insect bite (nonvenomous) of vagina and vulva, subs encntr"
131,S30.864S,"Insect bite (nonvenomous) of vagina and vulva, sequela"
132,S30.865A,"Insect bite of unsp external genital organs, male, init"
133,S30.865D,"Insect bite of unsp external genital organs, male, subs"
134,S30.865S,"Insect bite of unsp external genital organs, male, sequela"
135,S30.866A,"Insect bite of unsp external genital organs, female, init"
136,S30.866D,"Insect bite of unsp external genital organs, female, subs"
137,S30.866S,"Insect bite of unsp external genital organs, female, sequela"
138,S30.867A,"Insect bite (nonvenomous) of anus, initial encounter"
139,S30.867D,"Insect bite (nonvenomous) of anus, subsequent encounter"
140,S30.867S,"Insect bite (nonvenomous) of anus, sequela"
141,S30.870A,"Other superficial bite of lower back and pelvis, init encntr"
142,S30.870D,"Other superficial bite of lower back and pelvis, subs encntr"
143,S30.870S,"Other superficial bite of lower back and pelvis, sequela"
144,S30.871A,"Other superficial bite of abdominal wall, initial encounter"
145,S30.871D,"Other superficial bite of abdominal wall, subs encntr"
146,S30.871S,"Other superficial bite of abdominal wall, sequela"
147,S30.872A,"Other superficial bite of penis, initial encounter"
148,S30.872D,"Other superficial bite of penis, subsequent encounter"
149,S30.872S,"Other superficial bite of penis, sequela"
150,S30.873A,"Other superficial bite of scrotum and testes, init encntr"
151,S30.873D,"Other superficial bite of scrotum and testes, subs encntr"
152,S30.873S,"Other superficial bite of scrotum and testes, sequela"
153,S30.874A,"Other superficial bite of vagina and vulva, init encntr"
154,S30.874D,"Other superficial bite of vagina and vulva, subs encntr"
155,S30.874S,"Other superficial bite of vagina and vulva, sequela"
156,S30.875A,"Oth superfic bite of unsp extrn genital organs, male, init"
157,S30.875D,"Oth superfic bite of unsp extrn genital organs, male, subs"
158,S30.875S,"Oth superfic bite of unsp extrn gntl organs, male, sequela"
159,S30.876A,"Oth superfic bite of unsp extrn genital organs, female, init"
160,S30.876D,"Oth superfic bite of unsp extrn genital organs, female, subs"
161,S30.876S,"Oth superfic bite of unsp extrn gntl organs, female, sequela"
162,S30.877A,"Other superficial bite of anus, initial encounter"
163,S30.877D,"Other superficial bite of anus, subsequent encounter"
164,S30.877S,"Other superficial bite of anus, sequela"
165,S30.91XA,"Unsp superficial injury of lower back and pelvis, init"
166,S30.91XD,"Unsp superficial injury of lower back and pelvis, subs"
167,S30.91XS,"Unsp superficial injury of lower back and pelvis, sequela"
168,S30.92XA,"Unsp superficial injury of abdominal wall, init encntr"
169,S30.92XD,"Unsp superficial injury of abdominal wall, subs encntr"
170,S30.92XS,"Unspecified superficial injury of abdominal wall, sequela"
171,S30.93XA,"Unspecified superficial injury of penis, initial encounter"
172,S30.93XD,"Unspecified superficial injury of penis, subs encntr"
173,S30.93XS,"Unspecified superficial injury of penis, sequela"
174,S30.94XA,"Unsp superficial injury of scrotum and testes, init encntr"
175,S30.94XD,"Unsp superficial injury of scrotum and testes, subs encntr"
176,S30.94XS,"Unsp superficial injury of scrotum and testes, sequela"
177,S30.95XA,"Unsp superficial injury of vagina and vulva, init encntr"
178,S30.95XD,"Unsp superficial injury of vagina and vulva, subs encntr"
179,S30.95XS,"Unspecified superficial injury of vagina and vulva, sequela"
180,S30.96XA,"Unsp superfic inj unsp external genital organs, male, init"
181,S30.96XD,"Unsp superfic inj unsp external genital organs, male, subs"
182,S30.96XS,"Unsp superfic inj unsp extrn genital organs, male, sequela"
183,S30.97XA,"Unsp superfic inj unsp external genital organs, female, init"
184,S30.97XD,"Unsp superfic inj unsp external genital organs, female, subs"
185,S30.97XS,"Unsp superfic inj unsp extrn genital organs, female, sequela"
186,S30.98XA,"Unspecified superficial injury of anus, initial encounter"
187,S30.98XD,"Unspecified superficial injury of anus, subsequent encounter"
188,S30.98XS,"Unspecified superficial injury of anus, sequela"
189,S31.000A,"Unsp opn wnd low back and pelv w/o penet retroperiton, init"
190,S31.000D,"Unsp opn wnd low back and pelv w/o penet retroperiton, subs"
191,S31.000S,"Unsp opn wnd low back and pelv w/o penet retroperiton, sqla"
192,S31.001A,"Unsp opn wnd low back and pelvis w penet retroperiton, init"
193,S31.001D,"Unsp opn wnd low back and pelvis w penet retroperiton, subs"
194,S31.001S,"Unsp opn wnd low back and pelvis w penet retroperiton, sqla"
195,S31.010A,"Lac w/o fb of low back and pelv w/o penet retroperiton, init"
196,S31.010D,"Lac w/o fb of low back and pelv w/o penet retroperiton, subs"
197,S31.010S,"Lac w/o fb of low back and pelv w/o penet retroperiton, sqla"
198,S31.011A,"Lac w/o fb of low back and pelvis w penet retroperiton, init"
199,S31.011D,"Lac w/o fb of low back and pelvis w penet retroperiton, subs"
200,S31.011S,"Lac w/o fb of low back and pelvis w penet retroperiton, sqla"
201,S31.020A,"Lac w fb of low back and pelvis w/o penet retroperiton, init"
202,S31.020D,"Lac w fb of low back and pelvis w/o penet retroperiton, subs"
203,S31.020S,"Lac w fb of low back and pelvis w/o penet retroperiton, sqla"
204,S31.021A,"Lac w fb of lower back and pelvis w penet retroperiton, init"
205,S31.021D,"Lac w fb of lower back and pelvis w penet retroperiton, subs"
206,S31.021S,"Lac w fb of low back and pelvis w penet retroperiton, sqla"
207,S31.030A,"Pnctr w/o fb of low back & pelv w/o penet retroperiton, init"
208,S31.030D,"Pnctr w/o fb of low back & pelv w/o penet retroperiton, subs"
209,S31.030S,"Pnctr w/o fb of low back & pelv w/o penet retroperiton, sqla"
210,S31.031A,"Pnctr w/o fb of low back and pelv w penet retroperiton, init"
211,S31.031D,"Pnctr w/o fb of low back and pelv w penet retroperiton, subs"
212,S31.031S,"Pnctr w/o fb of low back and pelv w penet retroperiton, sqla"
213,S31.040A,"Pnctr w fb of low back and pelv w/o penet retroperiton, init"
214,S31.040D,"Pnctr w fb of low back and pelv w/o penet retroperiton, subs"
215,S31.040S,"Pnctr w fb of low back and pelv w/o penet retroperiton, sqla"
216,S31.041A,"Pnctr w fb of low back and pelvis w penet retroperiton, init"
217,S31.041D,"Pnctr w fb of low back and pelvis w penet retroperiton, subs"
218,S31.041S,"Pnctr w fb of low back and pelvis w penet retroperiton, sqla"
219,S31.050A,"Open bite of low back and pelv w/o penet retroperiton, init"
220,S31.050D,"Open bite of low back and pelv w/o penet retroperiton, subs"
221,S31.050S,"Open bite of low back and pelv w/o penet retroperiton, sqla"
222,S31.051A,"Open bite of low back and pelvis w penet retroperiton, init"
223,S31.051D,"Open bite of low back and pelvis w penet retroperiton, subs"
224,S31.051S,"Open bite of low back and pelvis w penet retroperiton, sqla"
225,S31.100A,"Unsp opn wnd abd wall, r upper q w/o penet perit cav, init"
226,S31.100D,"Unsp opn wnd abd wall, r upper q w/o penet perit cav, subs"
227,S31.100S,"Unsp opn wnd abd wall, r upper q w/o penet perit cav, sqla"
228,S31.101A,"Unsp opn wnd abd wall, l upr q w/o penet perit cav, init"
229,S31.101D,"Unsp opn wnd abd wall, l upr q w/o penet perit cav, subs"
230,S31.101S,"Unsp opn wnd abd wall, l upr q w/o penet perit cav, sequela"
231,S31.102A,"Unsp opn wnd abd wall, epigst rgn w/o penet perit cav, init"
232,S31.102D,"Unsp opn wnd abd wall, epigst rgn w/o penet perit cav, subs"
233,S31.102S,"Unsp opn wnd abd wall, epigst rgn w/o penet perit cav, sqla"
