,category,condition
0,T20.00XA,"Burn of unsp degree of head, face, and neck, unsp site, init"
1,T20.00XD,"Burn of unsp degree of head, face, and neck, unsp site, subs"
2,T20.00XS,"Burn unsp degree of head, face, and neck, unsp site, sequela"
3,T20.011A,"Burn of unspecified degree of right ear, initial encounter"
4,T20.011D,"Burn of unspecified degree of right ear, subs encntr"
5,T20.011S,"Burn of unspecified degree of right ear, sequela"
6,T20.012A,"Burn of unspecified degree of left ear, initial encounter"
7,T20.012D,"Burn of unspecified degree of left ear, subsequent encounter"
8,T20.012S,"Burn of unspecified degree of left ear, sequela"
9,T20.019A,"Burn of unspecified degree of unspecified ear, init encntr"
10,T20.019D,"Burn of unspecified degree of unspecified ear, subs encntr"
11,T20.019S,"Burn of unspecified degree of unspecified ear, sequela"
12,T20.02XA,"Burn of unspecified degree of lip(s), initial encounter"
13,T20.02XD,"Burn of unspecified degree of lip(s), subsequent encounter"
14,T20.02XS,"Burn of unspecified degree of lip(s), sequela"
15,T20.03XA,"Burn of unspecified degree of chin, initial encounter"
16,T20.03XD,"Burn of unspecified degree of chin, subsequent encounter"
17,T20.03XS,"Burn of unspecified degree of chin, sequela"
18,T20.04XA,"Burn of unspecified degree of nose (septum), init encntr"
19,T20.04XD,"Burn of unspecified degree of nose (septum), subs encntr"
20,T20.04XS,"Burn of unspecified degree of nose (septum), sequela"
21,T20.05XA,"Burn of unspecified degree of scalp, initial encounter"
22,T20.05XD,"Burn of unspecified degree of scalp, subsequent encounter"
23,T20.05XS,"Burn of unspecified degree of scalp [any part], sequela"
24,T20.06XA,"Burn of unsp degree of forehead and cheek, init encntr"
25,T20.06XD,"Burn of unsp degree of forehead and cheek, subs encntr"
26,T20.06XS,"Burn of unspecified degree of forehead and cheek, sequela"
27,T20.07XA,"Burn of unspecified degree of neck, initial encounter"
28,T20.07XD,"Burn of unspecified degree of neck, subsequent encounter"
29,T20.07XS,"Burn of unspecified degree of neck, sequela"
30,T20.09XA,"Burn of unsp deg mult sites of head, face, and neck, init"
31,T20.09XD,"Burn of unsp deg mult sites of head, face, and neck, subs"
32,T20.09XS,"Burn of unsp deg mult sites of head, face, and neck, sequela"
33,T20.10XA,"Burn first degree of head, face, and neck, unsp site, init"
34,T20.10XD,"Burn first degree of head, face, and neck, unsp site, subs"
35,T20.10XS,"Burn first degree of head, face, and neck, unsp site, sqla"
36,T20.111A,"Burn of first degree of right ear, initial encounter"
37,T20.111D,"Burn of first degree of right ear, subsequent encounter"
38,T20.111S,"Burn of first degree of right ear, sequela"
39,T20.112A,"Burn of first degree of left ear, initial encounter"
40,T20.112D,"Burn of first degree of left ear, subsequent encounter"
41,T20.112S,"Burn of first degree of left ear, sequela"
42,T20.119A,"Burn of first degree of unspecified ear, initial encounter"
43,T20.119D,"Burn of first degree of unspecified ear, subs encntr"
44,T20.119S,"Burn of first degree of unspecified ear, sequela"
45,T20.12XA,"Burn of first degree of lip(s), initial encounter"
46,T20.12XD,"Burn of first degree of lip(s), subsequent encounter"
47,T20.12XS,"Burn of first degree of lip(s), sequela"
48,T20.13XA,"Burn of first degree of chin, initial encounter"
49,T20.13XD,"Burn of first degree of chin, subsequent encounter"
50,T20.13XS,"Burn of first degree of chin, sequela"
51,T20.14XA,"Burn of first degree of nose (septum), initial encounter"
52,T20.14XD,"Burn of first degree of nose (septum), subsequent encounter"
53,T20.14XS,"Burn of first degree of nose (septum), sequela"
54,T20.15XA,"Burn of first degree of scalp [any part], initial encounter"
55,T20.15XD,"Burn of first degree of scalp, subsequent encounter"
56,T20.15XS,"Burn of first degree of scalp [any part], sequela"
57,T20.16XA,"Burn of first degree of forehead and cheek, init encntr"
58,T20.16XD,"Burn of first degree of forehead and cheek, subs encntr"
59,T20.16XS,"Burn of first degree of forehead and cheek, sequela"
60,T20.17XA,"Burn of first degree of neck, initial encounter"
61,T20.17XD,"Burn of first degree of neck, subsequent encounter"
62,T20.17XS,"Burn of first degree of neck, sequela"
63,T20.19XA,"Burn of first deg mult sites of head, face, and neck, init"
64,T20.19XD,"Burn of first deg mult sites of head, face, and neck, subs"
65,T20.19XS,"Burn first deg mult sites of head, face, and neck, sequela"
66,T20.20XA,"Burn second degree of head, face, and neck, unsp site, init"
67,T20.20XD,"Burn second degree of head, face, and neck, unsp site, subs"
68,T20.20XS,"Burn second degree of head, face, and neck, unsp site, sqla"
