,category,condition
0,T51.0X1A,"Toxic effect of ethanol, accidental (unintentional), init"
1,T51.0X1D,"Toxic effect of ethanol, accidental (unintentional), subs"
2,T51.0X1S,"Toxic effect of ethanol, accidental (unintentional), sequela"
3,T51.0X2A,"Toxic effect of ethanol, intentional selfharm, init encntr"
4,T51.0X2D,"Toxic effect of ethanol, intentional selfharm, subs encntr"
5,T51.0X2S,"Toxic effect of ethanol, intentional selfharm, sequela"
6,T51.0X3A,"Toxic effect of ethanol, assault, initial encounter"
7,T51.0X3D,"Toxic effect of ethanol, assault, subsequent encounter"
8,T51.0X3S,"Toxic effect of ethanol, assault, sequela"
9,T51.0X4A,"Toxic effect of ethanol, undetermined, initial encounter"
10,T51.0X4D,"Toxic effect of ethanol, undetermined, subsequent encounter"
11,T51.0X4S,"Toxic effect of ethanol, undetermined, sequela"
12,T51.1X1A,"Toxic effect of methanol, accidental (unintentional), init"
13,T51.1X1D,"Toxic effect of methanol, accidental (unintentional), subs"
14,T51.1X1S,"Toxic effect of methanol, accidental, sequela"
15,T51.1X2A,"Toxic effect of methanol, intentional selfharm, init encntr"
16,T51.1X2D,"Toxic effect of methanol, intentional selfharm, subs encntr"
17,T51.1X2S,"Toxic effect of methanol, intentional selfharm, sequela"
18,T51.1X3A,"Toxic effect of methanol, assault, initial encounter"
19,T51.1X3D,"Toxic effect of methanol, assault, subsequent encounter"
20,T51.1X3S,"Toxic effect of methanol, assault, sequela"
21,T51.1X4A,"Toxic effect of methanol, undetermined, initial encounter"
22,T51.1X4D,"Toxic effect of methanol, undetermined, subsequent encounter"
23,T51.1X4S,"Toxic effect of methanol, undetermined, sequela"
24,T51.2X1A,"Toxic effect of 2Propanol, accidental (unintentional), init"
25,T51.2X1D,"Toxic effect of 2Propanol, accidental (unintentional), subs"
26,T51.2X1S,"Toxic effect of 2Propanol, accidental, sequela"
27,T51.2X2A,"Toxic effect of 2Propanol, intentional selfharm, init"
28,T51.2X2D,"Toxic effect of 2Propanol, intentional selfharm, subs"
29,T51.2X2S,"Toxic effect of 2Propanol, intentional selfharm, sequela"
30,T51.2X3A,"Toxic effect of 2Propanol, assault, initial encounter"
31,T51.2X3D,"Toxic effect of 2Propanol, assault, subsequent encounter"
32,T51.2X3S,"Toxic effect of 2Propanol, assault, sequela"
33,T51.2X4A,"Toxic effect of 2Propanol, undetermined, initial encounter"
34,T51.2X4D,"Toxic effect of 2Propanol, undetermined, subs encntr"
35,T51.2X4S,"Toxic effect of 2Propanol, undetermined, sequela"
36,T51.3X1A,"Toxic effect of fusel oil, accidental (unintentional), init"
37,T51.3X1D,"Toxic effect of fusel oil, accidental (unintentional), subs"
38,T51.3X1S,"Toxic effect of fusel oil, accidental, sequela"
39,T51.3X2A,"Toxic effect of fusel oil, intentional selfharm, init"
40,T51.3X2D,"Toxic effect of fusel oil, intentional selfharm, subs"
41,T51.3X2S,"Toxic effect of fusel oil, intentional selfharm, sequela"
42,T51.3X3A,"Toxic effect of fusel oil, assault, initial encounter"
43,T51.3X3D,"Toxic effect of fusel oil, assault, subsequent encounter"
44,T51.3X3S,"Toxic effect of fusel oil, assault, sequela"
45,T51.3X4A,"Toxic effect of fusel oil, undetermined, initial encounter"
46,T51.3X4D,"Toxic effect of fusel oil, undetermined, subs encntr"
47,T51.3X4S,"Toxic effect of fusel oil, undetermined, sequela"
48,T51.8X1A,"Toxic effect of alcohols, accidental (unintentional), init"
49,T51.8X1D,"Toxic effect of alcohols, accidental (unintentional), subs"
50,T51.8X1S,"Toxic effect of alcohols, accidental, sequela"
51,T51.8X2A,"Toxic effect of oth alcohols, intentional selfharm, init"
52,T51.8X2D,"Toxic effect of oth alcohols, intentional selfharm, subs"
53,T51.8X2S,"Toxic effect of oth alcohols, intentional selfharm, sequela"
54,T51.8X3A,"Toxic effect of other alcohols, assault, initial encounter"
55,T51.8X3D,"Toxic effect of other alcohols, assault, subs encntr"
56,T51.8X3S,"Toxic effect of other alcohols, assault, sequela"
57,T51.8X4A,"Toxic effect of other alcohols, undetermined, init encntr"
58,T51.8X4D,"Toxic effect of other alcohols, undetermined, subs encntr"
59,T51.8X4S,"Toxic effect of other alcohols, undetermined, sequela"
60,T51.91XA,"Toxic effect of unsp alcohol, accidental, init"
61,T51.91XD,"Toxic effect of unsp alcohol, accidental, subs"
62,T51.91XS,"Toxic effect of unsp alcohol, accidental, sequela"
63,T51.92XA,"Toxic effect of unsp alcohol, intentional selfharm, init"
64,T51.92XD,"Toxic effect of unsp alcohol, intentional selfharm, subs"
65,T51.92XS,"Toxic effect of unsp alcohol, intentional selfharm, sequela"
66,T51.93XA,"Toxic effect of unspecified alcohol, assault, init encntr"
67,T51.93XD,"Toxic effect of unspecified alcohol, assault, subs encntr"
68,T51.93XS,"Toxic effect of unspecified alcohol, assault, sequela"
69,T51.94XA,"Toxic effect of unsp alcohol, undetermined, init encntr"
70,T51.94XD,"Toxic effect of unsp alcohol, undetermined, subs encntr"
71,T51.94XS,"Toxic effect of unspecified alcohol, undetermined, sequela"
72,T52.0X1A,"Toxic effect of petroleum products, accidental, init"
73,T52.0X1D,"Toxic effect of petroleum products, accidental, subs"
74,T52.0X1S,"Toxic effect of petroleum products, accidental, sequela"
75,T52.0X2A,"Toxic effect of petroleum products, selfharm, init"
76,T52.0X2D,"Toxic effect of petroleum products, selfharm, subs"
77,T52.0X2S,"Toxic effect of petroleum products, selfharm, sequela"
78,T52.0X3A,"Toxic effect of petroleum products, assault, init encntr"
79,T52.0X3D,"Toxic effect of petroleum products, assault, subs encntr"
80,T52.0X3S,"Toxic effect of petroleum products, assault, sequela"
81,T52.0X4A,"Toxic effect of petroleum products, undetermined, init"
82,T52.0X4D,"Toxic effect of petroleum products, undetermined, subs"
83,T52.0X4S,"Toxic effect of petroleum products, undetermined, sequela"
84,T52.1X1A,"Toxic effect of benzene, accidental (unintentional), init"
85,T52.1X1D,"Toxic effect of benzene, accidental (unintentional), subs"
86,T52.1X1S,"Toxic effect of benzene, accidental (unintentional), sequela"
87,T52.1X2A,"Toxic effect of benzene, intentional selfharm, init encntr"
88,T52.1X2D,"Toxic effect of benzene, intentional selfharm, subs encntr"
89,T52.1X2S,"Toxic effect of benzene, intentional selfharm, sequela"
90,T52.1X3A,"Toxic effect of benzene, assault, initial encounter"
91,T52.1X3D,"Toxic effect of benzene, assault, subsequent encounter"
92,T52.1X3S,"Toxic effect of benzene, assault, sequela"
93,T52.1X4A,"Toxic effect of benzene, undetermined, initial encounter"
94,T52.1X4D,"Toxic effect of benzene, undetermined, subsequent encounter"
95,T52.1X4S,"Toxic effect of benzene, undetermined, sequela"
96,T52.2X1A,"Toxic effect of homologues of benzene, accidental, init"
97,T52.2X1D,"Toxic effect of homologues of benzene, accidental, subs"
98,T52.2X1S,"Toxic effect of homologues of benzene, accidental, sequela"
99,T52.2X2A,"Toxic effect of homologues of benzene, selfharm, init"
100,T52.2X2D,"Toxic effect of homologues of benzene, selfharm, subs"
