,Synonyms
0,"['Acute radiation disease', 'Acute radiation disease', 'Acute radiation nephritis', 'Acute radiation otitis externa', 'Adverse effect of radiation therapy', 'Anemia due to physical agent', 'Anemia due to radiation', 'Aplastic anemia due to radiation', 'Cancer dataset administrative items', 'Chronic radiation nephritis', 'Chronic radiation sickness', 'Effects of occupational exposure to radiation', 'Effects of overexposure to electromagnetic radiation', 'Hematopoietic subsyndrome of acute radiation syndrome', 'Infertility due to radiation', 'Nausea and vomiting', 'Neutropenia due to irradiation', 'Occupational injury', 'Radiation injury of bone marrow', 'Radiation injury of nervous system following radiotherapy procedure', 'Radiation nephritis', 'Radiation recall syndrome', 'Radiation sickness', 'Radiation-induced disorder', 'Radiation-induced nausea and vomiting', 'Radiotherapy course changed - acute radiotherapy toxicity', 'Reason for change in radiotherapy course', 'Subacute radiation sickness', 'Toxicity due to radiotherapy']"
1,"['Acute radiation disease', 'Acute radiation disease', 'Acute radiation nephritis', 'Acute radiation otitis externa', 'Adverse effect of radiation therapy', 'Anemia due to physical agent', 'Anemia due to radiation', 'Aplastic anemia due to radiation', 'Cancer dataset administrative items', 'Chronic radiation nephritis', 'Chronic radiation sickness', 'Effects of occupational exposure to radiation', 'Effects of overexposure to electromagnetic radiation', 'Hematopoietic subsyndrome of acute radiation syndrome', 'Infertility due to radiation', 'Nausea and vomiting', 'Neutropenia due to irradiation', 'Occupational injury', 'Radiation injury of bone marrow', 'Radiation injury of nervous system following radiotherapy procedure', 'Radiation nephritis', 'Radiation recall syndrome', 'Radiation sickness', 'Radiation-induced disorder', 'Radiation-induced nausea and vomiting', 'Radiotherapy course changed - acute radiotherapy toxicity', 'Reason for change in radiotherapy course', 'Subacute radiation sickness', 'Toxicity due to radiotherapy']"
2,"['Acute radiation disease', 'Acute radiation disease', 'Acute radiation nephritis', 'Acute radiation otitis externa', 'Adverse effect of radiation therapy', 'Anemia due to physical agent', 'Anemia due to radiation', 'Aplastic anemia due to radiation', 'Cancer dataset administrative items', 'Chronic radiation nephritis', 'Chronic radiation sickness', 'Coronary arteriosclerosis due to radiation', 'Effects of occupational exposure to radiation', 'Effects of overexposure to electromagnetic radiation', 'Heart disease due to ionizing radiation', 'Hematopoietic subsyndrome of acute radiation syndrome', 'Immunodeficiency secondary to radiation therapy', 'Infertility due to radiation', 'Late effect of radiation', 'Late effect of radiation', 'Late effect of radiation therapy', 'Nausea and vomiting', 'Neutropenia due to irradiation', 'Occupational injury', 'Radiation injury of bone marrow', 'Radiation injury of nervous system following radiotherapy procedure', 'Radiation nephritis', 'Radiation recall syndrome', 'Radiation sickness', 'Radiation-induced disorder', 'Radiation-induced nausea and vomiting', 'Radiotherapy course changed - acute radiotherapy toxicity', 'Reason for change in radiotherapy course', 'Subacute radiation sickness', 'Toxicity due to radiotherapy']"
3,"['Effects of heat', 'Effects of heat', 'Effects of heat AND/OR light', 'Effects of heat AND/OR light', 'Effects of heat AND/OR light', 'Heat pyrexia', 'Heat stroke', 'Heat stroke and sunstroke', 'Sunstroke']"
4,"['Effects of heat', 'Effects of heat', 'Effects of heat AND/OR light', 'Effects of heat AND/OR light', 'Effects of heat AND/OR light', 'Heat pyrexia', 'Heat stroke', 'Heat stroke and sunstroke', 'Sunstroke']"
5,"['Effects of heat', 'Effects of heat', 'Effects of heat AND/OR light', 'Effects of heat AND/OR light', 'Effects of heat AND/OR light', 'Heat pyrexia', 'Heat stroke', 'Heat stroke and sunstroke', 'Sunstroke']"
6,"['Effects of heat', 'Effects of heat AND/OR light', 'Exertional heat stroke', 'Heat stroke']"
7,"['Effects of heat', 'Effects of heat AND/OR light', 'Exertional heat stroke', 'Heat stroke']"
8,"['Effects of heat', 'Effects of heat AND/OR light', 'Exertional heat stroke', 'Heat stroke']"
9,[]
10,[]
11,[]
12,"['Effects of heat', 'Effects of heat AND/OR light', 'Heat syncope']"
13,"['Effects of heat', 'Effects of heat AND/OR light', 'Heat syncope']"
14,"['Effects of heat', 'Effects of heat AND/OR light', 'Heat syncope']"
15,['Heat cramp']
16,['Heat cramp']
17,['Heat cramp']
18,"['Anhidrosis', 'Heat exhaustion', 'Heat exhaustion co-occurrent and due to anhidrosis', 'Heat-induced dermatosis']"
19,"['Anhidrosis', 'Heat exhaustion', 'Heat exhaustion co-occurrent and due to anhidrosis', 'Heat-induced dermatosis']"
20,"['Anhidrosis', 'Heat exhaustion', 'Heat exhaustion co-occurrent and due to anhidrosis', 'Heat-induced dermatosis']"
21,"['Heat exhaustion', 'Heat exhaustion due to salt depletion']"
22,"['Heat exhaustion', 'Heat exhaustion due to salt depletion']"
23,"['Heat exhaustion', 'Heat exhaustion due to salt depletion']"
24,['Heat exhaustion']
25,['Heat exhaustion']
26,['Heat exhaustion']
27,"['Effects of heat', 'Effects of heat AND/OR light', 'Transient heat fatigue']"
28,"['Effects of heat', 'Effects of heat AND/OR light', 'Transient heat fatigue']"
29,"['Effects of heat', 'Effects of heat AND/OR light', 'Transient heat fatigue']"
30,"['Effects of heat', 'Effects of heat AND/OR light', 'Heat edema']"
31,"['Effects of heat', 'Effects of heat AND/OR light', 'Heat edema']"
32,"['Effects of heat', 'Effects of heat AND/OR light', 'Heat edema']"
33,"['Anemia due to heat', 'Anemia due to physical agent']"
34,"['Anemia due to heat', 'Anemia due to physical agent']"
35,"['Anemia due to heat', 'Anemia due to physical agent']"
36,"['Effect of exposure to light', 'Effects of heat', 'Effects of heat AND/OR light', 'Heat exposure', 'Thermal injury', 'War injury due to heat from nuclear weapon', 'War injury due to nuclear weapons']"
37,"['Effect of exposure to light', 'Effects of heat', 'Effects of heat AND/OR light', 'Heat exposure', 'Thermal injury', 'War injury due to heat from nuclear weapon', 'War injury due to nuclear weapons']"
38,"['Effect of exposure to light', 'Effects of heat', 'Effects of heat AND/OR light', 'Heat exposure', 'Thermal injury', 'War injury due to heat from nuclear weapon', 'War injury due to nuclear weapons']"
39,"['Accidental hypothermia in elderly person', 'Drowning and non-fatal immersion', 'Hypothermia', 'Hypothermia - accidental', 'Hypothermia - accidental', 'Hypothermia due to cold environment', 'Hypothermia due to exposure', 'Immersion', 'Immersion hypothermia', 'Nonfatal submersion', 'O/E - hypothermia', 'O/E - hypothermia - less than 32 degrees Celsius', 'Thrombocytopenia due to hypothermia', 'Unplanned perioperative hypothermia']"
40,"['Accidental hypothermia in elderly person', 'Drowning and non-fatal immersion', 'Hypothermia', 'Hypothermia - accidental', 'Hypothermia - accidental', 'Hypothermia due to cold environment', 'Hypothermia due to exposure', 'Immersion', 'Immersion hypothermia', 'Nonfatal submersion', 'O/E - hypothermia', 'O/E - hypothermia - less than 32 degrees Celsius', 'Thrombocytopenia due to hypothermia', 'Unplanned perioperative hypothermia']"
41,"['Accidental hypothermia in elderly person', 'Drowning and non-fatal immersion', 'Hypothermia', 'Hypothermia - accidental', 'Hypothermia - accidental', 'Hypothermia due to cold environment', 'Hypothermia due to exposure', 'Immersion', 'Immersion hypothermia', 'Nonfatal submersion', 'O/E - hypothermia', 'O/E - hypothermia - less than 32 degrees Celsius', 'Thrombocytopenia due to hypothermia', 'Unplanned perioperative hypothermia']"
42,[]
43,[]
44,[]
45,[]
46,[]
47,[]
48,"['Immersion hand', 'Local cold injury']"
49,"['Immersion hand', 'Local cold injury']"
50,"['Immersion hand', 'Local cold injury']"
51,[]
52,[]
53,[]
54,[]
55,[]
56,[]
57,"['Immersion foot', 'Local cold injury']"
58,"['Immersion foot', 'Local cold injury']"
59,"['Immersion foot', 'Local cold injury']"
60,"['Chilblain lupus erythematosus', 'Chilblains', 'Local cold injury', 'Pustular chilblain']"
61,"['Chilblain lupus erythematosus', 'Chilblains', 'Local cold injury', 'Pustular chilblain']"
62,"['Chilblain lupus erythematosus', 'Chilblains', 'Local cold injury', 'Pustular chilblain']"
63,"['Anaphylaxis caused by low temperature', 'Cold burn - liquid nitrogen', 'Cold erythema', 'Cold erythema associated with cold agglutinins', 'Cold erythema associated with cryoglobulin', 'Cold injury of peripheral nerve', 'Cold-induced dermatosis', 'Cryalgesia', 'Crymodynia', 'Frost nip', 'Headache due to cold exposure', 'Hypothermic coma', 'Local cold injury', 'Local cold injury', 'Psychroalgia', 'Thermal injury of peripheral nerve']"
