,category,condition
0,T79.0XXA,"Air embolism (traumatic), initial encounter"
1,T79.0XXD,"Air embolism (traumatic), subsequent encounter"
2,T79.0XXS,"Air embolism (traumatic), sequela"
3,T79.1XXA,"Fat embolism (traumatic), initial encounter"
4,T79.1XXD,"Fat embolism (traumatic), subsequent encounter"
5,T79.1XXS,"Fat embolism (traumatic), sequela"
6,T79.2XXA,"Traumatic secondary and recurrent hemor and seroma, init"
7,T79.2XXD,"Traumatic secondary and recurrent hemor and seroma, subs"
8,T79.2XXS,"Traumatic secondary and recurrent hemor and seroma, sequela"
9,T79.4XXA,"Traumatic shock, initial encounter"
10,T79.4XXD,"Traumatic shock, subsequent encounter"
11,T79.4XXS,"Traumatic shock, sequela"
12,T79.5XXA,"Traumatic anuria, initial encounter"
13,T79.5XXD,"Traumatic anuria, subsequent encounter"
14,T79.5XXS,"Traumatic anuria, sequela"
15,T79.6XXA,"Traumatic ischemia of muscle, initial encounter"
16,T79.6XXD,"Traumatic ischemia of muscle, subsequent encounter"
17,T79.6XXS,"Traumatic ischemia of muscle, sequela"
18,T79.7XXA,"Traumatic subcutaneous emphysema, initial encounter"
19,T79.7XXD,"Traumatic subcutaneous emphysema, subsequent encounter"
20,T79.7XXS,"Traumatic subcutaneous emphysema, sequela"
21,T79.8XXA,"Other early complications of trauma, initial encounter"
22,T79.8XXD,"Other early complications of trauma, subsequent encounter"
23,T79.8XXS,"Other early complications of trauma, sequela"
24,T79.9XXA,"Unspecified early complication of trauma, initial encounter"
25,T79.9XXD,"Unspecified early complication of trauma, subs encntr"
26,T79.9XXS,"Unspecified early complication of trauma, sequela"
27,T79.A0XA,"Compartment syndrome, unspecified, initial encounter"
28,T79.A0XD,"Compartment syndrome, unspecified, subsequent encounter"
29,T79.A0XS,"Compartment syndrome, unspecified, sequela"
30,T79.A11A,"Traumatic compartment syndrome of r up extrem, init"
31,T79.A11D,"Traumatic compartment syndrome of r up extrem, subs"
32,T79.A11S,"Traumatic compartment syndrome of r up extrem, sequela"
33,T79.A12A,"Traumatic compartment syndrome of left upper extremity, init"
34,T79.A12D,"Traumatic compartment syndrome of left upper extremity, subs"
35,T79.A12S,"Traumatic compartment syndrome of l up extrem, sequela"
36,T79.A19A,"Traumatic compartment syndrome of unsp upper extremity, init"
37,T79.A19D,"Traumatic compartment syndrome of unsp upper extremity, subs"
38,T79.A19S,"Traumatic compartment syndrome of unsp up extrem, sequela"
39,T79.A21A,"Traumatic compartment syndrome of r low extrem, init"
40,T79.A21D,"Traumatic compartment syndrome of r low extrem, subs"
41,T79.A21S,"Traumatic compartment syndrome of r low extrem, sequela"
42,T79.A22A,"Traumatic compartment syndrome of left lower extremity, init"
43,T79.A22D,"Traumatic compartment syndrome of left lower extremity, subs"
44,T79.A22S,"Traumatic compartment syndrome of l low extrem, sequela"
45,T79.A29A,"Traumatic compartment syndrome of unsp lower extremity, init"
46,T79.A29D,"Traumatic compartment syndrome of unsp lower extremity, subs"
47,T79.A29S,"Traumatic compartment syndrome of unsp low extrm, sequela"
48,T79.A3XA,"Traumatic compartment syndrome of abdomen, initial encounter"
49,T79.A3XD,"Traumatic compartment syndrome of abdomen, subs encntr"
50,T79.A3XS,"Traumatic compartment syndrome of abdomen, sequela"
51,T79.A9XA,"Traumatic compartment syndrome of other sites, init encntr"
52,T79.A9XD,"Traumatic compartment syndrome of other sites, subs encntr"
53,T79.A9XS,"Traumatic compartment syndrome of other sites, sequela"
