,Synonyms
0,"['Air embolism', 'Air embolism - postoperative', 'Air embolism - postoperative', 'Air embolism as a complication of medical care', 'Air embolism as a complication of medical care', 'Air embolism as early complication of trauma', 'Air embolism due to surgery', 'Arterial air embolus', 'Complication of medical care', 'Complication of medical care', 'Dysbaric air embolism', 'Early complication of trauma', 'Nitrogen embolism', 'Traumatic complication of injury', 'Venous air embolism']"
1,"['Air embolism', 'Air embolism - postoperative', 'Air embolism - postoperative', 'Air embolism as a complication of medical care', 'Air embolism as a complication of medical care', 'Air embolism as early complication of trauma', 'Air embolism due to surgery', 'Arterial air embolus', 'Complication of medical care', 'Complication of medical care', 'Dysbaric air embolism', 'Early complication of trauma', 'Nitrogen embolism', 'Traumatic complication of injury', 'Venous air embolism']"
2,"['Air embolism', 'Air embolism - postoperative', 'Air embolism - postoperative', 'Air embolism as a complication of medical care', 'Air embolism as a complication of medical care', 'Air embolism as early complication of trauma', 'Air embolism due to surgery', 'Arterial air embolus', 'Complication of medical care', 'Complication of medical care', 'Dysbaric air embolism', 'Early complication of trauma', 'Nitrogen embolism', 'Traumatic complication of injury', 'Venous air embolism']"
3,"['Early complication of trauma', 'Fat embolism', 'Fat embolism - obstetric', 'Fat embolism as early complication of trauma', 'Fulminant fat embolism syndrome', 'Pulmonary fat embolism', 'Pulmonary fat embolism', 'Subacute pulmonary fat embolism', 'Traumatic complication of injury']"
4,"['Early complication of trauma', 'Fat embolism', 'Fat embolism - obstetric', 'Fat embolism as early complication of trauma', 'Fulminant fat embolism syndrome', 'Pulmonary fat embolism', 'Pulmonary fat embolism', 'Subacute pulmonary fat embolism', 'Traumatic complication of injury']"
5,"['Early complication of trauma', 'Fat embolism', 'Fat embolism - obstetric', 'Fat embolism as early complication of trauma', 'Fulminant fat embolism syndrome', 'Pulmonary fat embolism', 'Pulmonary fat embolism', 'Subacute pulmonary fat embolism', 'Traumatic complication of injury']"
6,"['Early complication of trauma', 'Recurrent hemorrhage', 'Secondary and recurrent hemorrhage', 'Secondary AND/OR recurrent hemorrhage as early complication of trauma', 'Seroma due to trauma', 'Traumatic complication of injury']"
7,"['Early complication of trauma', 'Recurrent hemorrhage', 'Secondary and recurrent hemorrhage', 'Secondary AND/OR recurrent hemorrhage as early complication of trauma', 'Seroma due to trauma', 'Traumatic complication of injury']"
8,"['Early complication of trauma', 'Recurrent hemorrhage', 'Secondary and recurrent hemorrhage', 'Secondary AND/OR recurrent hemorrhage as early complication of trauma', 'Seroma due to trauma', 'Traumatic complication of injury']"
9,"['Burn shock', 'Traumatic shock']"
10,"['Burn shock', 'Traumatic shock']"
11,"['Burn shock', 'Traumatic shock']"
12,"['Acute injury of kidney', 'Acute renal cortical necrosis', 'Acute renal failure due to crush syndrome', 'Acute tubular necrosis', 'Crush syndrome', 'Pigment nephropathy', 'Post-traumatic acute tubular necrosis', 'Traumatic anuria', 'Traumatic anuria - crush syndrome', 'Traumatic complication of injury', 'Traumatic complication of injury']"
13,"['Acute injury of kidney', 'Acute renal cortical necrosis', 'Acute renal failure due to crush syndrome', 'Acute tubular necrosis', 'Crush syndrome', 'Pigment nephropathy', 'Post-traumatic acute tubular necrosis', 'Traumatic anuria', 'Traumatic anuria - crush syndrome', 'Traumatic complication of injury', 'Traumatic complication of injury']"
14,"['Acute injury of kidney', 'Acute renal cortical necrosis', 'Acute renal failure due to crush syndrome', 'Acute tubular necrosis', 'Crush syndrome', 'Pigment nephropathy', 'Post-traumatic acute tubular necrosis', 'Traumatic anuria', 'Traumatic anuria - crush syndrome', 'Traumatic complication of injury', 'Traumatic complication of injury']"
