,category,condition
0,V00.01XA,"Ped on foot injured in collision w rollerskater, init"
1,V00.01XD,"Ped on foot injured in collision w rollerskater, subs"
2,V00.01XS,"Ped on foot injured in collision w rollerskater, sequela"
3,V00.02XA,"Pedestrian on foot injured in collision w skateboarder, init"
4,V00.02XD,"Pedestrian on foot injured in collision w skateboarder, subs"
5,V00.02XS,"Ped on foot injured in collision w skateboarder, sequela"
6,V00.09XA,"Ped on foot injured in collision w oth ped convey, init"
7,V00.09XD,"Ped on foot injured in collision w oth ped convey, subs"
8,V00.09XS,"Ped on foot injured in collision w oth ped convey, sequela"
9,V00.111A,"Fall from inline rollerskates, initial encounter"
10,V00.111D,"Fall from inline rollerskates, subsequent encounter"
11,V00.111S,"Fall from inline rollerskates, sequela"
12,V00.112A,"Inline rollerskater colliding w stationary object, init"
13,V00.112D,"Inline rollerskater colliding w stationary object, subs"
14,V00.112S,"Inline rollerskater colliding w stationary object, sequela"
15,V00.118A,"Other inline rollerskate accident, initial encounter"
16,V00.118D,"Other inline rollerskate accident, subsequent encounter"
17,V00.118S,"Other inline rollerskate accident, sequela"
18,V00.121A,"Fall from noninline rollerskates, initial encounter"
19,V00.121D,"Fall from noninline rollerskates, subsequent encounter"
20,V00.121S,"Fall from noninline rollerskates, sequela"
21,V00.122A,"Noninline rollerskater colliding w statnry obj, init"
22,V00.122D,"Noninline rollerskater colliding w statnry obj, subs"
23,V00.122S,"Noninline rollerskater colliding w statnry obj, sequela"
24,V00.128A,"Other noninline rollerskating accident, initial encounter"
25,V00.128D,"Other noninline rollerskating accident, subs encntr"
26,V00.128S,"Other noninline rollerskating accident, sequela"
27,V00.131A,"Fall from skateboard, initial encounter"
28,V00.131D,"Fall from skateboard, subsequent encounter"
29,V00.131S,"Fall from skateboard, sequela"
30,V00.132A,"Skateboarder colliding with stationary object, init encntr"
31,V00.132D,"Skateboarder colliding with stationary object, subs encntr"
32,V00.132S,"Skateboarder colliding with stationary object, sequela"
33,V00.138A,"Other skateboard accident, initial encounter"
34,V00.138D,"Other skateboard accident, subsequent encounter"
35,V00.138S,"Other skateboard accident, sequela"
36,V00.141A,"Fall from scooter (nonmotorized), initial encounter"
37,V00.141D,"Fall from scooter (nonmotorized), subsequent encounter"
38,V00.141S,"Fall from scooter (nonmotorized), sequela"
39,V00.142A,"Scooter (nonmotorized) colliding w stationary object, init"
40,V00.142D,"Scooter (nonmotorized) colliding w stationary object, subs"
41,V00.142S,"Scooter (nonmotorized) colliding w statnry obj, sequela"
42,V00.148A,"Other scooter (nonmotorized) accident, initial encounter"
43,V00.148D,"Other scooter (nonmotorized) accident, subsequent encounter"
44,V00.148S,"Other scooter (nonmotorized) accident, sequela"
45,V00.151A,"Fall from heelies, initial encounter"
46,V00.151D,"Fall from heelies, subsequent encounter"
47,V00.151S,"Fall from heelies, sequela"
48,V00.152A,"Heelies colliding with stationary object, initial encounter"
49,V00.152D,"Heelies colliding with stationary object, subs encntr"
50,V00.152S,"Heelies colliding with stationary object, sequela"
51,V00.158A,"Other heelies accident, initial encounter"
52,V00.158D,"Other heelies accident, subsequent encounter"
53,V00.158S,"Other heelies accident, sequela"
54,V00.181A,"Fall from oth rollingtype pedestrian conveyance, init"
55,V00.181D,"Fall from oth rollingtype pedestrian conveyance, subs"
56,V00.181S,"Fall from other rollingtype pedestrian conveyance, sequela"
57,V00.182A,"Ped on oth rolltype ped convey collid w statnry obj, init"
58,V00.182D,"Ped on oth rolltype ped convey collid w statnry obj, subs"
59,V00.182S,"Ped on oth rolltype ped convey collid w statnry obj, sqla"
60,V00.188A,"Oth accident on oth rollingtype pedestrian conveyance, init"
61,V00.188D,"Oth accident on oth rollingtype pedestrian conveyance, subs"
62,V00.188S,"Oth accident on oth rolltype pedestrian conveyance, sequela"
63,V00.211A,"Fall from iceskates, initial encounter"
64,V00.211D,"Fall from iceskates, subsequent encounter"
65,V00.211S,"Fall from iceskates, sequela"
66,V00.212A,"Iceskater colliding with stationary object, init encntr"
67,V00.212D,"Iceskater colliding with stationary object, subs encntr"
68,V00.212S,"Iceskater colliding with stationary object, sequela"
69,V00.218A,"Other iceskates accident, initial encounter"
70,V00.218D,"Other iceskates accident, subsequent encounter"
71,V00.218S,"Other iceskates accident, sequela"
72,V00.221A,"Fall from sled, initial encounter"
73,V00.221D,"Fall from sled, subsequent encounter"
74,V00.221S,"Fall from sled, sequela"
75,V00.222A,"Sledder colliding with stationary object, initial encounter"
76,V00.222D,"Sledder colliding with stationary object, subs encntr"
77,V00.222S,"Sledder colliding with stationary object, sequela"
78,V00.228A,"Other sled accident, initial encounter"
79,V00.228D,"Other sled accident, subsequent encounter"
80,V00.228S,"Other sled accident, sequela"
81,V00.281A,"Fall from glidingtype pedestrian conveyance, init encntr"
82,V00.281D,"Fall from glidingtype pedestrian conveyance, subs encntr"
83,V00.281S,"Fall from other glidingtype pedestrian conveyance, sequela"
84,V00.282A,"Ped on glidingtype ped convey colliding w statnry obj, init"
85,V00.282D,"Ped on glidingtype ped convey colliding w statnry obj, subs"
86,V00.282S,"Ped on glidingtype ped convey collid w statnry obj, sequela"
87,V00.288A,"Oth accident on glidingtype pedestrian conveyance, init"
88,V00.288D,"Oth accident on glidingtype pedestrian conveyance, subs"
89,V00.288S,"Oth accident on glidingtype pedestrian conveyance, sequela"
90,V00.311A,"Fall from snowboard, initial encounter"
91,V00.311D,"Fall from snowboard, subsequent encounter"
92,V00.311S,"Fall from snowboard, sequela"
93,V00.312A,"Snowboarder colliding with stationary object, init encntr"
94,V00.312D,"Snowboarder colliding with stationary object, subs encntr"
95,V00.312S,"Snowboarder colliding with stationary object, sequela"
96,V00.318A,"Other snowboard accident, initial encounter"
97,V00.318D,"Other snowboard accident, subsequent encounter"
98,V00.318S,"Other snowboard accident, sequela"
