,category,condition
0,W20.0XXA,"Struck by falling object in cavein, initial encounter"
1,W20.0XXD,"Struck by falling object in cavein, subsequent encounter"
2,W20.0XXS,"Struck by falling object in cavein, sequela"
3,W20.1XXA,"Struck by object due to collapse of building, init encntr"
4,W20.1XXD,"Struck by object due to collapse of building, subs encntr"
5,W20.1XXS,"Struck by object due to collapse of building, sequela"
6,W20.8XXA,"Oth cause of strike by thrown, projected or fall obj, init"
7,W20.8XXD,"Oth cause of strike by thrown, projected or fall obj, subs"
8,W20.8XXS,"Oth cause of strike by thrown, projected or fall obj, sqla"
9,W21.00XA,"Struck by hit or thrown ball, unspecified type, init encntr"
10,W21.00XD,"Struck by hit or thrown ball, unspecified type, subs encntr"
11,W21.00XS,"Struck by hit or thrown ball, unspecified type, sequela"
12,W21.01XA,"Struck by football, initial encounter"
13,W21.01XD,"Struck by football, subsequent encounter"
14,W21.01XS,"Struck by football, sequela"
15,W21.02XA,"Struck by soccer ball, initial encounter"
16,W21.02XD,"Struck by soccer ball, subsequent encounter"
17,W21.02XS,"Struck by soccer ball, sequela"
18,W21.03XA,"Struck by baseball, initial encounter"
19,W21.03XD,"Struck by baseball, subsequent encounter"
20,W21.03XS,"Struck by baseball, sequela"
21,W21.04XA,"Struck by golf ball, initial encounter"
22,W21.04XD,"Struck by golf ball, subsequent encounter"
23,W21.04XS,"Struck by golf ball, sequela"
24,W21.05XA,"Struck by basketball, initial encounter"
25,W21.05XD,"Struck by basketball, subsequent encounter"
26,W21.05XS,"Struck by basketball, sequela"
27,W21.06XA,"Struck by volleyball, initial encounter"
28,W21.06XD,"Struck by volleyball, subsequent encounter"
29,W21.06XS,"Struck by volleyball, sequela"
30,W21.07XA,"Struck by softball, initial encounter"
31,W21.07XD,"Struck by softball, subsequent encounter"
32,W21.07XS,"Struck by softball, sequela"
33,W21.09XA,"Struck by other hit or thrown ball, initial encounter"
34,W21.09XD,"Struck by other hit or thrown ball, subsequent encounter"
35,W21.09XS,"Struck by other hit or thrown ball, sequela"
36,W21.11XA,"Struck by baseball bat, initial encounter"
37,W21.11XD,"Struck by baseball bat, subsequent encounter"
38,W21.11XS,"Struck by baseball bat, sequela"
39,W21.12XA,"Struck by tennis racquet, initial encounter"
40,W21.12XD,"Struck by tennis racquet, subsequent encounter"
41,W21.12XS,"Struck by tennis racquet, sequela"
42,W21.13XA,"Struck by golf club, initial encounter"
43,W21.13XD,"Struck by golf club, subsequent encounter"
44,W21.13XS,"Struck by golf club, sequela"
45,W21.19XA,"Struck by other bat, racquet or club, initial encounter"
46,W21.19XD,"Struck by other bat, racquet or club, subsequent encounter"
47,W21.19XS,"Struck by other bat, racquet or club, sequela"
48,W21.210A,"Struck by ice hockey stick, initial encounter"
49,W21.210D,"Struck by ice hockey stick, subsequent encounter"
50,W21.210S,"Struck by ice hockey stick, sequela"
51,W21.211A,"Struck by field hockey stick, initial encounter"
52,W21.211D,"Struck by field hockey stick, subsequent encounter"
53,W21.211S,"Struck by field hockey stick, sequela"
54,W21.220A,"Struck by ice hockey puck, initial encounter"
55,W21.220D,"Struck by ice hockey puck, subsequent encounter"
56,W21.220S,"Struck by ice hockey puck, sequela"
57,W21.221A,"Struck by field hockey puck, initial encounter"
58,W21.221D,"Struck by field hockey puck, subsequent encounter"
59,W21.221S,"Struck by field hockey puck, sequela"
60,W21.31XA,"Struck by shoe cleats, initial encounter"
61,W21.31XD,"Struck by shoe cleats, subsequent encounter"
62,W21.31XS,"Struck by shoe cleats, sequela"
