,Synonyms
0,"['Accident caused by carbon monoxide from conflagration in commercial premises', 'Accident caused by conflagration in commercial premises', 'Accident caused by conflagration in public building', 'Accident caused by fumes from burning plastic in conflagration in private dwelling', 'Accident caused by noxious fumes from conflagration in commercial premises', 'Accident caused by noxious fumes from conflagration in public building', 'Accident due to collapse of burning travel trailer', 'Burning caused by conflagration in apartment', 'Burning caused by conflagration in barn', 'Burning caused by conflagration in boarding house', 'Burning caused by conflagration in church', 'Burning caused by conflagration in commercial premises', 'Burning caused by conflagration in convalescent home', 'Burning caused by conflagration in dormitory of educational institution', 'Burning caused by conflagration in factory', 'Burning caused by conflagration in farm outbuilding', 'Burning caused by conflagration in farmhouse', 'Burning caused by conflagration in hospital', 'Burning caused by conflagration in hotel', 'Burning caused by conflagration in house', 'Burning caused by conflagration in lodging house', 'Burning caused by conflagration in mobile home', 'Burning caused by conflagration in private dwelling', 'Burning caused by conflagration in private garage', 'Burning caused by conflagration in public building', 'Burning caused by conflagration in rooming house', 'Burning caused by conflagration in school', 'Burning caused by conflagration in store', 'Burning caused by conflagration in tenement', 'Burning caused by conflagration in theatre', 'Burning caused by conflagration in travel trailer', 'Carbon monoxide fumes from conflagration in hotel', 'Carbon monoxide fumes from conflagration in house', 'Conflagration in private dwelling', 'Fire in private dwelling', 'House fire', 'Operating room fire']"
1,"['Accident caused by carbon monoxide from conflagration in commercial premises', 'Accident caused by conflagration in commercial premises', 'Accident caused by conflagration in public building', 'Accident caused by fumes from burning plastic in conflagration in private dwelling', 'Accident caused by noxious fumes from conflagration in commercial premises', 'Accident caused by noxious fumes from conflagration in public building', 'Accident due to collapse of burning travel trailer', 'Burning caused by conflagration in apartment', 'Burning caused by conflagration in barn', 'Burning caused by conflagration in boarding house', 'Burning caused by conflagration in church', 'Burning caused by conflagration in commercial premises', 'Burning caused by conflagration in convalescent home', 'Burning caused by conflagration in dormitory of educational institution', 'Burning caused by conflagration in factory', 'Burning caused by conflagration in farm outbuilding', 'Burning caused by conflagration in farmhouse', 'Burning caused by conflagration in hospital', 'Burning caused by conflagration in hotel', 'Burning caused by conflagration in house', 'Burning caused by conflagration in lodging house', 'Burning caused by conflagration in mobile home', 'Burning caused by conflagration in private dwelling', 'Burning caused by conflagration in private garage', 'Burning caused by conflagration in public building', 'Burning caused by conflagration in rooming house', 'Burning caused by conflagration in school', 'Burning caused by conflagration in store', 'Burning caused by conflagration in tenement', 'Burning caused by conflagration in theatre', 'Burning caused by conflagration in travel trailer', 'Carbon monoxide fumes from conflagration in hotel', 'Carbon monoxide fumes from conflagration in house', 'Conflagration in private dwelling', 'Fire in private dwelling', 'House fire', 'Operating room fire']"
2,"['Accident caused by carbon monoxide from conflagration in commercial premises', 'Accident caused by conflagration in commercial premises', 'Accident caused by conflagration in public building', 'Accident caused by fumes from burning plastic in conflagration in private dwelling', 'Accident caused by noxious fumes from conflagration in commercial premises', 'Accident caused by noxious fumes from conflagration in public building', 'Accident due to collapse of burning travel trailer', 'Burning caused by conflagration in apartment', 'Burning caused by conflagration in barn', 'Burning caused by conflagration in boarding house', 'Burning caused by conflagration in church', 'Burning caused by conflagration in commercial premises', 'Burning caused by conflagration in convalescent home', 'Burning caused by conflagration in dormitory of educational institution', 'Burning caused by conflagration in factory', 'Burning caused by conflagration in farm outbuilding', 'Burning caused by conflagration in farmhouse', 'Burning caused by conflagration in hospital', 'Burning caused by conflagration in hotel', 'Burning caused by conflagration in house', 'Burning caused by conflagration in lodging house', 'Burning caused by conflagration in mobile home', 'Burning caused by conflagration in private dwelling', 'Burning caused by conflagration in private garage', 'Burning caused by conflagration in public building', 'Burning caused by conflagration in rooming house', 'Burning caused by conflagration in school', 'Burning caused by conflagration in store', 'Burning caused by conflagration in tenement', 'Burning caused by conflagration in theatre', 'Burning caused by conflagration in travel trailer', 'Carbon monoxide fumes from conflagration in hotel', 'Carbon monoxide fumes from conflagration in house', 'Conflagration in private dwelling', 'Fire in private dwelling', 'House fire', 'Operating room fire']"
3,"['Accident caused by noxious fumes from conflagration in commercial premises', 'Accident caused by noxious fumes from conflagration in public building', 'Accident caused by smoke from conflagration in commercial premises', 'Accident caused by smoke from conflagration in private dwelling', 'Accident caused by smoke from conflagration in public building']"
4,"['Accident caused by noxious fumes from conflagration in commercial premises', 'Accident caused by noxious fumes from conflagration in public building', 'Accident caused by smoke from conflagration in commercial premises', 'Accident caused by smoke from conflagration in private dwelling', 'Accident caused by smoke from conflagration in public building']"
5,"['Accident caused by noxious fumes from conflagration in commercial premises', 'Accident caused by noxious fumes from conflagration in public building', 'Accident caused by smoke from conflagration in commercial premises', 'Accident caused by smoke from conflagration in private dwelling', 'Accident caused by smoke from conflagration in public building']"
6,"['Accident caused by collapse of burning commercial premises', 'Accident caused by collapse of burning public building', 'Accident due to collapse of burning apartment', 'Accident due to collapse of burning barn', 'Accident due to collapse of burning boarding house', 'Accident due to collapse of burning camping place', 'Accident due to collapse of burning church', 'Accident due to collapse of burning convalescent home', 'Accident due to collapse of burning dormitory of educat inst', 'Accident due to collapse of burning factory', 'Accident due to collapse of burning farm outbuilding', 'Accident due to collapse of burning farmhouse', 'Accident due to collapse of burning hospital', 'Accident due to collapse of burning hotel', 'Accident due to collapse of burning house', 'Accident due to collapse of burning lodging home', 'Accident due to collapse of burning mobile home', 'Accident due to collapse of burning private dwelling', 'Accident due to collapse of burning private garage', 'Accident due to collapse of burning rooming house', 'Accident due to collapse of burning school', 'Accident due to collapse of burning store', 'Accident due to collapse of burning tenement', 'Accident due to collapse of burning theatre']"
7,"['Accident caused by collapse of burning commercial premises', 'Accident caused by collapse of burning public building', 'Accident due to collapse of burning apartment', 'Accident due to collapse of burning barn', 'Accident due to collapse of burning boarding house', 'Accident due to collapse of burning camping place', 'Accident due to collapse of burning church', 'Accident due to collapse of burning convalescent home', 'Accident due to collapse of burning dormitory of educat inst', 'Accident due to collapse of burning factory', 'Accident due to collapse of burning farm outbuilding', 'Accident due to collapse of burning farmhouse', 'Accident due to collapse of burning hospital', 'Accident due to collapse of burning hotel', 'Accident due to collapse of burning house', 'Accident due to collapse of burning lodging home', 'Accident due to collapse of burning mobile home', 'Accident due to collapse of burning private dwelling', 'Accident due to collapse of burning private garage', 'Accident due to collapse of burning rooming house', 'Accident due to collapse of burning school', 'Accident due to collapse of burning store', 'Accident due to collapse of burning tenement', 'Accident due to collapse of burning theatre']"
8,"['Accident caused by collapse of burning commercial premises', 'Accident caused by collapse of burning public building', 'Accident due to collapse of burning apartment', 'Accident due to collapse of burning barn', 'Accident due to collapse of burning boarding house', 'Accident due to collapse of burning camping place', 'Accident due to collapse of burning church', 'Accident due to collapse of burning convalescent home', 'Accident due to collapse of burning dormitory of educat inst', 'Accident due to collapse of burning factory', 'Accident due to collapse of burning farm outbuilding', 'Accident due to collapse of burning farmhouse', 'Accident due to collapse of burning hospital', 'Accident due to collapse of burning hotel', 'Accident due to collapse of burning house', 'Accident due to collapse of burning lodging home', 'Accident due to collapse of burning mobile home', 'Accident due to collapse of burning private dwelling', 'Accident due to collapse of burning private garage', 'Accident due to collapse of burning rooming house', 'Accident due to collapse of burning school', 'Accident due to collapse of burning store', 'Accident due to collapse of burning tenement', 'Accident due to collapse of burning theatre']"
9,"['Accident caused by fall from burning commercial premises', 'Accident caused by fall from burning public building', 'Accident due to fall from burning apartment', 'Accident due to fall from burning barn', 'Accident due to fall from burning boarding house', 'Accident due to fall from burning camping place', 'Accident due to fall from burning church', 'Accident due to fall from burning convalescent home', 'Accident due to fall from burning dormitory of educational institution', 'Accident due to fall from burning factory', 'Accident due to fall from burning farm outbuilding', 'Accident due to fall from burning farmhouse', 'Accident due to fall from burning hospital', 'Accident due to fall from burning hotel', 'Accident due to fall from burning house', 'Accident due to fall from burning lodging house', 'Accident due to fall from burning mobile home', 'Accident due to fall from burning private dwelling', 'Accident due to fall from burning private garage', 'Accident due to fall from burning rooming house', 'Accident due to fall from burning school', 'Accident due to fall from burning store', 'Accident due to fall from burning tenement', 'Accident due to fall from burning theatre', 'Accident due to fall from burning travel trailer']"
