,category,condition
0,X10.0XXA,"Contact with hot drinks, initial encounter"
1,X10.0XXD,"Contact with hot drinks, subsequent encounter"
2,X10.0XXS,"Contact with hot drinks, sequela"
3,X10.1XXA,"Contact with hot food, initial encounter"
4,X10.1XXD,"Contact with hot food, subsequent encounter"
5,X10.1XXS,"Contact with hot food, sequela"
6,X10.2XXA,"Contact with fats and cooking oils, initial encounter"
7,X10.2XXD,"Contact with fats and cooking oils, subsequent encounter"
8,X10.2XXS,"Contact with fats and cooking oils, sequela"
9,X11.0XXA,"Contact with hot water in bath or tub, initial encounter"
10,X11.0XXD,"Contact with hot water in bath or tub, subsequent encounter"
11,X11.0XXS,"Contact with hot water in bath or tub, sequela"
12,X11.1XXA,"Contact with running hot water, initial encounter"
13,X11.1XXD,"Contact with running hot water, subsequent encounter"
14,X11.1XXS,"Contact with running hot water, sequela"
15,X11.8XXA,"Contact with other hot tapwater, initial encounter"
16,X11.8XXD,"Contact with other hot tapwater, subsequent encounter"
17,X11.8XXS,"Contact with other hot tapwater, sequela"
18,X12.XXXA,"Contact with other hot fluids, initial encounter"
19,X12.XXXD,"Contact with other hot fluids, subsequent encounter"
20,X12.XXXS,"Contact with other hot fluids, sequela"
21,X13.0XXA,"Inhalation of steam and other hot vapors, initial encounter"
22,X13.0XXD,"Inhalation of steam and other hot vapors, subs encntr"
23,X13.0XXS,"Inhalation of steam and other hot vapors, sequela"
24,X13.1XXA,"Other contact with steam and other hot vapors, init encntr"
25,X13.1XXD,"Other contact with steam and other hot vapors, subs encntr"
26,X13.1XXS,"Other contact with steam and other hot vapors, sequela"
27,X14.0XXA,"Inhalation of hot air and gases, initial encounter"
28,X14.0XXD,"Inhalation of hot air and gases, subsequent encounter"
29,X14.0XXS,"Inhalation of hot air and gases, sequela"
30,X14.1XXA,"Other contact with hot air and other hot gases, init encntr"
31,X14.1XXD,"Other contact with hot air and other hot gases, subs encntr"
32,X14.1XXS,"Other contact with hot air and other hot gases, sequela"
33,X15.0XXA,"Contact with hot stove (kitchen), initial encounter"
34,X15.0XXD,"Contact with hot stove (kitchen), subsequent encounter"
35,X15.0XXS,"Contact with hot stove (kitchen), sequela"
36,X15.1XXA,"Contact with hot toaster, initial encounter"
37,X15.1XXD,"Contact with hot toaster, subsequent encounter"
38,X15.1XXS,"Contact with hot toaster, sequela"
39,X15.2XXA,"Contact with hotplate, initial encounter"
40,X15.2XXD,"Contact with hotplate, subsequent encounter"
41,X15.2XXS,"Contact with hotplate, sequela"
42,X15.3XXA,"Contact with hot saucepan or skillet, initial encounter"
43,X15.3XXD,"Contact with hot saucepan or skillet, subsequent encounter"
44,X15.3XXS,"Contact with hot saucepan or skillet, sequela"
45,X15.8XXA,"Contact with other hot household appliances, init encntr"
46,X15.8XXD,"Contact with other hot household appliances, subs encntr"
47,X15.8XXS,"Contact with other hot household appliances, sequela"
48,X16.XXXA,"Contact w hot heating appliances, radiators and pipes, init"
49,X16.XXXD,"Contact w hot heating appliances, radiators and pipes, subs"
50,X16.XXXS,"Cntct w hot heating appliances, radiators and pipes, sequela"
51,X17.XXXA,"Contact with hot engines, machinery and tools, init encntr"
52,X17.XXXD,"Contact with hot engines, machinery and tools, subs encntr"
53,X17.XXXS,"Contact with hot engines, machinery and tools, sequela"
54,X18.XXXA,"Contact with other hot metals, initial encounter"
55,X18.XXXD,"Contact with other hot metals, subsequent encounter"
56,X18.XXXS,"Contact with other hot metals, sequela"
57,X19.XXXA,"Contact with other heat and hot substances, init encntr"
58,X19.XXXD,"Contact with other heat and hot substances, subs encntr"
59,X19.XXXS,"Contact with other heat and hot substances, sequela"
