,Synonyms
0,"['Accident due to hot weather', 'Exposure to heat', 'Heat-induced dermatosis']"
1,"['Accident due to hot weather', 'Exposure to heat', 'Heat-induced dermatosis']"
2,"['Accident due to hot weather', 'Exposure to heat', 'Heat-induced dermatosis']"
3,"['Accident due to cold weather', 'Accident due to excessive cold', 'Accident due to excessive cold', 'Cold exposure', 'Hypothermia due to cold environment', 'Injury of unknown intent by extremes of cold', 'Thrombocytopenia due to hypothermia']"
4,"['Accident due to cold weather', 'Accident due to excessive cold', 'Accident due to excessive cold', 'Cold exposure', 'Hypothermia due to cold environment', 'Injury of unknown intent by extremes of cold', 'Thrombocytopenia due to hypothermia']"
5,"['Accident due to cold weather', 'Accident due to excessive cold', 'Accident due to excessive cold', 'Cold exposure', 'Hypothermia due to cold environment', 'Injury of unknown intent by extremes of cold', 'Thrombocytopenia due to hypothermia']"
6,"['Acne estivalis', 'Actinic folliculitis', 'Actinic prurigo', 'Acute phototoxic dermatitis', 'Atrophic actinic keratosis', 'Benign neoplasm of skin of scalp', 'Berloque dermatitis', 'Contact dermatitis due to solar radiation', 'Exposure to excess sunlight', 'Exposure to light', 'Familial actinic prurigo', 'Familial actinic prurigo of lip', 'Hydroa estivale', 'Hypertrophic solar keratosis', 'Multiple actinic keratoses', 'Multiple actinic keratoses involving scalp', 'Overexposure to sun rays', 'Overexposure to visual and ultraviolet light sources', 'Photoaggravated atopic dermatitis', 'Photoaggravated psoriasis', 'Photoaggravation of disorder', 'Photochemotherapy reaction', 'Photosensitization due to sun', 'Phytophotodermatitis', 'Poikiloderma due to photodynamic agent', 'Polymorphous light eruption', 'Polymorphous light eruption', 'Polymorphous light eruption', 'Polymorphous light eruption', 'Polymorphous light eruption', 'Polymorphous light eruption, diffuse erythematous type', 'Polymorphous light eruption, eczematous type', 'Polymorphous light eruption, papular type', 'Polymorphous light eruption, papulovesicular type', 'Polymorphous light eruption, plaque type', 'Secondary idiopathic telangiectasia', 'Solar pruritus', 'Solar pruritus of elbows', 'Solar telangiectasia', 'Solar urticaria', 'Sun-damaged skin on face']"
7,"['Acne estivalis', 'Actinic folliculitis', 'Actinic prurigo', 'Acute phototoxic dermatitis', 'Atrophic actinic keratosis', 'Benign neoplasm of skin of scalp', 'Berloque dermatitis', 'Contact dermatitis due to solar radiation', 'Exposure to excess sunlight', 'Exposure to light', 'Familial actinic prurigo', 'Familial actinic prurigo of lip', 'Hydroa estivale', 'Hypertrophic solar keratosis', 'Multiple actinic keratoses', 'Multiple actinic keratoses involving scalp', 'Overexposure to sun rays', 'Overexposure to visual and ultraviolet light sources', 'Photoaggravated atopic dermatitis', 'Photoaggravated psoriasis', 'Photoaggravation of disorder', 'Photochemotherapy reaction', 'Photosensitization due to sun', 'Phytophotodermatitis', 'Poikiloderma due to photodynamic agent', 'Polymorphous light eruption', 'Polymorphous light eruption', 'Polymorphous light eruption', 'Polymorphous light eruption', 'Polymorphous light eruption', 'Polymorphous light eruption, diffuse erythematous type', 'Polymorphous light eruption, eczematous type', 'Polymorphous light eruption, papular type', 'Polymorphous light eruption, papulovesicular type', 'Polymorphous light eruption, plaque type', 'Secondary idiopathic telangiectasia', 'Solar pruritus', 'Solar pruritus of elbows', 'Solar telangiectasia', 'Solar urticaria', 'Sun-damaged skin on face']"
8,"['Acne estivalis', 'Actinic cheilitis', 'Actinic folliculitis', 'Actinic prurigo', 'Acute phototoxic dermatitis', 'Atrophic actinic keratosis', 'Benign neoplasm of skin of scalp', 'Berloque dermatitis', 'Chronic effect of ultraviolet radiation on normal skin ', 'Comedone', 'Contact dermatitis due to solar radiation', 'Cutis rhomboidalis nuchae', 'Exposure to excess sunlight', 'Exposure to light', 'Familial actinic prurigo', 'Familial actinic prurigo of lip', 'Hydroa estivale', 'Hypertrophic solar keratosis', 'Multiple actinic keratoses', 'Multiple actinic keratoses involving scalp', 'Nodular elastosis with cysts and comedones', 'Overexposure to sun rays', 'Overexposure to visual and ultraviolet light sources', 'Photoaggravated atopic dermatitis', 'Photoaggravated psoriasis', 'Photoaggravation of disorder', 'Photochemotherapy reaction', 'Photosensitization due to sun', 'Phytophotodermatitis', 'Poikiloderma due to photodynamic agent', 'Polymorphous light eruption', 'Polymorphous light eruption', 'Polymorphous light eruption', 'Polymorphous light eruption', 'Polymorphous light eruption', 'Polymorphous light eruption, diffuse erythematous type', 'Polymorphous light eruption, eczematous type', 'Polymorphous light eruption, papular type', 'Polymorphous light eruption, papulovesicular type', 'Polymorphous light eruption, plaque type', 'Secondary idiopathic telangiectasia', 'Senile dermatosis', 'Solar comedone', 'Solar degeneration', 'Solar lentiginosis', 'Solar lentigo', 'Solar pruritus', 'Solar pruritus of elbows', 'Solar telangiectasia', 'Solar urticaria', 'Sun-damaged skin on face', 'Sun-induced wrinkles', 'Wrinkled skin']"
9,"['Accident caused by earthquake', ""Accident caused by movement of earth's crust"", 'Earthquake', 'Victim of cataclysmic earth movements caused by earthquake', 'Victim of effects of earthquake', 'Victim of environmental event']"
10,"['Accident caused by earthquake', ""Accident caused by movement of earth's crust"", 'Earthquake', 'Victim of cataclysmic earth movements caused by earthquake', 'Victim of effects of earthquake', 'Victim of environmental event']"
11,"['Accident caused by earthquake', ""Accident caused by movement of earth's crust"", 'Earthquake', 'Victim of cataclysmic earth movements caused by earthquake', 'Victim of effects of earthquake', 'Victim of environmental event']"
