,category,condition
0,X71.0XXA,"Intentional selfharm by drown while in bathtub, init"
1,X71.0XXD,"Intentional selfharm by drown while in bathtub, subs"
2,X71.0XXS,"Intentional selfharm by drown while in bathtub, sequela"
3,X71.1XXA,"Intentional selfharm by drown while in swimming pool, init"
4,X71.1XXD,"Intentional selfharm by drown while in swimming pool, subs"
5,X71.1XXS,"Selfharm by drown while in swimming pool, sequela"
6,X71.2XXA,"Selfharm by drown after jump into swimming pool, init"
7,X71.2XXD,"Selfharm by drown after jump into swimming pool, subs"
8,X71.2XXS,"Selfharm by drown after jump into swimming pool, sequela"
9,X71.3XXA,"Intentional selfharm by drown in natural water, init"
10,X71.3XXD,"Intentional selfharm by drown in natural water, subs"
11,X71.3XXS,"Intentional selfharm by drown in natural water, sequela"
12,X71.8XXA,"Oth intentional selfharm by drowning and submersion, init"
13,X71.8XXD,"Oth intentional selfharm by drowning and submersion, subs"
14,X71.8XXS,"Oth intentional selfharm by drown, sequela"
15,X71.9XXA,"Intentional selfharm by drowning and submersion, unsp, init"
16,X71.9XXD,"Intentional selfharm by drowning and submersion, unsp, subs"
17,X71.9XXS,"Intentional selfharm by drown, unsp, sequela"
18,X72.XXXA,"Intentional selfharm by handgun discharge, init encntr"
19,X72.XXXD,"Intentional selfharm by handgun discharge, subs encntr"
20,X72.XXXS,"Intentional selfharm by handgun discharge, sequela"
21,X73.0XXA,"Intentional selfharm by shotgun discharge, init encntr"
22,X73.0XXD,"Intentional selfharm by shotgun discharge, subs encntr"
23,X73.0XXS,"Intentional selfharm by shotgun discharge, sequela"
24,X73.1XXA,"Intentional selfharm by hunting rifle discharge, init"
25,X73.1XXD,"Intentional selfharm by hunting rifle discharge, subs"
26,X73.1XXS,"Intentional selfharm by hunting rifle discharge, sequela"
27,X73.2XXA,"Intentional selfharm by machine gun discharge, init encntr"
28,X73.2XXD,"Intentional selfharm by machine gun discharge, subs encntr"
29,X73.2XXS,"Intentional selfharm by machine gun discharge, sequela"
30,X73.8XXA,"Intentional selfharm by oth larger firearm discharge, init"
31,X73.8XXD,"Intentional selfharm by oth larger firearm discharge, subs"
32,X73.8XXS,"Selfharm by oth larger firearm discharge, sequela"
33,X73.9XXA,"Intentional selfharm by unsp larger firearm discharge, init"
