,category,condition
0,X92.0XXA,"Assault by drowning and submersion while in bathtub, init"
1,X92.0XXD,"Assault by drowning and submersion while in bathtub, subs"
2,X92.0XXS,"Assault by drowning and submersion while in bathtub, sequela"
3,X92.1XXA,"Assault by drown while in swimming pool, init"
4,X92.1XXD,"Assault by drown while in swimming pool, subs"
5,X92.1XXS,"Assault by drown while in swimming pool, sequela"
6,X92.2XXA,"Assault by drown after push into swimming pool, init"
7,X92.2XXD,"Assault by drown after push into swimming pool, subs"
8,X92.2XXS,"Assault by drown after push into swimming pool, sequela"
9,X92.3XXA,"Assault by drowning and submersion in natural water, init"
10,X92.3XXD,"Assault by drowning and submersion in natural water, subs"
11,X92.3XXS,"Assault by drowning and submersion in natural water, sequela"
12,X92.8XXA,"Other assault by drowning and submersion, initial encounter"
13,X92.8XXD,"Other assault by drowning and submersion, subs encntr"
14,X92.8XXS,"Other assault by drowning and submersion, sequela"
15,X92.9XXA,"Assault by drowning and submersion, unspecified, init encntr"
16,X92.9XXD,"Assault by drowning and submersion, unspecified, subs encntr"
17,X92.9XXS,"Assault by drowning and submersion, unspecified, sequela"
18,X93.XXXA,"Assault by handgun discharge, initial encounter"
19,X93.XXXD,"Assault by handgun discharge, subsequent encounter"
20,X93.XXXS,"Assault by handgun discharge, sequela"
21,X94.0XXA,"Assault by shotgun, initial encounter"
22,X94.0XXD,"Assault by shotgun, subsequent encounter"
23,X94.0XXS,"Assault by shotgun, sequela"
24,X94.1XXA,"Assault by hunting rifle, initial encounter"
25,X94.1XXD,"Assault by hunting rifle, subsequent encounter"
26,X94.1XXS,"Assault by hunting rifle, sequela"
27,X94.2XXA,"Assault by machine gun, initial encounter"
28,X94.2XXD,"Assault by machine gun, subsequent encounter"
29,X94.2XXS,"Assault by machine gun, sequela"
30,X94.8XXA,"Assault by other larger firearm discharge, initial encounter"
31,X94.8XXD,"Assault by other larger firearm discharge, subs encntr"
32,X94.8XXS,"Assault by other larger firearm discharge, sequela"
33,X94.9XXA,"Assault by unspecified larger firearm discharge, init encntr"
34,X94.9XXD,"Assault by unspecified larger firearm discharge, subs encntr"
35,X94.9XXS,"Assault by unspecified larger firearm discharge, sequela"
36,X95.01XA,"Assault by airgun discharge, initial encounter"
37,X95.01XD,"Assault by airgun discharge, subsequent encounter"
38,X95.01XS,"Assault by airgun discharge, sequela"
