,Synonyms
0,[]
1,[]
2,[]
3,[]
4,[]
5,[]
6,[]
7,[]
8,[]
9,[]
10,[]
11,[]
12,[]
13,[]
14,[]
15,['Assault by drowning']
16,['Assault by drowning']
17,['Assault by drowning']
18,"['Assault by firearms', 'Assault by handgun', 'Assault by pistol', 'Assault by revolver']"
19,"['Assault by firearms', 'Assault by handgun', 'Assault by pistol', 'Assault by revolver']"
20,"['Assault by firearms', 'Assault by handgun', 'Assault by pistol', 'Assault by revolver']"
21,"['Assault by firearms', 'Assault by shotgun']"
22,"['Assault by firearms', 'Assault by shotgun']"
23,"['Assault by firearms', 'Assault by shotgun']"
24,"['Assault by firearms', 'Assault by hunting rifle']"
25,"['Assault by firearms', 'Assault by hunting rifle']"
26,"['Assault by firearms', 'Assault by hunting rifle']"
27,[]
28,[]
29,[]
30,[]
31,[]
32,[]
33,[]
34,[]
35,[]
36,[]
37,[]
38,[]
39,[]
40,[]
41,[]
42,[]
43,[]
44,[]
45,"['War injury due to carbine bullet', 'War injury due to machine gun bullet']"
46,"['War injury due to carbine bullet', 'War injury due to machine gun bullet']"
47,"['War injury due to carbine bullet', 'War injury due to machine gun bullet']"
48,"['Assault by firearms', 'Assault by firearms and explosives', 'Assault by military firearm']"
49,"['Assault by firearms', 'Assault by firearms and explosives', 'Assault by military firearm']"
50,"['Assault by firearms', 'Assault by firearms and explosives', 'Assault by military firearm']"
51,"['Assault by antipersonnel bomb', 'Assault by explosive device']"
52,"['Assault by antipersonnel bomb', 'Assault by explosive device']"
53,"['Assault by antipersonnel bomb', 'Assault by explosive device']"
54,"['Assault by explosive device', 'Assault by gasoline bomb']"
55,"['Assault by explosive device', 'Assault by gasoline bomb']"
56,"['Assault by explosive device', 'Assault by gasoline bomb']"
57,"['Assault by explosive device', 'Assault by letter bomb']"
58,"['Assault by explosive device', 'Assault by letter bomb']"
59,"['Assault by explosive device', 'Assault by letter bomb']"
60,[]
61,[]
62,[]
63,[]
64,[]
65,[]
66,"['Assault by booby trap bomb', 'Assault by car bomb', 'Assault by dynamite', 'Assault by explosive device', 'Assault by explosive device', 'Assault by explosive device', 'Assault by explosive device', 'Assault by land-mine']"
67,"['Assault by booby trap bomb', 'Assault by car bomb', 'Assault by dynamite', 'Assault by explosive device', 'Assault by explosive device', 'Assault by explosive device', 'Assault by explosive device', 'Assault by land-mine']"
68,"['Assault by booby trap bomb', 'Assault by car bomb', 'Assault by dynamite', 'Assault by explosive device', 'Assault by explosive device', 'Assault by explosive device', 'Assault by explosive device', 'Assault by land-mine']"
69,"['Assault by bomb in house', 'Assault by explosive device', 'Assault by firearms and explosives']"
70,"['Assault by bomb in house', 'Assault by explosive device', 'Assault by firearms and explosives']"
71,"['Assault by bomb in house', 'Assault by explosive device', 'Assault by firearms and explosives']"
