,category,condition
0,Y35.001A,"Lgl intervnt w unsp firearm disch, law enforc offl inj, init"
1,Y35.001D,"Lgl intervnt w unsp firearm disch, law enforc offl inj, subs"
2,Y35.001S,"Lgl intervnt w unsp firearm disch, law enforc offl inj, sqla"
3,Y35.002A,"Legal intervnt w unsp firearm disch, bystand injured, init"
4,Y35.002D,"Legal intervnt w unsp firearm disch, bystand injured, subs"
5,Y35.002S,"Legal intervnt w unsp firearm disch, bystand inj, sequela"
6,Y35.003A,"Legal intervnt w unsp firearm disch, suspect injured, init"
7,Y35.003D,"Legal intervnt w unsp firearm disch, suspect injured, subs"
8,Y35.003S,"Legal intervnt w unsp firearm disch, suspect inj, sequela"
9,Y35.009A,"Legal intrvnt w unsp firearm disch, unsp person inj, init  NEW CODE"
10,Y35.009D,"Legal intrvnt w unsp firearm disch, unsp person inj, subs  NEW CODE"
11,Y35.009S,"Legal intrvnt w unsp firearm disch, unsp person inj, sequela  NEW CODE"
12,Y35.011A,"Legal intervnt w inj by mch gun, law enforc offl inj, init"
13,Y35.011D,"Legal intervnt w inj by mch gun, law enforc offl inj, subs"
14,Y35.011S,"Legal intervnt w inj by mch gun, law enforc offl inj, sqla"
15,Y35.012A,"Legal intervnt w injury by mch gun, bystand injured, init"
16,Y35.012D,"Legal intervnt w injury by mch gun, bystand injured, subs"
17,Y35.012S,"Legal intervnt w injury by mch gun, bystand injured, sequela"
18,Y35.013A,"Legal intervnt w injury by mch gun, suspect injured, init"
19,Y35.013D,"Legal intervnt w injury by mch gun, suspect injured, subs"
20,Y35.013S,"Legal intervnt w injury by mch gun, suspect injured, sequela"
21,Y35.019A,"Legal intrvnt w injury by mch gun, unsp person injured, init  NEW CODE"
22,Y35.019D,"Legal intrvnt w injury by mch gun, unsp person injured, subs  NEW CODE"
23,Y35.019S,"Legal intrvnt w injury by mch gun, unsp person inj, sequela  NEW CODE"
24,Y35.021A,"Legal intervnt w inj by handgun, law enforc offl inj, init"
25,Y35.021D,"Legal intervnt w inj by handgun, law enforc offl inj, subs"
26,Y35.021S,"Legal intervnt w inj by handgun, law enforc offl inj, sqla"
27,Y35.022A,"Legal intervnt w injury by handgun, bystand injured, init"
28,Y35.022D,"Legal intervnt w injury by handgun, bystand injured, subs"
29,Y35.022S,"Legal intervnt w injury by handgun, bystand injured, sequela"
30,Y35.023A,"Legal intervnt w injury by handgun, suspect injured, init"
31,Y35.023D,"Legal intervnt w injury by handgun, suspect injured, subs"
