,category,condition
0,Z00.00,Encntr for general adult medical exam w/o abnormal findings
1,Z00.01,Encounter for general adult medical exam w abnormal findings
2,Z00.110,Health examination for newborn under 8 days old
3,Z00.111,Health examination for newborn 8 to 28 days old
4,Z00.121,Encounter for routine child health exam w abnormal findings
5,Z00.129,Encntr for routine child health exam w/o abnormal findings
6,Z00.2,Encounter for exam for period of rapid growth in childhood
7,Z00.3,Encounter for examination for adolescent development state
8,Z00.5,Encounter for exam of potential donor of organ and tissue
9,Z00.6,Encntr for exam for nrml cmprsn and ctrl in clncl rsrch prog
10,Z00.70,Encntr for exam for delay growth in chldhd w/o abn findings
11,Z00.71,Encntr for exam for delay growth in chldhd w abn findings
12,Z00.8,Encounter for other general examination
13,Z01.00,Encounter for exam of eyes and vision w/o abnormal findings
14,Z01.01,Encounter for exam of eyes and vision w abnormal findings
15,Z01.020,Enctr for ex of eyes and vis fol fail vis scrn w/o abn find  NEW CODE
16,Z01.021,Enctr for exam of eyes and vis fol fail vis scrn wbn find  NEW CODE
17,Z01.10,Encounter for exam of ears and hearing w/o abnormal findings
18,Z01.110,Encounter for hearing exam following failed hear screening
19,Z01.118,Encntr for exam of ears and hearing w oth abnormal findings
20,Z01.12,Encounter for hearing conservation and treatment
21,Z01.20,Encounter for dental exam and cleaning w/o abnormal findings
22,Z01.21,Encounter for dental exam and cleaning w abnormal findings
23,Z01.30,Encounter for exam of blood pressure w/o abnormal findings
24,Z01.31,Encounter for exam of blood pressure w abnormal findings
25,Z01.411,Encntr for gyn exam (general) (routine) w abnormal findings
26,Z01.419,Encntr for gyn exam (general) (routine) w/o abn findings
27,Z01.42,Encntr for cerv smear to cnfrm norm smr fol init abn smear
28,Z01.810,Encounter for preprocedural cardiovascular examination
29,Z01.811,Encounter for preprocedural respiratory examination
30,Z01.812,Encounter for preprocedural laboratory examination
31,Z01.818,Encounter for other preprocedural examination
32,Z01.82,Encounter for allergy testing
33,Z01.83,Encounter for blood typing
34,Z01.84,Encounter for antibody response examination
35,Z01.89,Encounter for other specified special examinations
36,Z02.0,Encounter for exam for admission to educational institution
37,Z02.1,Encounter for preemployment examination
38,Z02.2,Encounter for exam for admission to residential institution
39,Z02.3,Encounter for examination for recruitment to armed forces
40,Z02.4,Encounter for examination for driving license
41,Z02.5,Encounter for examination for participation in sport
42,Z02.6,Encounter for examination for insurance purposes
43,Z02.71,Encounter for disability determination
44,Z02.79,Encounter for issue of other medical certificate
45,Z02.81,Encounter for paternity testing
46,Z02.82,Encounter for adoption services
47,Z02.83,Encounter for bloodalcohol and blooddrug test
48,Z02.89,Encounter for other administrative examinations
49,Z02.9,"Encounter for administrative examinations, unspecified"
50,Z03.6,Encntr for obs for susp toxic eff from ingest sub ruled out
51,Z03.71,Encntr for susp prob w amnio cavity and membrane ruled out
52,Z03.72,Encounter for suspected placental problem ruled out
53,Z03.73,Encounter for suspected fetal anomaly ruled out
54,Z03.74,Encounter for suspected problem with fetal growth ruled out
55,Z03.75,Encounter for suspected cervical shortening ruled out
56,Z03.79,Encntr for oth suspected maternal and fetal cond ruled out
57,Z03.810,Encntr for obs for suspected exposure to anthrax ruled out
