,Synonyms
0,['Beta lactam resistant bacterial infection']
1,[]
2,"['Infection due to ESBL bacteria', 'Infection due to ESBL Escherichia coli']"
3,"['Infection due to carbapenem resistant Acinetobacter', 'Infection due to carbapenem resistant bacteria', 'Infection due to carbapenem resistant Enterobacteriaceae']"
4,"['Antibiotic resistant tuberculosis', 'Drug resistance', 'Drug resistance to antibacterial agent', 'Infection due to ESBL bacteria', 'Therapy failure due to antibiotic resistance']"
5,"['Infection due to enterococcus', 'Infection due to enterococcus', 'Infection due to glycopeptide intermediate Staphylococcus aureus', 'Infection due to glycopeptide intermediate/resistant Staphylococcus aureus', 'Infection due to glycopeptide resistant Staphylococcus aureus', 'Infection due to vancomycin intermediate Staphylococcus aureus', 'Infection due to vancomycin intermediate/resistant Staphylococcus aureus', 'Infection due to vancomycin resistant enterococcus', 'Infection due to vancomycin resistant Staphylococcus aureus', 'Infection due to vancomycin resistant Staphylococcus aureus, coagulase positive', 'Septicemia due to enterococcus', 'Vancomycin resistant enterococcal septicemia']"
6,[]
7,"['Antibiotic resistant tuberculosis', 'Ciprofloxacin resistant tuberculosis']"
8,"['Infection caused by multi drug resistant bacteria', 'Infection due to glycopeptide intermediate Staphylococcus aureus', 'Infection due to glycopeptide intermediate/resistant Staphylococcus aureus', 'Infection due to glycopeptide resistant Staphylococcus aureus', 'Infection due to multidrug resistant Acinetobacter']"
9,"['Antibiotic resistant tuberculosis', 'Antibiotic resistant tuberculosis', 'Antibiotic resistant tuberculosis', 'Isoniazid resistant tuberculosis', 'Isoniazid resistant tuberculosis of lung', 'Rifampicin resistant tuberculosis', 'Streptomycin resistant tuberculosis']"
10,"['Asymptomatic colonization of skin caused by virulent and/or therapy-resistant bacteria', 'Drug resistant Streptococcus pneumoniae disease', 'Drug resistant tuberculosis', 'Infection due to resistant bacteria', 'Invasive drug resistant Streptococcus pneumoniae disease', 'Invasive streptococcal disease', 'Invasive Streptococcus pneumoniae disease']"
11,[]
12,['Infection due to resistant fungi']
13,"['Amantadine resistant virus present', 'Drug resistance', 'Drug resistance', 'Drug resistance to antiretroviral therapy', 'Drug resistance to antiviral agent', 'Infection due to resistant virus', 'Oseltamivir resistant virus present', 'Zanamivir resistant virus present']"
14,"['Antibiotic resistant tuberculosis', 'Antibiotic resistant tuberculosis', 'Antibiotic resistant tuberculosis', 'Antibiotic resistant tuberculosis', 'Dapsone resistant leprosy', 'Ethambutol resistant tuberculosis', 'Ethionamide resistant tuberculosis', 'Isoniazid resistant tuberculosis', 'Pyrazinamide resistant tuberculosis']"
15,"['Extensively drug resistant tuberculosis', 'Extreme drug resistant tuberculosis', 'Infection due to mycobacteria resistant to multiple antimycobacterial agents', 'Multidrug resistant tuberculosis']"
16,"['Infection caused by multi drug resistant bacteria', 'Infection caused by multi drug resistant bacteria', 'Infection due to multidrug resistant Acinetobacter', 'Infection due to multidrug resistant Acinetobacter baumannii']"
17,['Infection due to quinolone and fluoroquinolone resistant bacteria']
