,category,condition
0,Z68.1,"Body mass index (BMI) 19.9 or less, adult"
1,Z68.20,"Body mass index (BMI) 20.020.9, adult"
2,Z68.21,"Body mass index (BMI) 21.021.9, adult"
3,Z68.22,"Body mass index (BMI) 22.022.9, adult"
4,Z68.23,"Body mass index (BMI) 23.023.9, adult"
5,Z68.24,"Body mass index (BMI) 24.024.9, adult"
6,Z68.25,"Body mass index (BMI) 25.025.9, adult"
7,Z68.26,"Body mass index (BMI) 26.026.9, adult"
8,Z68.27,"Body mass index (BMI) 27.027.9, adult"
9,Z68.28,"Body mass index (BMI) 28.028.9, adult"
10,Z68.29,"Body mass index (BMI) 29.029.9, adult"
11,Z68.30,"Body mass index (BMI) 30.030.9, adult"
12,Z68.31,"Body mass index (BMI) 31.031.9, adult"
13,Z68.32,"Body mass index (BMI) 32.032.9, adult"
14,Z68.33,"Body mass index (BMI) 33.033.9, adult"
15,Z68.34,"Body mass index (BMI) 34.034.9, adult"
16,Z68.35,"Body mass index (BMI) 35.035.9, adult"
17,Z68.36,"Body mass index (BMI) 36.036.9, adult"
18,Z68.37,"Body mass index (BMI) 37.037.9, adult"
19,Z68.38,"Body mass index (BMI) 38.038.9, adult"
20,Z68.39,"Body mass index (BMI) 39.039.9, adult"
21,Z68.41,"Body mass index (BMI) 40.044.9, adult"
22,Z68.42,"Body mass index (BMI) 45.049.9, adult"
23,Z68.43,"Body mass index (BMI) 50.059.9, adult  UPDATED CODE"
24,Z68.44,"Body mass index (BMI) 60.069.9, adult"
25,Z68.45,"Body mass index (BMI) 70 or greater, adult"
26,Z68.51,"BMI pediatric, less than 5th percentile for age"
27,Z68.52,"BMI pediatric, 5th percentile to less than 85% for age"
28,Z68.53,"BMI pediatric, 85% to less than 95th percentile for age"
29,Z68.54,"BMI pediatric, greater than or equal to 95% for age"
